訓練日期,20160928 - 20161229
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11879565.980000000447035
真實報酬,1879565.980000000447035

夏普值報酬,0.179256598000000
夏普值風險,0.057346348854050
夏普值,3.125858953221561

預期報酬,31149.635906475206866
風險,125957.485861642766395
趨勢值,0.247302775959591
找到最佳解世代,1989
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),CVX[5](2),
Stock#,BA[2](1),CVX[5](2),
張數,38074,50515,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,122.320000000298023,25.299999999813735,
20160928,5034647.339999999850988,5160132.549999999813735,10194779.890000000596046
20160929,4988958.540000000037253,5115679.349999999627471,10104637.890000000596046
20160930,5015991.080000001005828,5199029.099999999627471,10215020.179999999701977
20161003,5040358.440000000409782,5175287.049999999813735,10215645.490000000223517
20161004,5035408.820000000298023,5115679.349999999627471,10151088.169999999925494
20161005,5127167.160000000149012,5164173.750000000000000,10291340.910000000149012
20161006,5118029.399999999441206,5161648.000000000000000,10279677.399999998509884
20161007,5096327.219999999739230,5166194.349999999627471,10262521.570000000298023
20161010,5172094.480000000447035,5252575.000000000000000,10424669.480000000447035
20161011,5092139.080000001005828,5205090.900000000372529,10297229.980000000447035
20161012,5070056.160000000149012,5160132.549999999813735,10230188.710000000894070
20161013,5078432.440000000409782,5091432.150000000372529,10169864.589999999850988
20161014,5083001.320000000298023,5106081.500000000000000,10189082.820000000298023
20161017,5102038.320000000298023,5120225.700000000186265,10222264.019999999552965
20161018,5143919.719999999739230,5141947.150000000372529,10285866.870000001043081
20161019,5185039.640000000596046,5166194.349999999627471,10351233.990000000223517
20161020,5172094.480000000447035,5145988.349999999627471,10318082.830000000074506
20161021,5164098.940000000409782,5117194.799999999813735,10281293.740000000223517
20161024,5233393.620000000111759,5084865.199999999254942,10318258.820000000298023
20161025,5293169.800000000745058,5090421.849999999627471,10383591.650000000372529
20161026,5541412.280000000260770,5111638.149999999441206,10653050.429999999701977
20161027,5456507.260000000707805,5047484.099999999627471,10503991.359999999403954
20161028,5445085.059999999590218,5244492.599999999627471,10689577.660000000149012
20161031,5423002.140000000596046,5291471.549999999813735,10714473.690000001341105
20161101,5422240.660000000149012,5378862.500000000000000,10801103.160000000149012
20161102,5359037.820000000298023,5323801.149999999441206,10682838.969999998807907
20161103,5331243.800000000745058,5323801.149999999441206,10655044.949999999254942
20161104,5312968.280000000260770,5292987.000000000000000,10605955.280000001192093
20161107,5445846.540000000037253,5397553.049999999813735,10843399.589999999850988
20161108,5414245.120000000111759,5419779.650000000372529,10834024.769999999552965
20161109,5524278.980000000447035,5437459.899999999441206,10961738.879999998956919
20161110,5623271.379999999888241,5445037.150000000372529,11068308.530000001192093
20161111,5654872.800000000745058,5386944.899999999441206,11041817.699999999254942
20161114,5710841.580000001005828,5384419.150000000372529,11095260.730000000447035
20161115,5639262.460000000894070,5504139.699999999254942,11143402.160000000149012
20161116,5575678.879999999888241,5473325.549999999813735,11049004.429999999701977
20161117,5533416.740000001154840,5461707.099999999627471,10995123.839999999850988
20161118,5572252.219999999739230,5516263.299999999813735,11088515.519999999552965
20161121,5597761.800000000745058,5565768.000000000000000,11163529.800000000745058
20161122,5692946.800000000745058,5587994.599999999627471,11280941.400000000372529
20161123,5701323.080000001005828,5607190.299999999813735,11308513.380000000819564
20161125,5712745.280000000260770,5607190.299999999813735,11319935.580000000074506
20161128,5702465.300000000745058,5581932.799999999813735,11284398.100000001490116
20161129,5773663.679999999701977,5523335.400000000372529,11296999.080000000074506
20161130,5732543.760000000707805,5635478.700000000186265,11368022.460000000894070
20161201,5802219.179999999701977,5722869.650000000372529,11525088.830000000074506
20161202,5796888.820000000298023,5708220.299999999813735,11505109.120000001043081
20161205,5793462.160000000149012,5720849.049999999813735,11514311.210000000894070
20161206,5796508.080000001005828,5696096.700000000186265,11492604.780000001192093
20161207,5868848.679999999701977,5780961.899999999441206,11649810.579999998211861
20161208,5916441.179999999701977,5817837.849999999627471,11734279.029999999329448
20161209,5958322.580000001005828,5850167.450000000186265,11808490.030000001192093
20161212,5983832.160000000149012,5917857.549999999813735,11901689.710000000894070
20161213,5964795.160000000149012,5931496.599999999627471,11896291.759999999776483
20161214,5881413.100000000558794,5857744.699999999254942,11739157.800000000745058
20161215,5854761.300000000745058,5912806.049999999813735,11767567.350000001490116
20161216,5882555.320000000298023,5964836.500000000000000,11847391.820000000298023
20161219,5946519.640000000596046,5943115.049999999813735,11889634.690000001341105
20161220,5954515.179999999701977,5958269.549999999813735,11912784.730000000447035
20161221,5996015.839999999850988,5956248.949999999254942,11952264.789999999105930
20161222,5995254.360000000335276,5999691.849999999627471,11994946.210000000894070
20161223,6008580.260000000707805,5982011.599999999627471,11990591.859999999403954
20161227,5996015.839999999850988,5971908.599999999627471,11967924.439999999478459
20161228,5943473.719999999739230,5956248.949999999254942,11899722.669999998062849
20161229,5927863.379999999888241,5951702.599999999627471,11879565.980000000447035
