訓練日期,20160105 - 20160407
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11123408.929999999701977
真實報酬,1123408.929999999701977

夏普值報酬,0.103640893000000
夏普值風險,0.041414836572448
夏普值,2.502506386055614

預期報酬,21182.342210430801060
風險,134498.263744625786785
趨勢值,0.157491566215681
找到最佳解世代,1967
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),VZ[26](1),WMT[28](2),
Stock#,KO[14](3),VZ[26](1),WMT[28](2),
張數,78616,72669,54235,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.600000000093132,5.970000000204891,49.899999999906868,
20160105,3345125.399999999906868,3379114.470000000204891,3412516.100000000093132,10136756.970000000670552
20160106,3327043.720000000204891,3307898.850000000558794,3446684.149999999906868,10081627.720000000670552
20160107,3272012.520000000018626,3289731.600000000558794,3526951.950000000186265,10088697.070000000298023
20160108,3263364.759999999776483,3257757.240000000223517,3446141.799999999813735,9967264.800000000745058
20160111,3268867.879999999888241,3276651.180000000633299,3483021.599999999627471,10028541.660000000149012
20160112,3311320.520000000018626,3265024.140000000130385,3450480.599999999627471,10026826.259999999776483
20160113,3290094.200000000186265,3208342.320000000298023,3358281.100000000093132,9856718.620000001043081
20160114,3292452.680000000167638,3260664.000000000000000,3420109.000000000000000,9973226.679999999701977
20160115,3262578.600000000093132,3228689.640000000130385,3358823.449999999720603,9850092.689999999478459
20160119,3295597.320000000298023,3260664.000000000000000,3392991.500000000000000,9949253.820000000298023
20160120,3253144.680000000167638,3227962.950000000186265,3299707.300000000279397,9780815.930000001564622
20160121,3253930.840000000316650,3333333.000000000000000,3356111.700000000186265,9943376.539999999105930
20160122,3306603.560000000055879,3418355.729999999981374,3400042.049999999813735,10125002.339999999850988
20160125,3314465.159999999683350,3417629.040000000502914,3441260.649999999906868,10173355.849999999627471
20160126,3308175.879999999888241,3506285.220000000204891,3471089.899999999906868,10285552.000000000000000
20160127,3308962.040000000502914,3562967.040000000502914,3468378.149999999906868,10340308.230000000447035
20160128,3346697.720000000204891,3561513.660000000149012,3483021.599999999627471,10391233.980000000447035
20160129,3374213.320000000298023,3631275.899999999906868,3599084.500000000000000,10604574.720000000670552
20160201,3380502.600000000093132,3688684.410000000149012,3660912.399999999906868,10730100.410000000149012
20160202,3336477.640000000130385,3626915.759999999776483,3626202.000000000000000,10589596.400000000372529
20160203,3358490.120000000111759,3678510.750000000000000,3594203.349999999627471,10631205.219999998807907
20160204,3343553.080000000074506,3664703.640000000130385,3602338.600000000093132,10610596.320000000298023
20160205,3336477.640000000130385,3703944.899999999906868,3633794.899999999906868,10674218.439999999478459
20160208,3352987.000000000000000,3687231.030000000260770,3628371.400000000372529,10668590.429999999701977
20160209,3404087.399999999906868,3644356.320000000298023,3569255.250000000000000,10617699.970000000670552
20160210,3345125.399999999906868,3632002.589999999850988,3568170.550000000279397,10545299.540000000968575
20160211,3334119.159999999683350,3589127.880000000353903,3542680.099999999627471,10465928.140000000596046
20160212,3389150.359999999869615,3641449.560000000055879,3589322.200000000186265,10619923.120000001043081
