訓練日期,20161228 - 20170331
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143785.009999997913837
真實報酬,1143785.009999997913837

夏普值報酬,0.105678501000000
夏普值風險,0.035174203358180
夏普值,3.004431967481211

預期報酬,19490.398526450648205
風險,76812.634255798082449
趨勢值,0.253739488500610
找到最佳解世代,2628
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](3),KO[14](21),V[25](2),
Stock#,AAPL[0](1),DIS[6](3),KO[14](21),V[25](2),
張數,21320,23771,60081,31908,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.799999999813735,3.930000000167638,29.589999999850988,8.200000000186265,
20161228,2489340.000000000000000,2479319.229999999981374,2486782.179999999701977,2498404.600000000093132,9953846.009999999776483
20161229,2488700.399999999906868,2485499.690000000409782,2499399.189999999944121,2499361.840000000316650,9972961.119999999180436
20161230,2469299.199999999720603,2477417.550000000279397,2490987.850000000093132,2489470.359999999869615,9927174.959999999031425
20170103,2476334.799999999813735,2521631.610000000335276,2511415.389999999664724,2536694.200000000186265,10046076.000000000000000
20170104,2473563.199999999720603,2553960.169999999925494,2502403.239999999757856,2557434.400000000372529,10087361.009999999776483
20170105,2486142.000000000000000,2552533.910000000149012,2508411.339999999850988,2587427.920000000391155,10134515.169999999925494
20170106,2513857.999999999534339,2590567.510000000242144,2507810.529999999795109,2623164.879999999888241,10235400.919999998062849
20170109,2536883.599999999627471,2575829.490000000223517,2482576.509999999776483,2608487.200000000186265,10203776.800000000745058
20170110,2539442.000000000000000,2576304.910000000149012,2465753.829999999608845,2594447.680000000167638,10175948.419999999925494
20170111,2553086.799999999813735,2601502.169999999925494,2466354.639999999664724,2610082.600000000093132,10231026.209999999031425
20170112,2542426.799999999813735,2556099.560000000055879,2460346.540000000037253,2596362.160000000149012,10155235.059999998658895
20170113,2537949.600000000093132,2568698.190000000409782,2456140.870000000111759,2589980.560000000055879,10152769.220000000670552
20170117,2558416.799999999813735,2566558.800000000279397,2476568.409999999683350,2592852.280000000260770,10194396.289999999105930
20170118,2558203.599999999627471,2571075.290000000037253,2480774.079999999608845,2603381.920000000391155,10213434.889999998733401
20170119,2553726.399999999906868,2550156.810000000055879,2471761.929999999701977,2607849.040000000502914,10183494.179999999701977
20170120,2558416.799999999813735,2559189.790000000037253,2482576.509999999776483,2611358.920000000391155,10211542.019999999552965
20170123,2560122.399999999906868,2546353.450000000186265,2489185.419999999925494,2621250.400000000372529,10216911.669999999925494
20170124,2557777.199999999720603,2564894.830000000074506,2517423.489999999757856,2655711.040000000502914,10295806.560000000521541
20170125,2598498.399999999906868,2568222.770000000484288,2530641.309999999590218,2677089.400000000372529,10374451.879999998956919
20170126,2599777.599999999627471,2568698.190000000409782,2512016.200000000186265,2656030.120000000111759,10336522.109999999403954
20170127,2599990.799999999813735,2598174.229999999981374,2490387.040000000037253,2672941.359999999869615,10361493.429999999701977
20170130,2593168.399999999906868,2637158.669999999925494,2486181.370000000111759,2670707.800000000279397,10387216.240000000223517
20170131,2587198.799999999813735,2630265.080000000074506,2497596.759999999776483,2639118.879999999888241,10354179.519999999552965
20170201,2744966.799999999813735,2645716.229999999981374,2478971.649999999906868,2630503.720000000204891,10500158.400000000372529
20170202,2740276.399999999906868,2629314.240000000223517,2487382.989999999757856,2626036.600000000093132,10483010.230000000447035
