訓練日期,20140311 - 20140611
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11119061.239999998360872
真實報酬,1119061.239999998360872

夏普值報酬,0.103206124000000
夏普值風險,0.033586406360348
夏普值,3.072854025902735

預期報酬,18297.843626541383856
風險,56490.204566329659428
趨勢值,0.323911796160278
找到最佳解世代,1563
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,4
CSCO[4](3),JNJ[12](1),MCD[15](4),TRV[22](2),
Stock#,CSCO[4](3),JNJ[12](1),MCD[15](4),TRV[22](2),
張數,115260,26752,26260,29840,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,10.599999999627471,25.600000000093132,48.000000000000000,4.799999999813735,
20140311,2490779.199999999720603,2501070.080000000074506,2594010.799999999813735,2494031.999999999534339,10079892.079999998211861
20140312,2514983.799999999813735,2504012.799999999813735,2592172.599999999627471,2489556.000000000000000,10100725.199999999254942
20140313,2480405.799999999348074,2487961.600000000093132,2556984.200000000186265,2464490.399999999906868,9989842.000000000000000
20140314,2460811.599999999627471,2482878.720000000204891,2562498.799999999813735,2466579.199999999720603,9972768.320000000298023
20140317,2479253.199999999720603,2512840.960000000428408,2563024.000000000000000,2492838.399999999906868,10047956.560000000521541
20140318,2493084.399999999441206,2513108.479999999981374,2555408.600000000093132,2505072.799999999813735,10066674.279999997466803
20140319,2493084.399999999441206,2503745.280000000260770,2523634.000000000000000,2482692.799999999813735,10003156.480000000447035
20140320,2516136.399999999441206,2517923.840000000316650,2536764.000000000000000,2483588.000000000000000,10054412.240000000223517
20140321,2494236.999999999534339,2566344.960000000428408,2507090.200000000186265,2500000.000000000000000,10067672.160000000149012
20140324,2486168.799999999813735,2546816.000000000000000,2525734.800000000279397,2502387.199999999720603,10061106.799999998882413
20140325,2574918.999999999534339,2605135.359999999869615,2518644.600000000093132,2507460.000000000000000,10206158.959999999031425
20140326,2572613.799999999813735,2596307.200000000186265,2516806.399999999906868,2489556.000000000000000,10175283.400000000372529
20140327,2538035.799999999348074,2602460.160000000149012,2525209.600000000093132,2491346.399999999441206,10157051.959999997168779
20140328,2573766.399999999441206,2606740.479999999981374,2553570.399999999906868,2506266.399999999441206,10240343.679999999701977
20140331,2584139.799999999813735,2627874.560000000055879,2574315.799999999813735,2539388.799999999813735,10325718.959999999031425
20140401,2662516.599999999627471,2620116.479999999981374,2570902.000000000000000,2518202.399999999906868,10371737.480000000447035
20140402,2649837.999999999534339,2627874.560000000055879,2562761.399999999906868,2525960.799999999813735,10366434.759999997913837
20140403,2661363.999999999534339,2628677.120000000111759,2564599.600000000093132,2535808.000000000000000,10390448.719999998807907
20140404,2617565.199999999720603,2632957.439999999944121,2570114.200000000186265,2542372.799999999813735,10363009.640000000596046
20140407,2633701.599999999627471,2618778.879999999888241,2547530.600000000093132,2536404.799999999813735,10336415.879999998956919
20140408,2644075.000000000000000,2623326.720000000204891,2575628.799999999813735,2528348.000000000000000,10371378.519999999552965
20140409,2664821.799999999813735,2647136.000000000000000,2582719.000000000000000,2560873.599999999627471,10455550.399999998509884
20140410,2610649.599999999627471,2582663.680000000167638,2611079.800000000279397,2536106.399999999441206,10340499.480000000447035
20140411,2588750.199999999720603,2591491.840000000316650,2607403.400000000372529,2545356.799999999813735,10333002.240000000223517
20140414,2633701.599999999627471,2598714.879999999888241,2628936.600000000093132,2551324.799999999813735,10412677.879999998956919
20140415,2638311.999999999534339,2653824.000000000000000,2647843.799999999813735,2562962.399999999906868,10502942.199999999254942
20140416,2654448.399999999906868,2641785.600000000093132,2647843.799999999813735,2589520.000000000000000,10533597.800000000745058
20140417,2675195.199999999720603,2647403.520000000018626,2632613.000000000000000,2586536.000000000000000,10541747.719999998807907
20140421,2697094.599999999627471,2675225.600000000093132,2617382.200000000186265,2578180.799999999813735,10567883.199999999254942
20140422,2710925.799999999348074,2680040.960000000428408,2608191.199999999720603,2592802.399999999906868,10591960.359999999403954
20140423,2708620.599999999627471,2681111.040000000037253,2603201.799999999813735,2629803.999999999534339,10622737.439999999478459
20140424,2689026.399999999441206,2674155.520000000018626,2621846.399999999906868,2643530.399999999906868,10628558.720000000670552
20140425,2650990.599999999627471,2669607.680000000167638,2645217.800000000279397,2635175.199999999720603,10600991.279999999329448
20140428,2653295.799999999348074,2711073.280000000260770,2634188.600000000093132,2674862.399999999906868,10673420.080000000074506
20140429,2669432.199999999720603,2702780.160000000149012,2665438.000000000000000,2712460.799999999813735,10750111.160000000149012
20140430,2663669.199999999720603,2709735.680000000167638,2662286.799999999813735,2702911.999999999534339,10738603.679999999701977
20140501,2652143.199999999720603,2689404.160000000149012,2651257.599999999627471,2710371.999999999534339,10703176.959999999031425
20140502,2644075.000000000000000,2656766.720000000204891,2663599.800000000279397,2715444.799999999813735,10679886.320000000298023
20140505,2646380.199999999720603,2675225.600000000093132,2655984.399999999906868,2705000.799999999813735,10682591.000000000000000
20140506,2618717.799999999348074,2662117.120000000111759,2650995.000000000000000,2682023.999999999534339,10613853.919999999925494
20140507,2636006.799999999813735,2699569.919999999925494,2677517.599999999627471,2717533.599999999627471,10730627.919999998062849
20140508,2653295.799999999348074,2688601.600000000093132,2677255.000000000000000,2722606.399999999441206,10741758.799999998882413
20140509,2653295.799999999348074,2699569.919999999925494,2702989.800000000279397,2724396.799999999813735,10780252.320000000298023
20140512,2672890.000000000000000,2689136.640000000130385,2701151.600000000093132,2746478.399999999906868,10809656.640000000596046
20140513,2634854.199999999720603,2702512.640000000130385,2718745.799999999813735,2772439.199999999720603,10828551.839999999850988
20140514,2629091.199999999254942,2698499.840000000316650,2705615.799999999813735,2764680.799999999813735,10797887.639999998733401
20140515,2786997.399999999441206,2693684.479999999981374,2691698.000000000000000,2756325.600000000093132,10928705.479999998584390
20140516,2808896.799999999813735,2690741.760000000242144,2708504.399999999906868,2762591.999999999534339,10970734.960000000894070
20140519,2806591.599999999627471,2692346.879999999888241,2680931.399999999906868,2768261.599999999627471,10948131.479999998584390
20140520,2780081.799999999813735,2681913.600000000093132,2666225.799999999813735,2765277.600000000093132,10893498.800000000745058
20140521,2821575.399999999906868,2705722.879999999888241,2693273.600000000093132,2770947.199999999720603,10991519.079999998211861
20140522,2810049.399999999441206,2700907.520000000018626,2690385.000000000000000,2775423.200000000186265,10976765.120000001043081
20140523,2826185.799999999348074,2701442.560000000055879,2678568.000000000000000,2770947.199999999720603,10977143.559999998658895
20140527,2848085.199999999720603,2696894.720000000204891,2688021.600000000093132,2789746.399999999441206,11022747.919999998062849
20140528,2860763.799999999813735,2683251.200000000186265,2660186.000000000000000,2788851.199999999720603,10993052.199999999254942
20140529,2844627.399999999441206,2695557.120000000111759,2661236.399999999906868,2807948.799999999813735,11009369.719999998807907
20140530,2837711.799999999813735,2714283.520000000018626,2663599.800000000279397,2788552.799999999813735,11004147.920000001788139
20140602,2856153.399999999906868,2733277.439999999944121,2679355.799999999813735,2796311.199999999720603,11065097.839999999850988
20140603,2844627.399999999441206,2741035.520000000018626,2664125.000000000000000,2787359.199999999720603,11037147.119999999180436
