訓練日期,20150429 - 20150730
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10982529.030000001192093
真實報酬,982529.030000001192093

夏普值報酬,0.089552903000000
夏普值風險,0.027658702154944
夏普值,3.237783989224255

預期報酬,15956.707296962575128
風險,92221.795273420400918
趨勢值,0.173025337987120
找到最佳解世代,1840
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),GS[8](3),JPM[13](2),NKE[19](1),
Stock#,DIS[6](4),GS[8](3),JPM[13](2),NKE[19](1),
張數,22743,12658,39834,50070,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,89.439999999944121,171.580000000074506,18.160000000149012,4.899999999906868,
20150429,2497498.270000000018626,2513544.060000000055879,2533460.560000000055879,2508011.200000000186265,10052514.089999999850988
20150430,2472708.399999999906868,2486455.939999999944121,2519917.000000000000000,2474464.299999999813735,9953545.640000000596046
20150501,2513645.799999999813735,2500506.320000000298023,2533858.899999999906868,2523032.199999999720603,10071043.219999998807907
20150504,2525244.729999999981374,2522910.980000000447035,2578074.640000000130385,2524534.299999999813735,10150764.650000002235174
20150505,2520241.270000000018626,2497468.399999999906868,2565327.760000000242144,2514019.600000000093132,10097057.029999999329448
20150506,2495451.399999999906868,2484304.080000000074506,2546207.440000000409782,2509012.600000000093132,10034975.520000001415610
20150507,2484989.620000000111759,2498734.199999999720603,2569311.160000000149012,2540055.999999999534339,10093090.980000000447035
20150508,2504321.169999999925494,2538100.580000000074506,2608746.819999999832362,2564590.299999999813735,10215758.870000001043081
20150511,2469979.239999999757856,2553669.919999999925494,2607153.460000000428408,2573602.899999999906868,10204405.520000001415610
20150512,2484534.759999999776483,2538480.320000000298023,2603568.399999999906868,2563088.199999999720603,10189671.679999999701977
20150513,2483397.609999999869615,2549872.520000000018626,2609941.839999999850988,2557580.500000000000000,10200792.469999998807907
20150514,2500227.430000000167638,2564935.540000000037253,2631053.859999999869615,2589625.299999999813735,10285842.129999998956919
