訓練日期,20160420 - 20160721
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10917041.260000001639128
真實報酬,917041.260000001639128

夏普值報酬,0.083004126000000
夏普值風險,0.026241726323041
夏普值,3.163058900096805

預期報酬,14090.108253242960927
風險,95993.273376170254778
趨勢值,0.146782245856205
找到最佳解世代,2242
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](3),XOM[29](1),
Stock#,UNH[23](3),XOM[29](1),
張數,38314,57997,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.000000000000000,78.630000000819564,
20160420,5131417.020000000484288,5034218.230000000447035,10165635.250000000000000
20160421,5094252.440000000409782,5033638.260000001639128,10127890.700000002980232
20160422,5139079.819999999366701,5076556.040000000968575,10215635.859999999403954
20160425,5125669.919999999925494,5064956.640000000596046,10190626.560000000521541
20160426,5143294.360000000335276,5082355.740000000223517,10225650.100000001490116
20160427,5088122.200000000186265,5130493.250000000000000,10218615.449999999254942
20160428,5060152.979999999515712,5105554.540000000968575,10165707.519999999552965
20160429,5045210.520000000484288,5127013.430000001564622,10172223.950000002980232
20160502,5061302.399999999441206,5169351.240000000223517,10230653.640000000596046
20160503,5075095.440000000409782,5110194.300000000745058,10185289.740000002086163
20160504,5058620.419999999925494,5100334.810000000521541,10158955.230000000447035
20160505,5069348.339999999850988,5106134.510000001639128,10175482.850000001490116
20160506,5059003.559999999590218,5133393.100000001490116,10192396.660000000149012
20160509,5083141.379999999888241,5136872.920000000856817,10220014.300000000745058
20160510,5117623.979999999515712,5219228.660000000149012,10336852.640000000596046
20160511,5007279.660000000149012,5150792.200000001117587,10158071.860000001266599
20160512,4970881.360000000335276,5200669.620000001043081,10171550.980000000447035
20160513,4942529.000000000000000,5142092.650000000372529,10084621.650000000372529
20160516,5005363.959999999031425,5194869.920000000856817,10200233.879999998956919
20160517,4963984.839999999850988,5192550.040000000968575,10156534.880000000819564
20160518,5000383.139999999664724,5182110.580000000074506,10182493.719999998807907
20160519,4980843.000000000000000,5226188.300000000745058,10207031.300000000745058
20160520,5016858.160000000149012,5204729.410000000149012,10221587.570000000298023
20160523,4996934.879999999888241,5196609.830000000074506,10193544.710000000894070
20160524,5080076.259999999776483,5200669.620000001043081,10280745.880000000819564
20160525,5111876.879999999888241,5234887.850000001490116,10346764.730000000447035
20160526,5095018.719999999739230,5208209.230000000447035,10303227.949999999254942
20160527,5134099.000000000000000,5220388.600000001490116,10354487.600000001490116
20160531,5121455.379999999888241,5162971.570000000298023,10284426.949999999254942
20160601,5154405.419999999925494,5175730.910000000149012,10330136.330000000074506
20160602,5212259.559999999590218,5134553.040000000968575,10346812.600000001490116
20160603,5242910.759999999776483,5125273.520000001415610,10368184.280000001192093
20160606,5293102.100000000558794,5181530.610000001266599,10474632.710000000894070
20160607,5246742.160000000149012,5260986.500000000000000,10507728.660000000149012
20160608,5379308.600000000558794,5265626.260000001639128,10644934.860000003129244
20160609,5390036.520000000484288,5258666.620000001043081,10648703.140000000596046
20160610,5334864.360000000335276,5218648.690000001341105,10553513.050000000745058
20160613,5290803.259999999776483,5254026.860000001266599,10544830.120000001043081
20160614,5282374.180000000633299,5244747.340000000782311,10527121.520000001415610
20160615,5259002.639999999664724,5229088.150000000372529,10488090.789999999105930
20160616,5312642.240000000223517,5290564.970000000670552,10603207.210000000894070
20160617,5275477.660000000149012,5261566.470000000670552,10537044.130000000819564
20160620,5307278.280000000260770,5284765.270000001415610,10592043.550000000745058
20160621,5294634.660000000149012,5308544.040000000968575,10603178.700000001117587
20160622,5283523.600000000558794,5287665.120000001043081,10571188.720000002533197
20160623,5332948.660000000149012,5324203.230000000447035,10657151.890000000596046
20160624,5260152.059999999590218,5184430.460000000894070,10444582.519999999552965
20160627,5253255.540000000968575,5153692.050000000745058,10406947.590000001713634
20160628,5314557.940000000409782,5272585.900000000372529,10587143.839999999850988
20160629,5383906.280000000260770,5362481.250000000000000,10746387.530000001192093
20160630,5409959.799999999813735,5436717.410000000149012,10846677.210000000894070
20160701,5396933.040000000968575,5442517.110000001266599,10839450.150000002235174
20160705,5423752.839999999850988,5394959.570000000298023,10818712.410000000149012
20160706,5455170.319999999366701,5457016.360000001266599,10912186.679999999701977
20160707,5394634.200000000186265,5391479.750000000000000,10786113.949999999254942
20160708,5412641.780000000260770,5425118.010000001639128,10837759.790000002831221
20160711,5376243.479999999515712,5445416.960000000894070,10821660.440000001341105
20160712,5358619.040000000968575,5506893.780000001192093,10865512.820000002160668
20160713,5420687.719999999739230,5502833.990000000223517,10923521.710000000894070
20160714,5396166.759999999776483,5506893.780000001192093,10903060.540000000968575
20160715,5414940.620000000111759,5516753.270000001415610,10931693.890000000596046
20160718,5392718.500000000000000,5499354.170000000856817,10892072.670000001788139
20160719,5463216.259999999776483,5479055.220000000670552,10942271.480000000447035
20160720,5479691.280000000260770,5447736.840000000782311,10927428.120000001043081
20160721,5473944.180000000633299,5443097.080000000074506,10917041.260000001639128
