訓練日期,20091218 - 20100324
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11380486.439999999478459
真實報酬,1380486.439999999478459

夏普值報酬,0.129348644000000
夏普值風險,0.037609315367315
夏普值,3.439271434130203

預期報酬,19673.787758287500765
風險,134401.881940548308194
趨勢值,0.146380299696920
找到最佳解世代,1837
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](3),TRV[22](2),UNH[23](9),
Stock#,BA[2](1),MCD[15](3),TRV[22](2),UNH[23](9),
張數,45896,40374,51674,78566,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,44.879999999888241,41.919999999925494,11.879999999888241,29.879999999888241,
20091218,2452727.119999999646097,2510093.500000000000000,2487598.239999999757856,2478001.520000000018626,9928420.379999998956919
20091221,2492197.679999999701977,2529876.759999999776483,2514985.459999999962747,2527498.100000000093132,10064558.000000000000000
20091222,2528914.479999999981374,2542392.699999999720603,2528937.439999999944121,2539283.000000000000000,10139527.619999999180436
20091223,2522489.040000000037253,2558138.560000000055879,2541339.199999999720603,2484286.799999999813735,10106253.599999997764826
20091224,2546354.959999999962747,2560561.000000000000000,2580611.439999999944121,2489000.759999999776483,10176528.160000000149012
20091228,2530750.319999999832362,2568232.060000000055879,2574927.299999999813735,2466216.620000000111759,10140126.300000000745058
20091229,2533963.040000000037253,2567424.580000000074506,2576994.259999999776483,2423790.979999999981374,10102172.859999999403954
20091230,2522489.040000000037253,2539162.779999999795109,2597147.119999999646097,2436361.540000000037253,10095160.480000000447035
20091231,2484395.359999999869615,2520994.479999999981374,2576477.520000000018626,2394721.560000000055879,9976588.919999999925494
20100104,2578482.159999999683350,2534721.640000000130385,2573893.819999999832362,2477215.859999999869615,10164313.479999998584390
20100105,2662930.799999999813735,2515342.119999999646097,2512918.500000000000000,2473287.560000000055879,10164478.980000000447035
20100106,2743707.759999999776483,2481024.220000000204891,2477263.439999999944121,2497643.020000000018626,10199638.439999999478459
20100107,2854776.080000000074506,2499192.520000000018626,2512918.500000000000000,2593493.539999999571592,10460380.639999998733401
20100108,2827238.479999999981374,2496770.080000000074506,2509301.319999999832362,2569138.080000000074506,10402447.960000000894070
20100111,2793734.399999999906868,2516149.600000000093132,2508267.839999999850988,2586422.600000000093132,10404574.439999999478459
20100112,2773540.159999999683350,2529876.759999999776483,2524286.779999999795109,2518070.179999999701977,10345773.879999998956919
20100113,2807044.239999999757856,2527050.580000000074506,2533071.359999999869615,2556567.520000000018626,10423733.699999999254942
20100114,2825402.640000000130385,2529473.020000000018626,2546506.600000000093132,2617849.000000000000000,10519231.259999999776483
20100115,2791439.600000000093132,2514534.640000000130385,2521186.339999999850988,2651632.379999999888241,10478792.960000000894070
20100119,2783637.279999999795109,2562983.439999999944121,2554257.699999999720603,2760053.459999999962747,10660931.879999998956919
20100120,2762984.080000000074506,2544007.659999999683350,2528420.699999999720603,2714485.179999999701977,10549897.619999999180436
20100121,2717088.080000000074506,2551678.720000000204891,2529454.180000000167638,2600564.479999999981374,10398785.460000000894070
20100122,2651456.799999999813735,2559349.779999999795109,2496382.819999999832362,2605278.439999999478459,10312467.839999999850988
20100125,2651915.759999999776483,2547237.580000000074506,2526353.739999999757856,2592707.879999999888241,10318214.960000000894070
20100126,2648703.040000000037253,2576306.859999999869615,2595596.899999999906868,2548710.919999999925494,10369317.720000000670552
20100127,2842384.159999999683350,2573076.939999999944121,2630218.479999999981374,2611563.720000000204891,10657243.300000000745058
20100128,2871298.640000000130385,2536740.339999999850988,2597663.859999999869615,2626491.259999999776483,10632194.099999999627471
20100129,2781342.479999999981374,2520590.739999999757856,2618333.459999999962747,2592707.879999999888241,10512974.559999998658895
20100201,2831828.080000000074506,2579536.779999999795109,2619366.939999999944121,2602921.459999999962747,10633653.259999997913837
20100202,2842843.119999999646097,2585189.140000000130385,2640036.540000000037253,2675202.179999999701977,10743270.980000000447035
20100203,2820813.040000000037253,2632830.459999999497086,2613166.060000000055879,2617849.000000000000000,10684658.560000000521541
20100204,2722595.600000000093132,2586400.359999999869615,2569759.899999999906868,2550282.239999999757856,10429038.099999999627471
20100205,2680371.279999999795109,2558542.299999999813735,2598180.600000000093132,2556567.520000000018626,10393661.699999999254942
20100208,2656964.319999999832362,2540374.000000000000000,2534621.579999999608845,2546353.939999999478459,10278313.839999999850988
20100209,2741871.919999999925494,2566617.100000000093132,2561492.060000000055879,2592707.879999999888241,10462688.960000000894070
20100210,2732692.719999999739230,2553697.419999999925494,2567692.939999999944121,2569923.739999999757856,10424006.820000000298023
20100211,2780883.520000000018626,2575499.379999999888241,2594046.680000000167638,2602135.799999999813735,10552565.379999998956919
