訓練日期,20110207 - 20110510
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10860668.780000001192093
真實報酬,860668.780000001192093

夏普值報酬,0.077366878000000
夏普值風險,0.023939635325718
夏普值,3.231748393296771

預期報酬,13046.598150536494359
風險,88437.184541161681409
趨勢值,0.147523897535026
找到最佳解世代,2122
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](3),MCD[15](7),PFE[20](5),TRV[22](6),
Stock#,CVX[5](3),MCD[15](7),PFE[20](5),TRV[22](6),
張數,25744,33760,129533,43546,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.160000000149012,72.000000000000000,13.100000000093132,24.140000000130385,
20110207,2514159.200000000186265,2479744.000000000000000,2466321.419999999925494,2489984.419999999925494,9950209.039999999105930
20110208,2516218.720000000204891,2544225.600000000093132,2481865.379999999888241,2520466.620000000111759,10062776.320000000298023
20110209,2477602.720000000204891,2563468.800000000279397,2467616.750000000000000,2560964.400000000372529,10069652.670000001788139
20110210,2489444.960000000428408,2557729.600000000093132,2465026.090000000316650,2545723.300000000279397,10057923.950000001117587
20110211,2483008.960000000428408,2570558.399999999906868,2439119.489999999757856,2568802.680000000167638,10061489.529999999329448
20110214,2495880.960000000428408,2573934.399999999906868,2467616.750000000000000,2562270.780000000260770,10099702.890000000596046
20110215,2480177.120000000111759,2570896.000000000000000,2467616.750000000000000,2584479.240000000223517,10103169.109999999403954
20110216,2488415.200000000186265,2566507.199999999720603,2497409.340000000316650,2589269.300000000279397,10141601.040000000968575
20110217,2501544.640000000130385,2565156.800000000279397,2509067.310000000055879,2603204.020000000018626,10178972.769999999552965
20110218,2541447.840000000316650,2570220.799999999813735,2485751.370000000111759,2652846.460000000428408,10250266.470000000670552
20110222,2582638.239999999757856,2555704.000000000000000,2446891.470000000204891,2635863.520000000018626,10221097.230000000447035
20110223,2632839.040000000037253,2538486.399999999906868,2430052.180000000167638,2631073.460000000428408,10232451.080000000074506
20110224,2626660.479999999981374,2539161.599999999627471,2448186.799999999813735,2583608.319999999832362,10197617.199999999254942
20110225,2628462.560000000055879,2513166.399999999906868,2443005.479999999981374,2595365.740000000223517,10180000.179999999701977
20110228,2670940.160000000149012,2555028.800000000279397,2492228.020000000018626,2609735.919999999925494,10327932.900000000372529
20110301,2649057.760000000242144,2528358.399999999906868,2479274.720000000204891,2578818.260000000242144,10235509.140000000596046
20110302,2663731.840000000316650,2521606.399999999906868,2485751.370000000111759,2560964.400000000372529,10232054.010000001639128
20110303,2682267.520000000018626,2573934.399999999906868,2560880.510000000242144,2571415.439999999944121,10388497.869999999180436
20110304,2670940.160000000149012,2566844.799999999813735,2546631.879999999888241,2577076.419999999925494,10361493.259999999776483
20110307,2651889.600000000093132,2575622.400000000372529,2540155.229999999981374,2567496.300000000279397,10335163.530000001192093
20110308,2671455.040000000037253,2550302.400000000372529,2549222.540000000037253,2571850.900000000372529,10342830.880000000819564
20110309,2629492.320000000298023,2558404.799999999813735,2546631.879999999888241,2586656.540000000037253,10321185.539999999105930
20110310,2550715.680000000167638,2588788.800000000279397,2507771.979999999981374,2548336.060000000055879,10195612.520000001415610
20110311,2572598.080000000540167,2590476.800000000279397,2522020.609999999869615,2564012.620000000111759,10249108.109999999403954
20110314,2594995.359999999869615,2554691.200000000186265,2566061.830000000074506,2563141.700000000186265,10278890.089999999850988
20110315,2606065.280000000260770,2536123.200000000186265,2559585.180000000167638,2548336.060000000055879,10250109.720000000670552
20110316,2561785.600000000093132,2477380.799999999813735,2500000.000000000000000,2527869.439999999944121,10067035.839999999850988
20110317,2632066.720000000204891,2478056.000000000000000,2575129.140000000130385,2555303.419999999925494,10240555.280000001192093
20110318,2646483.359999999869615,2464214.399999999906868,2613989.040000000037253,2528304.900000000372529,10252991.699999999254942
20110321,2708011.520000000018626,2490209.600000000093132,2588082.439999999944121,2567060.840000000316650,10353364.400000000372529
20110322,2709041.280000000260770,2493923.200000000186265,2582901.120000000111759,2537885.020000000018626,10323750.620000001043081
20110323,2715477.280000000260770,2516204.799999999813735,2580310.460000000428408,2544416.919999999925494,10356409.460000000894070
20110324,2712902.879999999888241,2529708.800000000279397,2629533.000000000000000,2561835.319999999832362,10433980.000000000000000
20110325,2748944.479999999981374,2540512.000000000000000,2636009.650000000372529,2568367.220000000204891,10493833.350000001490116
20110328,2729893.920000000391155,2532072.000000000000000,2625647.010000000242144,2565319.000000000000000,10452931.929999999701977
20110329,2764133.440000000409782,2544563.200000000186265,2639895.640000000130385,2580560.100000000093132,10529152.380000000819564
20110330,2780609.600000000093132,2559417.600000000093132,2634714.320000000298023,2586221.080000000074506,10560962.600000001490116
20110331,2767222.720000000204891,2568870.399999999906868,2630828.330000000074506,2590140.220000000204891,10557061.669999999925494
20110401,2788590.239999999757856,2565494.399999999906868,2639895.640000000130385,2600155.800000000279397,10594136.080000000074506
20110404,2786273.280000000260770,2578998.399999999906868,2660620.919999999925494,2596672.120000000111759,10622564.719999998807907
20110405,2814591.680000000167638,2586088.000000000000000,2648962.950000000186265,2574899.120000000111759,10624541.750000000000000
20110406,2797343.200000000186265,2590139.200000000186265,2628237.669999999925494,2610171.379999999888241,10625891.449999999254942
20110407,2804551.520000000018626,2566169.600000000093132,2633418.989999999757856,2603639.479999999981374,10607779.589999999850988
20110408,2823087.200000000186265,2567182.400000000372529,2650258.280000000260770,2594494.819999999832362,10635022.700000001117587
20110411,2774688.479999999981374,2574272.000000000000000,2677460.210000000428408,2631073.460000000428408,10657494.150000002235174
20110412,2682010.080000000540167,2588113.600000000093132,2650258.280000000260770,2599284.879999999888241,10519666.839999999850988
20110413,2672484.800000000279397,2595878.399999999906868,2650258.280000000260770,2609735.919999999925494,10528357.400000000372529
20110414,2700030.879999999888241,2601955.199999999720603,2654144.270000000018626,2596672.120000000111759,10552802.469999998807907
20110415,2735042.720000000204891,2612420.799999999813735,2659325.590000000316650,2604074.939999999944121,10610864.049999998882413
20110418,2690248.160000000149012,2599592.000000000000000,2642486.299999999813735,2569673.600000000093132,10502000.060000000521541
20110419,2713417.760000000242144,2586088.000000000000000,2659325.590000000316650,2533530.419999999925494,10492361.769999999552965
20110420,2775460.800000000279397,2646856.000000000000000,2641190.970000000204891,2574899.120000000111759,10638406.890000000596046
20110421,2783698.879999999888241,2596553.600000000093132,2563471.169999999925494,2670264.860000000335276,10613988.510000001639128
20110425,2765420.640000000130385,2603980.799999999813735,2608807.720000000204891,2690296.020000000018626,10668505.179999999701977
20110426,2799660.160000000149012,2597566.399999999906868,2615284.370000000111759,2673313.080000000074506,10685824.010000001639128
20110427,2805323.840000000316650,2628963.200000000186265,2672278.890000000130385,2710762.640000000130385,10817328.570000002160668
20110428,2801204.800000000279397,2634364.799999999813735,2698185.489999999757856,2746034.900000000372529,10879789.990000000223517
20110429,2817423.520000000018626,2643817.600000000093132,2716320.109999999869615,2755615.020000000018626,10933176.250000000000000
20110502,2784986.080000000540167,2654958.399999999906868,2722796.760000000242144,2766066.060000000055879,10928807.300000000745058
20110503,2733240.640000000130385,2665086.399999999906868,2647667.620000000111759,2789145.439999999944121,10835140.099999999627471
20110504,2694882.080000000540167,2669475.199999999720603,2673574.220000000204891,2766936.979999999981374,10804868.480000000447035
20110505,2641849.440000000409782,2653608.000000000000000,2641190.970000000204891,2743422.140000000130385,10680070.550000000745058
20110506,2648542.879999999888241,2656984.000000000000000,2661916.250000000000000,2762146.919999999925494,10729590.050000000745058
20110509,2679693.120000000111759,2677577.600000000093132,2668392.900000000372529,2760405.080000000074506,10786068.700000001117587
20110510,2686644.000000000000000,2691081.599999999627471,2702071.479999999981374,2780871.700000000186265,10860668.780000001192093
