訓練日期,20150423 - 20150724
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10925514.120000001043081
真實報酬,925514.120000001043081

夏普值報酬,0.083851412000000
夏普值風險,0.028696512369654
夏普值,2.922007069007854

預期報酬,15332.695524902579564
風險,83951.010032833699370
趨勢值,0.182638606955484
找到最佳解世代,3020
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),GS[8](4),JPM[13](1),NKE[19](3),
Stock#,DIS[6](2),GS[8](4),JPM[13](1),NKE[19](3),
張數,23161,12605,39720,49920,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.660000000149012,176.399999999906868,23.200000000186265,6.399999999906868,
20150423,2524550.660000000149012,2512478.949999999720603,2494439.200000000186265,2523961.600000000093132,10055430.410000000149012
20150424,2536825.990000000223517,2495840.350000000093132,2486495.200000000186265,2519967.999999999534339,10039129.539999999105930
20150427,2551417.419999999925494,2477311.000000000000000,2476168.000000000465661,2519468.799999999813735,10024365.219999998807907
20150428,2545858.780000000260770,2489537.850000000093132,2492850.399999999906868,2492512.000000000000000,10020759.030000001192093
20150429,2543311.070000000298023,2503025.199999999720603,2526215.200000000186265,2500499.200000000186265,10073050.669999999925494
20150430,2518065.580000000074506,2476050.499999999534339,2512710.399999999906868,2467052.799999999813735,9973879.280000001192093
20150501,2559755.379999999888241,2490042.049999999813735,2526612.400000000372529,2515475.199999999720603,10091885.029999999329448
20150504,2571567.490000000223517,2512352.899999999906868,2570701.600000000093132,2516972.799999999813735,10171594.789999999105930
20150505,2566472.070000000298023,2487016.849999999627471,2557991.200000000186265,2506489.600000000093132,10117969.720000000670552
20150506,2541226.580000000074506,2473907.649999999906868,2538925.600000000093132,2501497.600000000093132,10055557.429999999701977
20150507,2530572.520000000484288,2488277.349999999627471,2561963.200000000186265,2532447.999999999534339,10113261.070000000298023
20150508,2550259.370000000111759,2527478.899999999906868,2601286.000000000000000,2556908.799999999813735,10235933.070000000298023
20150511,2515286.260000000242144,2542983.049999999813735,2599697.200000000186265,2565894.399999999906868,10223860.910000000149012
20150512,2530109.299999999813735,2527857.049999999813735,2596122.400000000372529,2555411.199999999720603,10209499.949999999254942
20150513,2528951.250000000000000,2539201.549999999813735,2602477.600000000093132,2549920.000000000000000,10220550.400000000372529
20150514,2546090.390000000130385,2554201.500000000000000,2623529.200000000186265,2581868.799999999813735,10305689.890000000596046
20150515,2554659.959999999962747,2558613.250000000000000,2616776.799999999813735,2620307.200000000186265,10350357.210000000894070
20150518,2555354.790000000037253,2579915.699999999720603,2638225.600000000093132,2614816.000000000000000,10388312.089999999850988
20150519,2560681.820000000298023,2589243.399999999906868,2661660.400000000372529,2611820.799999999813735,10423406.420000001788139
20150520,2552343.860000000335276,2585209.800000000279397,2640608.800000000279397,2611321.600000000093132,10389484.060000000521541
20150521,2556744.450000000186265,2583571.149999999906868,2647361.200000000186265,2605830.399999999906868,10393507.199999999254942
