訓練日期,20160316 - 20160616
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10874812.980000000447035
真實報酬,874812.980000000447035

夏普值報酬,0.078781298000000
夏普值風險,0.024330041965419
夏普值,3.238025569868488

預期報酬,14848.319225644592734
風險,72827.184132057096576
趨勢值,0.203884296813127
找到最佳解世代,2167
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](3),PFE[20](1),TRV[22](24),XOM[29](2),
Stock#,JNJ[12](3),PFE[20](1),TRV[22](24),XOM[29](2),
張數,23199,84631,21945,30185,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,75.759999999776483,0.260000000242144,25.600000000093132,78.300000000279397,
20160316,2491880.349999999627471,2457684.500000000000000,2516678.200000000186265,2501509.250000000465661,9967752.300000000745058
20160317,2476337.019999999552965,2483073.800000000279397,2541914.950000000186265,2538636.800000000279397,10039962.570000000298023
20160318,2493968.259999999776483,2492383.209999999962747,2540378.800000000279397,2541655.300000000279397,10068385.570000000298023
20160321,2488864.479999999981374,2544854.430000000167638,2546303.950000000186265,2524148.000000000465661,10104170.860000001266599
20160322,2491184.379999999888241,2571090.040000000037253,2546962.300000000279397,2539240.500000000465661,10148477.220000000670552
20160323,2517167.259999999776483,2555010.150000000372529,2543231.649999999906868,2528072.050000000279397,10143481.110000001266599
20160324,2512759.449999999720603,2545700.740000000223517,2532259.149999999906868,2535014.600000000558794,10125733.940000001341105
20160328,2510903.529999999795109,2520311.440000000409782,2551131.850000000093132,2542259.000000000465661,10124605.820000000298023
20160329,2532014.619999999646097,2543161.810000000521541,2554643.049999999813735,2551616.350000000093132,10181435.830000000074506
20160330,2528302.779999999795109,2544854.430000000167638,2577026.950000000186265,2551314.500000000000000,10201498.660000000149012
20160331,2510207.560000000055879,2508463.100000000093132,2561226.549999999813735,2523242.450000000186265,10103139.660000000149012
20160401,2533174.569999999832362,2542315.500000000000000,2576368.600000000093132,2504225.899999999906868,10156084.570000000298023
20160404,2519255.169999999925494,2599864.580000000074506,2579879.800000000279397,2510262.900000000372529,10209262.450000001117587
20160405,2527606.810000000055879,2654028.420000000391155,2548498.450000000186265,2481587.149999999906868,10211720.830000000074506
20160406,2538510.339999999850988,2786899.090000000316650,2544109.450000000186265,2514790.650000000372529,10384309.530000001192093
20160407,2535030.489999999757856,2772511.820000000298023,2512728.100000000093132,2486416.750000000465661,10306687.160000000149012
20160408,2531086.659999999683350,2750507.760000000242144,2528747.950000000186265,2511772.149999999906868,10322114.519999999552965
20160411,2528070.789999999571592,2698882.850000000093132,2518872.700000000186265,2515092.500000000000000,10260918.839999999850988
20160412,2542686.159999999683350,2704807.020000000484288,2527870.149999999906868,2546183.050000000279397,10321546.380000000819564
20160413,2548949.889999999664724,2753893.000000000000000,2544767.799999999813735,2560671.850000000093132,10408282.539999999105930
20160414,2548253.919999999925494,2763202.410000000149012,2531600.800000000279397,2578782.850000000558794,10421839.980000000447035
20160415,2556141.580000000074506,2750507.760000000242144,2550692.950000000186265,2564897.750000000465661,10422240.040000000968575
20160418,2573540.830000000074506,2759817.170000000391155,2545865.050000000279397,2589347.600000000093132,10468570.650000000372529
20160419,2614139.080000000074506,2783513.850000000093132,2551570.750000000000000,2602327.149999999906868,10551550.830000000074506
20160420,2635018.179999999701977,2812288.390000000130385,2541256.600000000093132,2620136.300000000279397,10608699.470000000670552
20160421,2634786.189999999478459,2813134.700000000186265,2387422.150000000372529,2619834.450000000651926,10455177.490000000223517
20160422,2628986.439999999478459,2815673.630000000353903,2432409.400000000372529,2642171.350000000093132,10519240.820000000298023
20160425,2633394.250000000000000,2810595.770000000484288,2421436.900000000372529,2636134.350000000093132,10501561.270000001415610
20160426,2619474.849999999627471,2797054.810000000055879,2413317.250000000000000,2645189.850000000093132,10475036.759999999776483
20160427,2616226.989999999757856,2792823.260000000242144,2403661.450000000186265,2670243.399999999906868,10482955.099999999627471
20160428,2609499.279999999795109,2785206.469999999739230,2394883.450000000186265,2657263.850000000093132,10446853.050000000745058
20160429,2600219.679999999701977,2768280.270000000484288,2411781.100000000093132,2668432.300000000279397,10448713.350000001490116
20160502,2615763.009999999776483,2775897.060000000055879,2433945.549999999813735,2690467.350000000093132,10516072.970000000670552
20160503,2614371.069999999832362,2852064.960000000428408,2421217.450000000186265,2659678.650000000372529,10547332.130000000819564
20160504,2603467.539999999571592,2826675.660000000149012,2408050.450000000186265,2654547.200000000186265,10492740.849999999627471
20160505,2618778.879999999888241,2841062.930000000167638,2430434.350000000093132,2657565.700000000651926,10547841.860000001266599
20160506,2615531.019999999552965,2841909.240000000223517,2423850.850000000093132,2671752.650000000372529,10553043.759999999776483
20160509,2638266.039999999571592,2862220.680000000167638,2431751.050000000279397,2673563.750000000000000,10605801.519999999552965
20160510,2660305.089999999850988,2860528.060000000055879,2463790.750000000000000,2716426.450000000186265,10701050.350000001490116
20160511,2653345.389999999664724,2806364.219999999739230,2457207.250000000000000,2680808.150000000372529,10597725.009999999776483
20160512,2650097.529999999795109,2808903.149999999906868,2471910.399999999906868,2706767.250000000465661,10637678.330000000074506
20160513,2634554.199999999720603,2808903.149999999906868,2472568.750000000000000,2676280.400000000372529,10592306.500000000000000
20160516,2654969.319999999832362,2824983.040000000502914,2463132.399999999906868,2703748.750000000000000,10646833.509999999776483
20160517,2640817.929999999701977,2795362.190000000409782,2423192.500000000000000,2702541.350000000093132,10561913.970000000670552
20160518,2635250.169999999925494,2807210.530000000260770,2442504.100000000093132,2697108.050000000279397,10582072.850000001490116
20160519,2618082.909999999683350,2824983.040000000502914,2416170.100000000093132,2720048.650000000372529,10579284.700000001117587
20160520,2613211.119999999646097,2855450.200000000186265,2455451.649999999906868,2708880.200000000186265,10632993.170000001788139
20160523,2602075.599999999627471,2849526.030000000260770,2444479.149999999906868,2704654.300000000279397,10600735.080000000074506
20160524,2614371.069999999832362,2885917.360000000335276,2489466.399999999906868,2706767.250000000465661,10696522.080000000074506
20160525,2629682.409999999683350,2907075.110000000335276,2491660.900000000372529,2724576.400000000372529,10752994.820000000298023
20160526,2619242.859999999869615,2913845.590000000316650,2492977.600000000093132,2710691.300000000279397,10736757.350000001490116
20160527,2622954.699999999720603,2929079.170000000391155,2505705.700000000186265,2717030.150000000372529,10774769.720000000670552
20160531,2614371.069999999832362,2936695.960000000428408,2504827.899999999906868,2687147.000000000000000,10743041.929999999701977
20160601,2616458.979999999981374,2940927.510000000242144,2520189.400000000372529,2693787.700000000186265,10771363.589999999850988
20160602,2656129.269999999552965,2951083.229999999981374,2520847.750000000000000,2672356.350000000093132,10800416.599999999627471
20160603,2662393.000000000000000,2935849.649999999906868,2515361.500000000000000,2667526.750000000465661,10781130.900000000372529
20160606,2685823.989999999757856,2956161.090000000316650,2508997.450000000186265,2696806.200000000186265,10847788.730000000447035
20160607,2684896.029999999795109,2948544.300000000745058,2514483.700000000186265,2738159.649999999906868,10886083.679999999701977
20160608,2686519.959999999497086,2983243.010000000242144,2506583.500000000000000,2740574.450000000651926,10916920.919999999925494
20160609,2714358.759999999776483,2988320.870000000577420,2506583.500000000000000,2736952.250000000465661,10946215.380000000819564
20160610,2714590.750000000000000,2986628.250000000000000,2497586.050000000279397,2716124.600000000558794,10914929.650000002235174
20160613,2709486.969999999739230,2940081.200000000186265,2479810.600000000093132,2734537.450000000186265,10863916.219999998807907
20160614,2717142.639999999664724,2961238.950000000186265,2469935.350000000093132,2729707.850000000558794,10878024.789999999105930
20160615,2700671.349999999627471,2944312.750000000000000,2453696.050000000279397,2721557.900000000372529,10820238.050000000745058
20160616,2706007.119999999646097,2940927.510000000242144,2474324.350000000093132,2753554.000000000465661,10874812.980000000447035
