訓練日期,20120727 - 20121026
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10980392.300000000745058
真實報酬,980392.300000000745058

夏普值報酬,0.089339230000000
夏普值風險,0.030263108304036
夏普值,2.952083741777588

預期報酬,17449.825695190320403
風險,67591.910106146693579
趨勢值,0.258164411507043
找到最佳解世代,2083
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,4
PFE[20](6),PG[21](7),TRV[22](1),UNH[23](5),
Stock#,PFE[20](6),PG[21](7),TRV[22](1),UNH[23](5),
張數,106428,38723,40577,48067,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,6.280000000260770,43.120000000111759,51.029999999795109,35.330000000074506,
20120727,2536185.520000000018626,2520523.190000000409782,2545040.469999999739230,2563929.110000000335276,10165678.290000000968575
20120730,2523414.160000000149012,2520910.419999999925494,2564923.199999999720603,2560083.750000000000000,10169331.529999999329448
20120731,2558535.400000000372529,2499225.540000000502914,2542200.079999999608845,2455778.360000000335276,10055739.380000002682209
20120801,2547892.600000000558794,2478702.350000000093132,2570603.979999999981374,2461546.399999999906868,10058745.330000001937151
20120802,2545764.040000000502914,2459340.850000000093132,2551127.019999999552965,2456259.030000000260770,10012490.940000001341105
20120803,2584078.120000000577420,2536399.620000000111759,2585211.699999999720603,2480773.200000000186265,10186462.640000000596046
20120806,2581949.560000000521541,2548403.750000000000000,2577502.069999999832362,2451452.330000000074506,10159307.710000000894070
20120807,2526607.000000000000000,2564280.180000000167638,2571415.519999999552965,2525475.510000000242144,10187778.209999999031425
20120808,2536185.520000000018626,2583641.680000000167638,2589269.399999999906868,2534608.239999999757856,10243704.839999999850988
20120809,2540442.640000000596046,2584028.910000000149012,2592515.559999999590218,2500480.670000000391155,10217467.780000001192093
20120810,2547892.600000000558794,2585577.830000000074506,2596167.489999999757856,2494712.629999999888241,10224350.550000000745058
20120813,2524478.439999999944121,2574348.160000000149012,2586023.239999999757856,2494712.629999999888241,10179562.469999998807907
20120814,2552149.720000000204891,2584028.910000000149012,2578313.609999999869615,2498077.319999999832362,10212569.560000000521541
20120815,2558535.400000000372529,2580543.840000000316650,2586834.779999999795109,2538934.270000000018626,10264848.289999999105930
20120816,2556406.840000000316650,2594484.120000000111759,2598196.339999999850988,2566332.459999999962747,10315419.760000001639128
20120817,2531928.400000000372529,2594484.120000000111759,2642831.039999999571592,2553835.040000000037253,10323078.600000001490116
20120820,2544699.760000000242144,2584803.370000000111759,2663525.309999999590218,2557199.729999999981374,10350228.169999999925494
20120821,2521285.600000000558794,2585577.830000000074506,2646888.739999999757856,2567774.470000000204891,10321526.640000000596046
20120822,2522349.880000000353903,2588675.669999999925494,2655815.679999999701977,2594211.319999999832362,10361052.550000000745058
20120823,2526607.000000000000000,2582092.760000000242144,2629440.629999999888241,2591807.970000000204891,10329948.359999999403954
20120824,2555342.560000000521541,2595258.580000000074506,2653786.830000000074506,2603344.049999999813735,10407732.019999999552965
20120827,2542571.200000000186265,2598743.649999999906868,2644859.890000000130385,2624974.200000000186265,10411148.940000001341105
20120828,2538314.080000000540167,2594096.890000000130385,2631063.709999999962747,2611515.439999999944121,10374990.120000001043081
20120829,2550021.160000000149012,2589450.130000000353903,2629440.629999999888241,2626416.209999999962747,10395328.130000000819564
20120830,2537249.800000000279397,2589837.359999999869615,2616861.759999999776483,2628819.560000000055879,10372768.480000000447035
20120831,2539378.360000000335276,2601841.490000000223517,2627006.009999999776483,2610073.430000000167638,10378299.290000000968575
20120904,2530864.120000000577420,2609973.320000000298023,2622948.309999999590218,2622570.850000000093132,10386356.600000001490116
20120905,2545764.040000000502914,2605713.790000000502914,2618484.839999999850988,2609112.090000000316650,10379074.760000001639128
20120906,2590463.800000000279397,2642500.640000000130385,2651352.209999999962747,2638432.959999999962747,10522749.609999999403954
20120907,2579821.000000000000000,2653343.080000000074506,2646077.199999999720603,2637952.290000000037253,10517193.570000000298023
20120910,2564921.080000000540167,2652955.850000000093132,2650134.899999999906868,2583155.910000000149012,10451167.740000000223517
20120911,2572371.040000000502914,2643275.100000000093132,2716681.179999999701977,2537972.930000000167638,10470300.250000000000000
20120912,2561728.240000000223517,2637079.419999999925494,2740621.609999999869615,2538934.270000000018626,10478363.539999999105930
20120913,2580885.280000000260770,2668445.049999999813735,2777546.679999999701977,2590365.959999999962747,10617242.969999998807907
20120914,2532992.680000000167638,2678125.799999999813735,2782821.689999999944121,2607670.080000000074506,10601610.250000000000000
20120917,2556406.840000000316650,2681610.870000000111759,2778763.989999999757856,2618725.489999999757856,10635507.190000001341105
20120918,2555342.560000000521541,2680449.180000000167638,2777952.449999999720603,2649969.040000000037253,10663713.230000000447035
20120919,2571306.760000000242144,2681998.100000000093132,2768619.739999999757856,2641316.979999999981374,10663241.580000000074506
20120920,2597913.760000000242144,2693615.000000000000000,2777546.679999999701977,2640836.310000000055879,10709911.750000000000000
20120921,2609620.840000000316650,2688193.780000000260770,2784039.000000000000000,2700439.390000000130385,10782293.010000001639128
20120924,2634099.280000000260770,2701359.600000000093132,2776329.369999999646097,2690825.989999999757856,10802614.240000000223517
20120925,2643677.800000000279397,2694776.690000000409782,2778763.989999999757856,2701400.729999999981374,10818619.210000000894070
20120926,2642613.520000000018626,2683547.020000000018626,2750360.089999999850988,2681212.590000000316650,10757733.220000000670552
20120927,2656449.160000000149012,2683547.020000000018626,2775923.599999999627471,2703323.410000000149012,10819243.189999999478459
20120928,2644742.080000000540167,2685870.399999999906868,2769837.049999999813735,2663427.799999999813735,10763877.330000000074506
20121001,2664963.400000000372529,2689355.470000000204891,2802704.419999999459833,2713898.149999999906868,10870921.440000001341105
20121002,2673477.640000000596046,2663798.290000000502914,2787690.929999999701977,2730240.930000000167638,10855207.790000000968575
20121003,2694763.240000000223517,2678513.030000000260770,2800269.799999999813735,2733124.950000000186265,10906671.019999999552965
20121004,2697956.080000000540167,2686644.859999999869615,2811225.589999999850988,2786479.319999999832362,10982305.849999999627471
20121005,2716048.840000000316650,2696325.609999999869615,2822587.149999999906868,2746103.040000000037253,10981064.640000000596046
20121008,2703277.479999999981374,2675802.419999999925494,2821775.609999999869615,2768694.530000000260770,10969550.039999999105930
20121009,2693698.959999999962747,2660313.220000000204891,2812848.669999999459833,2762445.819999999832362,10929306.669999999925494
20121010,2677734.760000000242144,2638628.340000000316650,2816094.830000000074506,2745141.700000000186265,10877599.630000000819564
20121011,2673477.640000000596046,2633207.120000000111759,2806356.349999999627471,2771578.549999999813735,10884619.660000000149012
20121012,2673477.640000000596046,2630883.740000000223517,2788502.469999999739230,2743219.020000000018626,10836082.870000001043081
20121015,2721370.240000000223517,2660700.449999999720603,2831919.859999999869615,2763407.160000000149012,10977397.709999999031425
20121016,2745848.680000000167638,2671930.120000000111759,2860323.759999999776483,2734086.290000000037253,11012188.850000001490116
