訓練日期,20130905 - 20131205
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11680880.620000001043081
真實報酬,1680880.620000001043081

夏普值報酬,0.159388062000000
夏普值風險,0.047776736169890
夏普值,3.336101935327499

預期報酬,26952.289141514986113
風險,83545.493108933442272
趨勢值,0.322606141140042
找到最佳解世代,1852
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,5
AAPL[0](23),BA[2](3),MRK[17](27),MSFT[18](2),NKE[19](1),
Stock#,AAPL[0](23),BA[2](3),MRK[17](27),MSFT[18](2),NKE[19](1),
張數,28074,18802,41946,64102,61406,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,8.240000000223517,31.260000000009313,14.719999999972060,17.600000000093132,6.580000000074506,
20130905,1986243.740000000223517,2005264.560000000055879,1992869.179999999934807,2002564.080000000074506,2007368.719999999972060,9994310.280000001192093
20130906,1998034.820000000298023,1994359.399999999906868,1992030.260000000009313,1996794.899999999906868,1995087.520000000251457,9976306.900000000372529
20130909,2030039.180000000400469,2015417.639999999897555,2002516.760000000009313,2029486.920000000158325,2007982.780000000260770,10085443.280000001192093
20130910,1983717.080000000074506,2033843.600000000093132,2012583.799999999813735,2076281.380000000121072,2051581.039999999804422,10158006.900000000372529
20130911,1875912.919999999925494,2053773.719999999972060,2019295.159999999916181,2098717.080000000074506,2075529.379999999888241,10123228.259999999776483
20130912,1895845.460000000195578,2064490.859999999869615,2007130.820000000065193,2095511.979999999981374,2090266.820000000065193,10153245.940000001341105
20130913,1864402.580000000074506,2093257.919999999925494,2004614.059999999823049,2117306.660000000149012,2085354.340000000083819,10164935.560000000521541
20130916,1805166.440000000176951,2174858.599999999627471,2021392.459999999962747,2102563.199999999720603,2093951.180000000167638,10197931.879999998956919
20130917,1826221.940000000176951,2201933.480000000447035,2013842.179999999934807,2110896.459999999962747,2097635.540000000037253,10250529.600000001490116
20130918,1863560.360000000102445,2226188.060000000521541,2030201.119999999878928,2135896.240000000223517,2133251.020000000018626,10389096.800000000745058
20130919,1894161.020000000251457,2238221.339999999850988,2024328.679999999934807,2156408.880000000353903,2133865.080000000074506,10446985.000000000000000
20130920,1874509.220000000204891,2192908.519999999552965,2013842.179999999934807,2101922.180000000167638,2130180.719999999739230,10313362.820000000298023
20130923,1967714.900000000372529,2209454.280000000260770,2000000.000000000000000,2098717.080000000074506,2117899.520000000018626,10393785.780000001192093
20130924,1961538.620000000344589,2237469.259999999776483,1993708.100000000093132,2080768.520000000251457,2132022.899999999906868,10405507.400000000372529
20130925,1931218.700000000419095,2228256.280000000260770,1999580.540000000037253,2083973.619999999878928,2116057.340000000316650,10359086.480000000447035
20130926,1950028.280000000027940,2244614.019999999552965,2000000.000000000000000,2100640.140000000130385,2159655.600000000093132,10454938.039999999105930
20130927,1935991.280000000027940,2232580.740000000223517,2004614.059999999823049,2132691.140000000130385,2260975.500000000000000,10566852.720000000670552
20130930,1912128.380000000121072,2209266.259999999776483,1997063.780000000027940,2133332.160000000149012,2230272.500000000000000,10482063.080000000074506
20131001,1957046.780000000027940,2213966.759999999776483,2044462.760000000009313,2152562.759999999776483,2223517.840000000316650,10591556.900000000372529
20131002,1963503.800000000046566,2215658.940000000409782,2028942.739999999757856,2174357.440000000409782,2207552.280000000260770,10590015.200000001117587
