訓練日期,20170626 - 20170926
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10748753.589999999850988
真實報酬,748753.589999999850988

夏普值報酬,0.066175359000000
夏普值風險,0.023736862460347
夏普值,2.787873043901533

預期報酬,12751.178581967657010
風險,49811.605806138279149
趨勢值,0.255988105093298
找到最佳解世代,3188
找到最佳解實驗#,2
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AXP[1](5),CAT[3](1),HD[9](19),MCD[15](15),UNH[23](4),V[25](2),
Stock#,AXP[1](5),CAT[3](1),HD[9](19),MCD[15](15),UNH[23](4),V[25](2),
張數,20270,16008,11014,10777,8996,17437,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,66.600000000093132,73.120000000111759,137.659999999916181,110.720000000204891,157.000000000000000,37.540000000037253,
20170626,1681665.800000000046566,1668907.120000000111759,1667877.539999999804422,1659337.640000000363216,1665496.520000000018626,1660388.679999999934807,10003677.300000000745058
20170627,1684098.199999999953434,1663784.560000000288710,1676909.020000000018626,1656751.160000000149012,1660818.599999999860302,1654808.840000000083819,9997174.380000000819564
20170628,1702138.500000000000000,1704124.720000000204891,1687812.879999999888241,1663001.820000000298023,1670714.199999999953434,1678000.050000000046566,10105796.169999999925494
20170629,1695246.699999999953434,1691158.240000000223517,1676027.899999999906868,1650392.730000000214204,1666845.920000000158325,1646439.080000000074506,10026114.570000000298023
20170630,1707611.399999999906868,1720292.800000000046566,1689685.260000000009313,1650716.040000000270084,1668195.319999999832362,1635279.400000000139698,10071784.220000000670552
20170703,1725043.600000000093132,1712448.880000000121072,1696403.799999999813735,1643603.220000000204891,1679260.400000000139698,1627781.489999999990687,10084545.390000000596046
20170705,1720786.900000000139698,1720773.040000000037253,1681865.319999999832362,1649746.110000000102445,1693654.000000000000000,1639289.910000000149012,10106119.280000001192093
