訓練日期,20150904 - 20151207
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12078156.159999998286366
真實報酬,2078156.159999998286366

夏普值報酬,0.199115616000000
夏普值風險,0.064240987314702
夏普值,3.099510520045049

預期報酬,33209.146062990424980
風險,211580.510078177700052
趨勢值,0.156957491267602
找到最佳解世代,1575
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](14),MCD[15](1),MSFT[18](2),NKE[19](9),
Stock#,HD[9](14),MCD[15](1),MSFT[18](2),NKE[19](9),
張數,21440,26038,57471,45101,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,96.000000000000000,91.619999999646097,11.500000000000000,51.569999999832362,
20150904,2453260.799999999813735,2469795.919999999459833,2448850.810000000055879,2473841.419999999925494,9845748.949999999254942
20150908,2496355.200000000186265,2520049.259999999776483,2522413.689999999944121,2520295.449999999720603,10059113.599999999627471
20150909,2443612.799999999813735,2484897.959999999962747,2475287.470000000204891,2477449.500000000000000,9881247.730000000447035
20150910,2454761.600000000093132,2480211.119999999646097,2487931.089999999850988,2489175.759999999776483,9912079.570000000298023
20150911,2475129.600000000093132,2536453.199999999720603,2498850.579999999608845,2521648.479999999515712,10032081.859999999403954
20150914,2459907.200000000186265,2524996.479999999515712,2473563.339999999850988,2523452.520000000018626,9981919.539999999105930
20150915,2490995.200000000186265,2556762.839999999385327,2527586.079999999608845,2567200.489999999757856,10142544.609999999403954
20150916,2526156.799999999813735,2569781.839999999385327,2545976.799999999813735,2606438.359999999869615,10248353.799999998882413
20150917,2528086.399999999906868,2547649.539999999571592,2543103.250000000000000,2599673.209999999962747,10218512.399999998509884
20150918,2468268.800000000279397,2527079.519999999552965,2498850.579999999608845,2594712.100000000093132,10088911.000000000000000
20150921,2499571.200000000186265,2549211.819999999832362,2535057.310000000055879,2628537.850000000093132,10212378.179999999701977
20150922,2482848.000000000000000,2530985.219999999739230,2522988.399999999906868,2615458.560000000055879,10152280.179999999701977
20150923,2490780.799999999813735,2535672.059999999590218,2521264.270000000018626,2603281.289999999571592,10150998.419999998062849
20150924,2494425.600000000093132,2533328.639999999664724,2523563.109999999869615,2588848.969999999739230,10140166.320000000298023
20150925,2503001.600000000093132,2541140.039999999571592,2525287.239999999757856,2818864.069999999832362,10388292.949999999254942
20150928,2446400.000000000000000,2498698.099999999627471,2487931.089999999850988,2754369.639999999664724,10187398.829999998211861
20150929,2420886.399999999906868,2538275.859999999869615,2496551.739999999757856,2698895.410000000149012,10154609.410000000149012
20150930,2476201.600000000093132,2565615.759999999776483,2543677.959999999962747,2773312.060000000055879,10358807.379999998956919
20151001,2509219.200000000186265,2572125.259999999776483,2563792.810000000055879,2792705.489999999757856,10437842.759999999776483
20151002,2525942.399999999906868,2598423.639999999664724,2618964.970000000204891,2823825.179999999701977,10567156.189999999478459
20151005,2555744.000000000000000,2634356.079999999608845,2679884.229999999981374,2802627.709999999962747,10672612.019999999552965
20151006,2544595.200000000186265,2653363.819999999832362,2686780.750000000000000,2778273.169999999925494,10663012.939999999478459
20151007,2565392.000000000000000,2649978.879999999422580,2689654.299999999813735,2753467.619999999646097,10658492.799999998882413
