訓練日期,20170817 - 20171116
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11078334.269999999552965
真實報酬,1078334.269999999552965

夏普值報酬,0.099133427000000
夏普值風險,0.036836991185815
夏普值,2.691138005814487

預期報酬,19532.136863289382745
風險,72902.155415864108363
趨勢值,0.267922625221024
找到最佳解世代,1757
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
CAT[3](1),CVX[5](7),UNH[23](13),V[25](4),
Stock#,CAT[3](1),CVX[5](7),UNH[23](13),V[25](4),
張數,21906,23399,12901,24196,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,87.279999999795109,50.839999999850988,173.229999999981374,69.280000000260770,
20170817,2478532.119999999646097,2478472.919999999925494,2486195.929999999701977,2471932.640000000130385,9915133.609999999403954
20170818,2495618.799999999813735,2491576.359999999869615,2461942.049999999813735,2480401.240000000223517,9929538.449999999254942
20170821,2488608.879999999888241,2475197.060000000055879,2477552.259999999776483,2497580.400000000372529,9938938.599999999627471
20170822,2537240.199999999720603,2488768.479999999981374,2513159.020000000018626,2518147.000000000000000,10057314.699999999254942
20170823,2513800.779999999795109,2494618.229999999981374,2506063.470000000204891,2496612.560000000521541,10011095.040000000968575
20170824,2514457.959999999962747,2514039.399999999906868,2512642.979999999981374,2497580.400000000372529,10038720.740000000223517
20170825,2526944.379999999888241,2532524.609999999869615,2507611.590000000316650,2500725.880000000353903,10067806.460000000894070
20170828,2520810.699999999720603,2521527.080000000074506,2517029.319999999832362,2511130.160000000149012,10070497.259999999776483
20170829,2541402.339999999850988,2523866.979999999981374,2538186.959999999962747,2510888.200000000186265,10114344.480000000447035
20170830,2575137.579999999608845,2520825.109999999869615,2527221.109999999869615,2509920.360000000335276,10133104.160000000149012
20170831,2573823.219999999739230,2518251.219999999739230,2566182.129999999888241,2504839.200000000186265,10163095.769999999552965
20170901,2591128.959999999962747,2544926.080000000074506,2577147.979999999981374,2514033.680000000167638,10227236.699999999254942
20170905,2591567.079999999608845,2560837.399999999906868,2571471.540000000037253,2492499.240000000223517,10216375.259999999776483
20170906,2562651.159999999683350,2615825.049999999813735,2559473.609999999869615,2496612.560000000521541,10234562.379999998956919
20170907,2579956.899999999906868,2616059.039999999571592,2556764.399999999906868,2530003.040000000502914,10282783.380000000819564
20170908,2581052.199999999720603,2592192.060000000055879,2551345.979999999981374,2526857.560000000521541,10251447.800000000745058
20170911,2604053.500000000000000,2632906.319999999832362,2574954.810000000055879,2568474.680000000167638,10380389.310000000521541
20170912,2649398.919999999925494,2632204.349999999627471,2547733.700000000186265,2569926.439999999944121,10399263.410000000149012
20170913,2620702.059999999590218,2671748.660000000149012,2558828.560000000055879,2560731.960000000428408,10412011.240000000223517
20170914,2639322.159999999683350,2678066.390000000130385,2551087.959999999962747,2566780.960000000428408,10435257.470000000670552
20170915,2658818.500000000000000,2682278.209999999962747,2556893.410000000149012,2547908.080000000074506,10445898.199999999254942
20170918,2712707.259999999776483,2695381.649999999906868,2557022.419999999925494,2536535.960000000428408,10501647.290000000968575
20170919,2732641.719999999739230,2722290.500000000000000,2511352.879999999888241,2550569.640000000130385,10516854.740000000223517
20170920,2735051.379999999888241,2722992.469999999739230,2525543.979999999981374,2550569.640000000130385,10534157.470000000670552
20170921,2733737.020000000018626,2725332.369999999646097,2518577.439999999944121,2548150.040000000502914,10525796.870000001043081
20170922,2725850.859999999869615,2744519.549999999813735,2490453.259999999776483,2554199.040000000502914,10515022.710000000894070
20170925,2723441.199999999720603,2760898.849999999627471,2473939.979999999981374,2492741.200000000186265,10451021.230000000447035
20170926,2727603.339999999850988,2749901.319999999832362,2486195.929999999701977,2490805.520000000018626,10454506.109999999403954
20170927,2727822.399999999906868,2748263.390000000130385,2509288.720000000204891,2513791.720000000204891,10499166.230000000447035
20170928,2743375.659999999683350,2752241.219999999739230,2530059.330000000074506,2530486.960000000428408,10556163.169999999925494
20170929,2731984.539999999571592,2749433.339999999850988,2526834.080000000074506,2530486.960000000428408,10538738.919999999925494
20171002,2732203.599999999627471,2747795.410000000149012,2547346.669999999925494,2551295.520000000018626,10578641.199999999254942
20171003,2749509.339999999850988,2756921.019999999552965,2562698.859999999869615,2554924.920000000391155,10624054.139999998733401
20171004,2776453.719999999739230,2751305.259999999776483,2586565.709999999962747,2548150.040000000502914,10662474.730000000447035
20171005,2769005.679999999701977,2774704.259999999776483,2553281.129999999888241,2570652.320000000298023,10667643.390000000596046
20171006,2780615.859999999869615,2738435.810000000055879,2555345.290000000037253,2582508.360000000335276,10656905.320000000298023
20171009,2779520.559999999590218,2754347.129999999888241,2532639.530000000260770,2589283.240000000223517,10655790.460000000894070
20171010,2808217.419999999925494,2779852.039999999571592,2511739.910000000149012,2596542.040000000502914,10696351.410000000149012
20171011,2817198.879999999888241,2792253.509999999776483,2519222.489999999757856,2623883.520000000018626,10752558.399999998509884
20171012,2847648.220000000204891,2787807.699999999720603,2489034.149999999906868,2615898.840000000316650,10740388.910000000149012
20171013,2863420.540000000037253,2788275.679999999701977,2483873.750000000000000,2629206.640000000130385,10764776.609999999403954
20171016,2880069.099999999627471,2810972.709999999962747,2492646.429999999701977,2620496.080000000074506,10804184.320000000298023
20171017,2859696.519999999552965,2813078.619999999646097,2630558.119999999646097,2602107.120000000577420,10905440.379999998956919
20171018,2876126.019999999552965,2764642.689999999944121,2647845.459999999962747,2608398.080000000074506,10897012.250000000000000
20171019,2881821.580000000074506,2765812.640000000130385,2622301.479999999981374,2589525.200000000186265,10859460.900000002235174
20171020,2877659.439999999944121,2776108.199999999720603,2677001.720000000204891,2602349.080000000074506,10933118.439999999478459
20171023,2884669.359999999869615,2782893.910000000149012,2670809.239999999757856,2601865.160000000149012,10940237.669999999925494
20171024,3028372.720000000204891,2789913.609999999869615,2685516.379999999888241,2623157.640000000130385,11126960.350000001490116
20171025,2997704.319999999832362,2771428.399999999906868,2677904.790000000037253,2649289.320000000298023,11096326.830000000074506
20171026,2999894.919999999925494,2771428.399999999906868,2698417.379999999888241,2656790.080000000074506,11126530.779999999329448
20171027,3018953.139999999664724,2656773.299999999813735,2742925.830000000074506,2654612.439999999944121,11073264.709999999031425
20171030,2990037.220000000204891,2676662.449999999720603,2701513.619999999646097,2662597.120000000577420,11030810.410000000149012
20171031,2974922.080000000074506,2711760.949999999720603,2712221.450000000186265,2661145.360000000335276,11060049.839999999850988
20171101,2985656.019999999552965,2711994.939999999944121,2703319.759999999776483,2687519.000000000000000,11088489.719999998807907
20171102,2989599.099999999627471,2698657.509999999776483,2723574.330000000074506,2685341.360000000335276,11097172.300000000745058
20171103,2993104.059999999590218,2690701.849999999627471,2746409.100000000093132,2694535.840000000316650,11124750.849999999627471
20171106,3016762.540000000037253,2738669.799999999813735,2736733.350000000093132,2708085.600000000093132,11200251.289999999105930
20171107,3040859.139999999664724,2743349.599999999627471,2744215.929999999701977,2712198.920000000391155,11240623.589999997988343
20171108,3007562.019999999552965,2730012.169999999925494,2719317.000000000000000,2721393.400000000372529,11178284.589999999850988
20171109,2964845.319999999832362,2743349.599999999627471,2729508.790000000037253,2713408.720000000204891,11151112.430000001564622
20171110,2989818.159999999683350,2741945.660000000149012,2723187.299999999813735,2707117.760000000242144,11162068.880000000819564
20171113,2990913.459999999962747,2743115.609999999869615,2743699.890000000130385,2695503.680000000167638,11173232.640000000596046
20171114,3013038.519999999552965,2735861.919999999925494,2731443.939999999944121,2709537.360000000335276,11189881.739999998360872
20171115,2937681.879999999888241,2724864.390000000130385,2707577.090000000316650,2667678.280000000260770,11037801.640000000596046
20171116,2987189.439999999944121,2680874.269999999552965,2723961.359999999869615,2686309.200000000186265,11078334.269999999552965
