訓練日期,20150826 - 20151125
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12382935.570000000298023
真實報酬,2382935.570000000298023

夏普值報酬,0.229593557000000
夏普值風險,0.062711995377467
夏普值,3.661078803473963

預期報酬,39755.778030961402692
風險,222035.075094497500686
趨勢值,0.179051791767771
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](2),KO[14](7),MCD[15](1),MSFT[18](3),NKE[19](14),TRV[22](15),
Stock#,DIS[6](2),KO[14](7),MCD[15](1),MSFT[18](3),NKE[19](14),TRV[22](15),
張數,17381,43871,18272,41182,32193,17050,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,1.909999999916181,6.709999999962747,76.880000000121072,30.459999999962747,34.389999999897555,28.500000000000000,
20150826,1724718.540000000037253,1699130.539999999804422,1738657.680000000167638,1758913.679999999934807,1750689.729999999981374,1705028.500000000000000,10377142.669999999925494
20150827,1775818.679999999934807,1722820.880000000121072,1778490.640000000130385,1807920.260000000009313,1812822.219999999972060,1728898.500000000000000,10626775.179999999701977
20150828,1781206.790000000037253,1730717.660000000149012,1758756.880000000121072,1809155.719999999972060,1810890.639999999897555,1712360.000000000000000,10603091.689999999478459
20150831,1770778.189999999944121,1725014.429999999934807,1736282.320000000065193,1792271.100000000093132,1798979.229999999981374,1697356.000000000000000,10520685.270000001415610
20150901,1729585.219999999972060,1700007.959999999962747,1707960.720000000204891,1722261.699999999953434,1748758.149999999906868,1662233.000000000000000,10270810.750000000000000
20150902,1770952.000000000000000,1706588.609999999869615,1754919.760000000242144,1785681.979999999981374,1781916.939999999944121,1686785.000000000000000,10486848.289999999105930
20150903,1772690.099999999860302,1717995.069999999832362,1754371.600000000325963,1791447.459999999962747,1784492.379999999888241,1694287.000000000000000,10515287.609999999403954
20150904,1754961.479999999981374,1689917.630000000121072,1733176.080000000074506,1754795.479999999981374,1765820.439999999944121,1666836.500000000000000,10365511.609999999403954
20150908,1807799.719999999972060,1706588.609999999869615,1768441.040000000037253,1807508.439999999944121,1798979.229999999981374,1699061.000000000000000,10588382.040000000968575
20150909,1771299.619999999878928,1680266.009999999776483,1743773.840000000316650,1773739.199999999953434,1768395.879999999888241,1679112.500000000000000,10416591.050000000745058
20150910,1783292.509999999776483,1685530.530000000027940,1740484.880000000121072,1782799.239999999990687,1776766.059999999823049,1689513.000000000000000,10458390.220000000670552
20150911,1815968.790000000037253,1672807.940000000176951,1779952.400000000139698,1790623.819999999832362,1799945.019999999785796,1696333.000000000000000,10555634.970000000670552
20150914,1804497.329999999841675,1671491.810000000055879,1771912.720000000204891,1772503.739999999990687,1801232.739999999990687,1692752.500000000000000,10514394.839999999850988
20150915,1797718.739999999990687,1689040.209999999962747,1794204.560000000055879,1811214.819999999832362,1832459.949999999953434,1719691.500000000000000,10644333.779999999329448
20150916,1806930.669999999692664,1717556.359999999869615,1803340.560000000055879,1824393.059999999823049,1860467.859999999869615,1737594.000000000000000,10750286.509999999776483
20150917,1811102.109999999869615,1727646.690000000176951,1787809.360000000102445,1822333.959999999962747,1855638.909999999916181,1733331.500000000000000,10737866.529999999329448
20150918,1787463.949999999953434,1710098.289999999804422,1773374.479999999981374,1790623.819999999832362,1852097.679999999934807,1699231.500000000000000,10612893.719999998807907
20150921,1797371.119999999878928,1719311.199999999953434,1788905.680000000167638,1816568.479999999981374,1876242.429999999934807,1713894.500000000000000,10712297.410000000149012
20150922,1781380.599999999860302,1701762.799999999813735,1776115.280000000260770,1807920.260000000009313,1866906.459999999962747,1687637.500000000000000,10621726.899999998509884
20150923,1765390.079999999841675,1700446.669999999925494,1779404.239999999990687,1806684.799999999813735,1858214.349999999860302,1689342.500000000000000,10599486.640000000596046
20150924,1748878.129999999888241,1717556.359999999869615,1777759.760000000242144,1808332.079999999841675,1847912.589999999850988,1685591.500000000000000,10586034.419999999925494
20150925,1743316.209999999962747,1738175.729999999748543,1783241.360000000102445,1809567.539999999804422,2012096.889999999897555,1703494.000000000000000,10789895.730000000447035
20150928,1711856.599999999860302,1734227.340000000083819,1753458.000000000000000,1782799.239999999990687,1966060.899999999906868,1689342.500000000000000,10637748.580000000074506
20150929,1728020.929999999934807,1739930.569999999832362,1781231.440000000176951,1788976.539999999804422,1926463.510000000009313,1695992.000000000000000,10660618.990000000223517
20150930,1776340.109999999869615,1760111.229999999748543,1800417.040000000037253,1822745.779999999795109,1979581.959999999962747,1697015.000000000000000,10836215.120000001043081
20151001,1784509.179999999934807,1746072.509999999776483,1804985.040000000037253,1837159.479999999981374,1993424.949999999953434,1676725.500000000000000,10842880.659999998286366
20151002,1790244.909999999916181,1771956.399999999906868,1823439.760000000242144,1876694.199999999953434,2015638.119999999878928,1705540.000000000000000,10983517.390000000596046
20151005,1805018.759999999776483,1799156.419999999925494,1848655.120000000111759,1920347.120000000111759,2000507.409999999916181,1736741.500000000000000,11110430.330000000074506
20151006,1803628.279999999795109,1796962.870000000111759,1861993.680000000167638,1925288.959999999962747,1983123.189999999944121,1723272.000000000000000,11094272.980000000447035
20151007,1797023.500000000000000,1821530.630000000121072,1859618.320000000065193,1927348.059999999823049,1965417.039999999804422,1742027.000000000000000,11112968.549999998882413
20151008,1818228.319999999832362,1841711.289999999804422,1881179.280000000260770,1954116.360000000102445,2010809.169999999925494,1757713.000000000000000,11263761.419999999925494
20151009,1834740.270000000018626,1843466.130000000121072,1877707.600000000325963,1940114.479999999981374,2011131.099999999860302,1755155.500000000000000,11262319.080000000074506
20151012,1848471.259999999776483,1842588.709999999962747,1886478.159999999916181,1935584.459999999962747,2035275.849999999860302,1768454.500000000000000,11316856.939999999478459
20151013,1852642.699999999953434,1827233.859999999869615,1889036.239999999990687,1931054.439999999944121,2025296.019999999785796,1761464.000000000000000,11286731.259999999776483
20151014,1837695.040000000037253,1828549.989999999990687,1878803.919999999925494,1922406.219999999972060,2025617.949999999953434,1752257.000000000000000,11245334.119999999180436
20151015,1875238.000000000000000,1839079.030000000027940,1894152.400000000139698,1935996.279999999795109,2073263.590000000083819,1789596.500000000000000,11407329.800000000745058
20151016,1881321.349999999860302,1843466.130000000121072,1915347.919999999925494,1956587.279999999795109,2100305.709999999962747,1805623.500000000000000,11502655.890000000596046
20151019,1902699.979999999981374,1842150.000000000000000,1909318.159999999916181,1961117.299999999813735,2144410.120000000111759,1812784.500000000000000,11572484.059999998658895
20151020,1909130.949999999953434,1855311.299999999813735,1897441.360000000102445,1967294.600000000093132,2130889.059999999590218,1857626.000000000000000,11617697.269999999552965
20151021,1913476.199999999953434,1850924.199999999953434,1873687.760000000242144,1943820.860000000102445,2132498.709999999962747,1887463.500000000000000,11601875.230000000447035
20151022,1968400.159999999916181,1896988.750000000000000,2025893.520000000251457,1978001.919999999925494,2131532.919999999925494,1915084.500000000000000,11915905.769999999552965
20151023,1965619.199999999953434,1877246.799999999813735,2057321.360000000102445,2177322.799999999813735,2101271.500000000000000,1914402.500000000000000,12093188.160000000149012
20151026,1973093.029999999795109,1868472.600000000093132,2049829.840000000316650,2234153.959999999962747,2114792.559999999590218,1922757.000000000000000,12163102.990000000223517
20151027,1977438.279999999795109,1869350.020000000018626,2039962.960000000195578,2211092.040000000037253,2105778.519999999552965,1933669.000000000000000,12137294.820000000298023
20151028,1987345.449999999953434,1874614.539999999804422,2063716.560000000055879,2223034.819999999832362,2113504.839999999850988,1948161.500000000000000,12210381.709999999031425
20151029,1999512.150000000139698,1877246.799999999813735,2057869.520000000251457,2197501.979999999981374,2110607.469999999739230,1948673.000000000000000,12191414.920000001788139
20151030,1976916.849999999860302,1857943.560000000055879,2051108.880000000121072,2167850.939999999944121,2109319.750000000000000,1924803.000000000000000,12087946.980000000447035
20151102,1999512.150000000139698,1853117.750000000000000,2048550.800000000046566,2192560.140000000130385,2111895.189999999478459,1941512.000000000000000,12147152.029999999329448
20151103,2008202.650000000139698,1849608.069999999832362,2048002.640000000130385,2230035.759999999776483,2115114.490000000223517,1938443.000000000000000,12189410.609999999403954
20151104,1968400.159999999916181,1841272.579999999841675,2053849.680000000167638,2240331.259999999776483,2098374.129999999888241,1945092.500000000000000,12147324.309999998658895
20151105,1964054.909999999916181,1857066.139999999897555,2062072.080000000074506,2239507.620000000111759,2122518.879999999888241,1943217.000000000000000,12188440.629999998956919
20151106,2010462.179999999934807,1840833.870000000111759,2070477.200000000186265,2261745.899999999906868,2121231.160000000149012,1928383.500000000000000,12233137.810000000521541
20151109,2023497.929999999934807,1822408.049999999813735,2063533.840000000316650,2230447.579999999608845,2100305.709999999962747,1923780.000000000000000,12163977.109999999403954
20151110,2040878.929999999934807,1832498.380000000121072,2068832.720000000204891,2203679.279999999795109,2092579.389999999897555,1944581.000000000000000,12183053.700000001117587
20151111,2025236.029999999795109,1844343.549999999813735,2080344.080000000074506,2209444.759999999776483,2051050.419999999925494,1950207.500000000000000,12160630.339999999850988
