訓練日期,20100713 - 20101012
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11545135.460000000894070
真實報酬,1545135.460000000894070

夏普值報酬,0.145813546000000
夏普值風險,0.044390421781152
夏普值,3.284797488946389

預期報酬,27539.996349330060184
風險,117468.208929024491226
趨勢值,0.234446380007122
找到最佳解世代,1706
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](3),VZ[26](1),
Stock#,MCD[15](3),VZ[26](1),
張數,71489,188750,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,59.339999999850988,12.500000000000000,
20100713,5064340.100000000558794,5075500.000000000000000,10139840.100000001490116
20100714,5068629.440000000409782,5066062.500000000000000,10134691.940000001341105
20100715,5099369.709999999962747,5058512.500000000000000,10157882.210000000894070
20100716,5000000.000000000000000,5037750.000000000000000,10037750.000000000000000
20100719,4997855.329999999143183,5043412.500000000000000,10041267.829999998211861
20100720,5066484.770000000484288,5033975.000000000000000,10100459.769999999552965
20100721,5012153.129999999888241,5005662.500000000000000,10017815.629999998956919
20100722,5104373.940000000409782,5096262.500000000000000,10200636.440000001341105
20100723,4997140.440000000409782,5288787.500000000000000,10285927.940000001341105
20100726,5066484.770000000484288,5337862.500000000000000,10404347.269999999552965
20100727,5032884.940000000409782,5396375.000000000000000,10429259.940000001341105
20100728,4987846.869999999180436,5456775.000000000000000,10444621.869999999180436
20100729,4959966.159999999217689,5451112.500000000000000,10411078.660000000149012
20100730,4984987.310000000521541,5485087.500000000000000,10470074.810000000521541
20100802,5022161.589999999850988,5579462.500000000000000,10601624.089999999850988
20100803,5036459.389999999664724,5575687.500000000000000,10612146.890000000596046
20100804,5053616.750000000000000,5549262.500000000000000,10602879.250000000000000
20100805,5036459.389999999664724,5577575.000000000000000,10614034.390000000596046
20100806,5128680.199999999254942,5577575.000000000000000,10706255.199999999254942
20100809,5213037.219999999739230,5636087.500000000000000,10849124.719999998807907
20100810,5207318.100000000558794,5666287.500000000000000,10873605.600000001490116
20100811,5116527.069999999366701,5579462.500000000000000,10695989.570000000298023
20100812,5151556.679999999701977,5722912.500000000000000,10874469.179999999701977
20100813,5139403.549999999813735,5668175.000000000000000,10807578.550000000745058
20100816,5132254.650000000372529,5654962.500000000000000,10787217.150000000372529
20100817,5234483.919999999925494,5694600.000000000000000,10929083.919999999925494
20100818,5236628.589999999850988,5690825.000000000000000,10927453.589999999850988
20100819,5216611.669999999925494,5590787.500000000000000,10807399.169999999925494
20100820,5224475.459999999962747,5543600.000000000000000,10768075.460000000894070
20100823,5243062.600000000558794,5551150.000000000000000,10794212.600000001490116
20100824,5198739.419999999925494,5562475.000000000000000,10761214.419999999925494
20100825,5232339.250000000000000,5598337.500000000000000,10830676.750000000000000
20100826,5230194.579999999143183,5568137.500000000000000,10798332.079999998211861
20100827,5289530.449999999254942,5632312.500000000000000,10921842.949999999254942
20100830,5200169.199999999254942,5556812.500000000000000,10756981.699999999254942
20100831,5223045.679999999701977,5573800.000000000000000,10796845.679999999701977
20100901,5328849.400000000372529,5711587.500000000000000,11040436.900000000372529
20100902,5363164.119999999180436,5683275.000000000000000,11046439.119999999180436
20100903,5368168.350000000558794,5700262.500000000000000,11068430.850000001490116
20100907,5418925.540000000037253,5704037.500000000000000,11122963.039999999105930
20100908,5438942.459999999962747,5749337.500000000000000,11188279.960000000894070
20100909,5316696.270000000484288,5821062.500000000000000,11137758.769999999552965
20100910,5362449.230000000447035,5817287.500000000000000,11179736.730000000447035
20100913,5330994.069999999366701,5832387.500000000000000,11163381.570000000298023
20100914,5285956.000000000000000,5834275.000000000000000,11120231.000000000000000
20100915,5341002.529999999329448,5887125.000000000000000,11228127.529999999329448
20100916,5347436.540000000037253,5930537.500000000000000,11277974.039999999105930
20100917,5313121.819999999366701,5979612.500000000000000,11292734.320000000298023
20100920,5369598.129999999888241,6057000.000000000931323,11426598.130000000819564
20100921,5398193.730000000447035,6100412.500000000000000,11498606.230000000447035
20100922,5371027.909999999217689,6113625.000000000000000,11484652.910000000149012
20100923,5335998.299999999813735,6072100.000000000000000,11408098.300000000745058
20100924,5368883.239999999292195,6160812.500000000000000,11529695.739999998360872
20100927,5344576.980000000447035,6202337.500000000000000,11546914.480000000447035
20100928,5335283.409999999217689,6175912.500000000000000,11511195.910000000149012
20100929,5322415.389999999664724,6164587.499999999068677,11487002.889999998733401
20100930,5326704.730000000447035,6151375.000000000931323,11478079.730000000447035
20101001,5356015.219999999739230,6208000.000000000000000,11564015.219999998807907
20101004,5358159.889999999664724,6234425.000000000000000,11592584.890000000596046
20101005,5420355.319999999366701,6336350.000000000000000,11756705.320000000298023
20101006,5390329.940000000409782,6275950.000000000000000,11666279.940000001341105
20101007,5423214.879999999888241,6215550.000000000000000,11638764.879999998956919
20101008,5440372.239999999292195,6196675.000000000000000,11637047.239999998360872
20101011,5403912.850000000558794,6234425.000000000000000,11638337.850000001490116
20101012,5403197.959999999962747,6141937.500000000000000,11545135.460000000894070
