訓練日期,20150924 - 20151224
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11808059.750000000000000
真實報酬,1808059.750000000000000

夏普值報酬,0.172105975000000
夏普值風險,0.051421475298251
夏普值,3.346966884978791

預期報酬,31790.110802861276170
風險,195800.979362254089210
趨勢值,0.162359304363059
找到最佳解世代,2654
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,43040,51345,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,43.200000000186265,23.900000000372529,
20150924,5007316.800000000745058,4995378.950000001117587,10002695.750000001862645
20150925,5024532.799999999813735,5010782.450000000186265,10035315.250000000000000
20150928,4910907.200000000186265,4927090.099999999627471,9837997.300000000745058
20150929,4859689.599999999627471,5005134.500000000931323,9864824.100000001490116
20150930,4970732.799999999813735,5059046.750000000000000,10029779.550000000745058
20151001,5037014.400000000372529,5071883.000000000000000,10108897.400000000372529
20151002,5070585.600000000558794,5123741.450000001117587,10194327.050000000745058
20151005,5130411.200000000186265,5194597.550000000745058,10325008.750000000000000
20151006,5108030.400000000372529,5232079.400000000372529,10340109.800000000745058
20151007,5149779.200000000186265,5225404.549999999813735,10375183.750000000000000
20151008,5210465.600000000558794,5285991.650000000372529,10496457.250000000000000
20151009,5222086.400000000372529,5276236.100000000558794,10498322.500000000000000
20151012,5246619.200000000186265,5300881.700000000186265,10547500.900000000372529
20151013,5234137.600000000558794,5308070.000000000000000,10542207.600000001490116
20151014,5176464.000000000000000,5279316.799999999813735,10455780.800000000745058
20151015,5242745.600000000558794,5322446.600000000558794,10565192.200000001117587
20151016,5282772.799999999813735,5382006.799999999813735,10664779.599999999627471
20151019,5298267.200000000186265,5365062.950000000186265,10663330.150000000372529
20151020,5287507.200000000186265,5331688.700000000186265,10619195.900000000372529
20151021,5306875.200000000186265,5264940.200000001117587,10571815.400000002235174
20151022,5352497.600000000558794,5692644.050000000745058,11045141.650000002235174
20151023,5363257.600000000558794,5780957.450000000186265,11144215.050000000745058
20151026,5380473.600000000558794,5759906.000000000931323,11140379.600000001490116
20151027,5357232.000000000000000,5732179.700000000186265,11089411.699999999254942
20151028,5329256.000000000000000,5798928.200000000186265,11128184.199999999254942
20151029,5321078.400000000372529,5782497.800000000745058,11103576.200000001117587
20151030,5321508.799999999813735,5763500.150000000372529,11085008.949999999254942
20151102,5354649.599999999627471,5756311.850000000558794,11110961.449999999254942
20151103,5408449.599999999627471,5754771.500000000000000,11163221.099999999627471
20151104,5396398.400000000372529,5771201.900000000372529,11167600.300000000745058
20151105,5411032.000000000000000,5794307.150000000372529,11205339.150000000372529
20151106,5422222.400000000372529,5817925.850000000558794,11240148.250000000000000
20151109,5358523.200000000186265,5798414.750000000931323,11156937.950000001117587
20151110,5391233.600000000558794,5813304.800000000745058,11204538.400000002235174
20151111,5367561.599999999627471,5845652.150000000372529,11213213.750000000000000
20151112,5328825.600000000558794,5756311.850000000558794,11085137.450000001117587
20151113,5164843.200000000186265,5646433.550000000745058,10811276.750000000000000
20151116,5200996.800000000745058,5702399.600000000558794,10903396.400000002235174
20151117,5430830.400000000372529,5696238.200000000186265,11127068.600000001490116
20151118,5446324.800000000745058,5777876.750000000000000,11224201.550000000745058
20151119,5460097.600000000558794,5817412.400000000372529,11277510.000000000000000
20151120,5604281.600000000558794,5848732.850000000558794,11453014.450000001117587
20151123,5702843.200000000186265,5877486.050000000745058,11580329.250000000000000
20151124,5750187.200000000186265,5867730.500000000000000,11617917.699999999254942
20151125,5795379.200000000186265,5873891.900000000372529,11669271.100000001490116
20151127,5799252.800000000745058,5865163.250000000931323,11664416.050000000745058
20151130,5762238.400000000372529,5861569.100000000558794,11623807.500000000000000
20151201,5785910.400000000372529,5876459.150000000372529,11662369.550000000745058
20151202,5759225.600000000558794,5838977.300000000745058,11598202.900000002235174
20151203,5635270.400000000372529,5822033.450000000186265,11457303.850000001490116
20151204,5790214.400000000372529,5966312.900000000372529,11756527.300000000745058
20151207,5764390.400000000372529,5977608.800000000745058,11741999.200000001117587
20151208,5760516.800000000745058,5983256.750000000000000,11743773.550000000745058
20151209,5677019.200000000186265,5985824.000000000000000,11662843.199999999254942
20151210,5704564.799999999813735,6017657.900000000372529,11722222.699999999254942
20151211,5614180.799999999813735,5960151.500000000000000,11574332.300000000745058
20151214,5681753.599999999627471,5969393.600000000558794,11651147.199999999254942
20151215,5650764.799999999813735,6003794.750000000931323,11654559.550000000745058
20151216,5720059.200000000186265,6050518.700000000186265,11770577.900000000372529
20151217,5653347.200000000186265,6033061.400000000372529,11686408.600000001490116
20151218,5607724.799999999813735,5989931.600000000558794,11597656.400000000372529
20151221,5651625.600000000558794,6042816.950000000186265,11694442.550000000745058
20151222,5676158.400000000372529,6044357.300000000745058,11720515.700000001117587
20151223,5729097.600000000558794,6099809.900000000372529,11828907.500000000000000
20151224,5720059.200000000186265,6088000.549999999813735,11808059.750000000000000
