訓練日期,20150304 - 20150604
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10570797.849999999627471
真實報酬,570797.849999999627471

夏普值報酬,0.048379785000000
夏普值風險,0.024527780091570
夏普值,1.972448579503830

預期報酬,10641.524193989214837
風險,105371.061656648947974
趨勢值,0.100990955454777
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](2),IBM[10](3),UNH[23](5),
Stock#,GS[8](2),IBM[10](3),UNH[23](5),
張數,17427,20700,29535,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,70.709999999962747,12.000000000000000,12.899999999906868,
20150304,3305449.799999999813735,3300005.999999999534339,3361686.599999999627471,9967143.399999998509884
20150305,3312594.870000000111759,3336438.000000000000000,3390335.550000000279397,10039369.419999999925494
20150306,3257351.279999999795109,3280962.000000000000000,3333923.699999999720603,9872237.979999998584390
20150309,3275126.820000000298023,3327951.000000000000000,3393584.399999999906868,9996663.220000000670552
20150310,3184157.879999999888241,3266679.000000000000000,3321518.999999999534339,9772356.879999998956919
20150311,3209775.570000000298023,3245772.000000000465661,3329198.100000000093132,9784746.669999999925494
20150312,3310329.359999999869615,3270198.000000000000000,3392993.699999999720603,9973522.059999998658895
20150313,3299698.890000000130385,3193608.000000000000000,3403921.649999999906868,9897229.540000000968575
20150316,3344312.010000000242144,3251568.000000000465661,3500501.099999999627471,10096382.109999999403954
20150317,3321134.099999999627471,3249084.000000000000000,3473328.899999999906868,10043548.000000000000000
20150318,3351631.349999999627471,3308079.000000000000000,3543031.499999999534339,10202742.849999999627471
20150319,3310677.899999999906868,3308079.000000000000000,3566659.500000000000000,10185417.400000000372529
20150320,3365747.219999999739230,3371628.000000000000000,3518812.799999999813735,10256189.019999999552965
20150323,3345357.629999999888241,3407853.000000000000000,3515859.300000000279397,10269070.929999999701977
20150324,3333507.270000000018626,3374112.000000000000000,3488687.100000000093132,10196307.369999999180436
20150325,3265019.159999999683350,3295451.999999999534339,3442021.800000000279397,10002493.959999999031425
20150326,3263102.189999999944121,3324225.000000000000000,3433456.649999999906868,10020784.839999999850988
20150327,3277392.330000000074506,3320292.000000000000000,3485438.250000000000000,10083123.580000000074506
20150330,3328976.250000000000000,3367280.999999999534339,3573747.899999999906868,10270006.150000000372529
20150331,3275823.899999999906868,3322362.000000000000000,3493708.050000000279397,10091894.950000001117587
20150401,3350062.919999999925494,3295038.000000000000000,3468898.649999999906868,10114000.570000000298023
20150402,3338212.560000000055879,3321326.999999999534339,3466240.500000000000000,10125781.059999998658895
20150406,3346926.060000000055879,3354240.000000000000000,3476282.399999999906868,10177449.460000000894070
20150407,3352851.239999999757856,3354861.000000000000000,3465945.149999999906868,10173658.390000000596046
20150408,3355813.830000000074506,3350307.000000000000000,3490754.549999999813735,10196876.379999998956919
20150409,3396418.739999999757856,3360450.000000000000000,3501387.149999999906868,10258256.890000000596046
20150410,3409488.989999999757856,3371214.000000000465661,3514677.899999999906868,10295381.890000000596046
20150413,3408443.370000000111759,3361278.000000000000000,3525605.850000000093132,10295328.220000000670552
