訓練日期,20130517 - 20130819
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11191438.710000000894070
真實報酬,1191438.710000000894070

夏普值報酬,0.110443871000000
夏普值風險,0.043369090400523
夏普值,2.546603352295993

預期報酬,22887.467564832113567
風險,178760.219539945072029
趨勢值,0.128034456568329
找到最佳解世代,1845
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](2),UNH[23](1),
Stock#,BA[2](2),UNH[23](1),
張數,51770,80463,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,53.400000000372529,29.179999999701977,
20130517,5121141.800000000745058,5056324.099999999627471,10177465.900000000372529
20130520,5110787.800000000745058,5033794.459999999962747,10144582.260000001639128
20130521,5112340.900000000372529,5058737.989999999292195,10171078.890000000596046
20130522,5069889.500000000931323,5011264.819999999366701,10081154.320000000298023
20130523,5164110.900000000372529,5017701.859999999403954,10181812.759999999776483
20130524,5177053.400000000372529,4993562.959999999962747,10170616.359999999403954
20130528,5182748.100000000558794,5096555.599999999627471,10279303.699999999254942
20130529,5129942.700000000186265,5097360.229999999515712,10227302.929999999701977
20130530,5205009.200000001117587,5202766.759999999776483,10407775.960000000894070
20130531,5126318.799999999813735,5039426.870000000111759,10165745.669999999925494
20130603,5215363.200000000186265,5053105.579999999143183,10268468.779999999329448
20130604,5156863.100000000558794,5017701.859999999403954,10174564.960000000894070
20130605,5098880.700000000186265,4968619.429999999701977,10067500.129999998956919
20130606,5164628.600000000558794,4982298.139999999664724,10146926.740000000223517
20130607,5305960.700000000186265,5034599.089999999850988,10340559.789999999105930
20130610,5293018.200000000186265,5123913.019999999552965,10416931.219999998807907
20130611,5267650.900000000372529,5144028.769999999552965,10411679.669999999925494
20130612,5222611.000000000000000,5135982.469999999739230,10358593.469999998807907
20130613,5288876.600000000558794,5161730.629999999888241,10450607.230000000447035
20130614,5271792.500000000000000,5133568.579999999143183,10405361.079999998211861
20130617,5333916.500000000000000,5179432.490000000223517,10513348.990000000223517
20130618,5388275.000000000000000,5284839.020000000484288,10673114.019999999552965
20130619,5293535.900000000372529,5251044.560000000521541,10544580.460000000894070
20130620,5158416.200000000186265,5133568.579999999143183,10291984.779999999329448
20130621,5176018.000000000931323,5141614.879999999888241,10317632.880000000819564
20130624,5065747.900000000372529,5201962.129999999888241,10267710.030000001192093
20130625,5108199.300000000745058,5127936.169999998994172,10236135.469999998807907
20130626,5215880.900000000372529,5212422.319999999366701,10428303.219999998807907
20130627,5340128.900000000372529,5317828.849999999627471,10657957.750000000000000
20130628,5303372.200000000186265,5268746.419999999925494,10572118.620000001043081
20130701,5344788.200000000186265,5280815.869999999180436,10625604.070000000298023
20130702,5253155.300000000745058,5251849.189999999478459,10505004.490000000223517
20130703,5326668.700000000186265,5273574.200000000186265,10600242.900000000372529
20130705,5394487.400000000372529,5324265.889999999664724,10718753.289999999105930
20130708,5403288.300000000745058,5436109.459999999962747,10839397.760000001639128
20130709,5419337.000000000931323,5469099.290000000037253,10888436.290000000968575
20130710,5461788.400000000372529,5446569.649999999441206,10908358.050000000745058
20130711,5533231.000000000000000,5500479.859999999403954,11033710.859999999403954
20130712,5273863.300000000745058,5471513.179999999701977,10745376.480000000447035
20130715,5470071.600000000558794,5440937.240000000223517,10911008.839999999850988
20130716,5396040.500000000931323,5383808.509999999776483,10779849.010000001639128
20130717,5425031.700000001117587,5329093.669999999925494,10754125.370000001043081
20130718,5572058.500000000000000,5676693.829999999143183,11248752.329999998211861
20130719,5537372.599999999627471,5749110.530000000260770,11286483.129999998956919
20130722,5532195.600000000558794,5807848.520000000484288,11340044.120000001043081
20130723,5580341.700000001117587,5848884.649999999441206,11429226.350000001490116
20130724,5536854.900000000372529,5836010.569999999366701,11372865.469999998807907
20130725,5523912.400000000372529,5843252.240000000223517,11367164.640000000596046
20130726,5466965.400000000372529,5810262.409999999217689,11277227.809999998658895
20130729,5426067.100000000558794,5856930.950000000186265,11282998.050000000745058
20130730,5473695.500000000931323,5815090.189999999478459,11288785.690000001341105
20130731,5441080.400000000372529,5861758.729999999515712,11302839.129999998956919
20130801,5523912.400000000372529,5886702.259999999776483,11410614.660000000149012
20130802,5586036.400000000372529,5814285.560000000521541,11400321.960000000894070
20130805,5565328.400000000372529,5901185.599999999627471,11466514.000000000000000
20130806,5541514.200000001117587,5893139.299999998882413,11434653.500000000000000
20130807,5509416.800000000745058,5867391.139999999664724,11376807.940000001341105
20130808,5479390.200000000186265,5888311.520000000484288,11367701.720000000670552
20130809,5452987.500000000000000,5868195.770000000484288,11321183.269999999552965
20130812,5396558.200000000186265,5824745.750000000000000,11221303.949999999254942
20130813,5499580.500000000931323,5901990.229999999515712,11401570.730000000447035
20130814,5392416.600000000558794,5832792.049999998882413,11225208.649999998509884
20130815,5318385.500000000931323,5745087.379999999888241,11063472.880000000819564
20130816,5356695.300000000745058,5747501.270000000484288,11104196.570000000298023
20130819,5421407.800000000745058,5770030.909999999217689,11191438.710000000894070
