訓練日期,20131001 - 20140102
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11458643.429999999701977
真實報酬,1458643.429999999701977

夏普值報酬,0.137164343000000
夏普值風險,0.043825704717380
夏普值,3.129769250364236

預期報酬,23616.443673624082294
風險,78230.076039937281166
趨勢值,0.301884452490723
找到最佳解世代,1874
找到最佳解實驗#,6
找到最佳解次數,15

stock[index](rank)
投資組合檔數,3
AAPL[0](3),GS[8](8),XOM[29](1),
Stock#,AAPL[0](3),GS[8](8),XOM[29](1),
張數,48940,21069,38741,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.600000000093132,6.509999999776483,57.359999999869615,
20131001,3411637.000000000000000,3349977.509999999776483,3331783.359999999869615,10093398.869999999180436
20131002,3422893.200000000186265,3343024.739999999292195,3334882.639999999664724,10100801.579999998211861
20131003,3379826.000000000000000,3304679.159999999683350,3312412.859999999869615,9996919.019999999552965
20131004,3376889.600000000093132,3298358.459999999962747,3344180.479999999515712,10019429.539999999105930
20131007,3410168.800000000279397,3249899.759999999776483,3327909.260000000242144,9987978.820000000298023
20131008,3362697.000000000000000,3224616.959999999962747,3312800.270000000018626,9900115.230000000447035
20131009,3401849.000000000465661,3253902.869999999646097,3299240.919999999925494,9954993.789999999105930
20131010,3423382.600000000093132,3329119.199999999720603,3333333.000000000000000,10085835.800000000745058
20131011,3445405.600000000558794,3371046.509999999776483,3368587.310000000055879,10185040.419999999925494
20131014,3467918.000000000000000,3359669.250000000000000,3393768.959999999497086,10221357.209999999031425
20131015,3486515.199999999720603,3321112.979999999515712,3362388.750000000000000,10170017.929999999701977
20131016,3503644.200000000186265,3418451.759999999776483,3382534.069999999832362,10304631.029999999329448
20131017,3527135.399999999906868,3335650.589999999850988,3389120.040000000037253,10251907.030000001192093
20131018,3557967.600000000093132,3343446.119999999646097,3391831.909999999683350,10293246.629999998956919
20131021,3645080.800000000279397,3366200.640000000130385,3379434.790000000037253,10390717.230000000447035
20131022,3634803.399999999906868,3355244.759999999776483,3408490.540000000037253,10398539.699999999254942
20131023,3670040.199999999720603,3323430.569999999832362,3394156.369999999646097,10387628.139999998733401
20131024,3718980.199999999720603,3370203.750000000000000,3425536.580000000074506,10514721.529999999329448
20131025,3677381.200000000186265,3415080.719999999739230,3408103.129999999888241,10500566.050000000745058
20131028,3704787.600000000093132,3401596.559999999590218,3418175.790000000037253,10524560.949999999254942
20131029,3612291.000000000000000,3415502.100000000093132,3445294.490000000223517,10473088.589999999850988
20131030,3670040.199999999720603,3414237.959999999962747,3440645.569999999832362,10524924.730000000447035
20131031,3654379.400000000372529,3389165.850000000093132,3472025.780000000260770,10515572.030000001192093
20131101,3635782.200000000186265,3414237.959999999962747,3479773.979999999515712,10529795.140000000596046
20131104,3682764.600000000093132,3437624.549999999813735,3568103.459999999497086,10688493.609999999403954
20131105,3673466.000000000000000,3412131.059999999590218,3563841.949999999720603,10649440.009999999776483
20131106,3642144.400000000372529,3445209.390000000130385,3611493.379999999888241,10698848.170000001788139
20131107,3582927.000000000000000,3363461.669999999459833,3562679.719999999739230,10509069.390000000596046
20131108,3639697.400000000372529,3437835.239999999292195,3592510.290000000037253,10670043.929999999701977
20131111,3628930.600000000558794,3451951.469999999739230,3601420.719999999739230,10682303.789999999105930
20131112,3635782.200000000186265,3431935.919999999459833,3590185.830000000074506,10657904.949999999254942
20131113,3640186.799999999813735,3432989.369999999646097,3587086.549999999813735,10660263.719999998807907
20131114,3692552.600000000093132,3438467.309999999590218,3611493.379999999888241,10742514.289999999105930
20131115,3670529.600000000093132,3463750.109999999869615,3690912.429999999701977,10825193.140000000596046
20131118,3625994.200000000186265,3490718.429999999701977,3697885.810000000055879,10814599.439999999478459
20131119,3632356.399999999906868,3510101.909999999683350,3696723.580000000074506,10839182.890000000596046
20131120,3600545.399999999906868,3476391.509999999776483,3668055.240000000223517,10744993.150000000372529
20131121,3643612.600000000093132,3520004.339999999850988,3668442.649999999906868,10832060.589999999850988
20131122,3634314.000000000465661,3541705.409999999683350,3680839.770000000018626,10856860.179999999701977
20131125,3661720.399999999906868,3570780.629999999422580,3683939.049999999813735,10916441.079999998211861
20131126,3729257.600000000093132,3540441.269999999552965,3652171.429999999701977,10921871.299999998882413
20131127,3816860.199999999720603,3544233.689999999944121,3633963.159999999683350,10995058.049999998882413
20131129,3887823.200000000186265,3559403.369999999646097,3621566.040000000037253,11068793.609999999403954
20131202,3854054.600000000093132,3575837.189999999944121,3623115.679999999701977,11053008.469999998807907
20131203,3959275.600000000558794,3540651.959999999962747,3656820.350000000093132,11156748.910000000149012
20131204,3949977.000000000000000,3554346.809999999590218,3667667.830000000074506,11171992.640000000596046
20131205,3970531.799999999813735,3488190.149999999906868,3646747.689999999478459,11105470.639999998733401
20131206,3915229.600000000093132,3522954.000000000000000,3705634.010000000242144,11143818.609999999403954
20131209,3960254.400000000372529,3532645.739999999292195,3712994.799999999813735,11205895.939999999478459
20131210,3953892.200000000186265,3576047.879999999422580,3707958.469999999739230,11237899.550000000745058
20131211,3924528.200000000186265,3531170.909999999683350,3651784.020000000018626,11107484.129999998956919
20131212,3919144.799999999813735,3546551.280000000260770,3694399.119999999646097,11160096.199999999254942
20131213,3876077.600000000093132,3547815.419999999459833,3692462.069999999832362,11116356.089999999850988
20131216,3897611.200000000186265,3601752.059999999590218,3766457.379999999888241,11265821.640000000596046
20131217,3879992.800000000279397,3592060.319999999832362,3748249.109999999869615,11220303.230000000447035
20131218,3850628.800000000279397,3683710.469999999739230,3856336.500000000000000,11390676.769999999552965
20131219,3806582.800000000279397,3682235.640000000130385,3852074.990000000223517,11340894.429999999701977
20131220,3838393.800000000279397,3690452.549999999813735,3823019.240000000223517,11351866.589999999850988
20131223,3985703.200000000186265,3718052.939999999944121,3816433.270000000018626,11520190.410000000149012
20131224,3969063.599999999627471,3711521.549999999813735,3843939.379999999888241,11524525.529999999329448
20131226,3942636.000000000000000,3717631.559999999590218,3909024.260000000242144,11569292.820000000298023
20131227,3915719.000000000465661,3715524.659999999683350,3932656.270000000018626,11563900.929999999701977
20131230,3877056.399999999906868,3702461.879999999422580,3886167.069999999832362,11465686.349999999627471
20131231,3922570.600000000558794,3734697.449999999720603,3920646.560000000055879,11577915.610000001266599
20140102,3867268.399999999906868,3726901.919999999459833,3864472.109999999869615,11458643.429999999701977
