訓練日期,20171226 - 20180329
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11129525.139999998733401
真實報酬,1129525.139999998733401

夏普值報酬,0.104252514000000
夏普值風險,0.046249812542588
夏普值,2.254117547049554

預期報酬,23979.765226605450152
風險,303929.995489282475319
趨勢值,0.078898975364381
找到最佳解世代,2222
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](8),
Stock#,BA[2](3),CSCO[4](1),INTC[11](8),
張數,11295,86467,71377,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,178.499999999534339,30.150000000372529,27.099999999627471,
20171226,3336269.699999999720603,3327280.310000000055879,3289079.259999999310821,9952630.269999999552965
20171227,3339206.399999999441206,3334197.670000000391155,3291220.569999999366701,9964625.640000000596046
20171228,3347451.750000000000000,3336791.680000000633299,3299072.039999999571592,9983316.470000000670552
20171229,3331186.949999999720603,3311716.250000000000000,3294789.419999999459833,9937693.619999999180436
20180102,3352986.299999999348074,3360137.770000000484288,3344039.549999999813735,10057164.620000001043081
20180103,3363829.499999999534339,3386942.540000000502914,3230550.119999999646097,9981323.160000000149012
20180104,3351066.149999999906868,3371378.480000000447035,3171307.209999999497086,9893752.839999999850988
20180105,3488526.299999999348074,3418070.660000000614673,3193434.079999999608845,10100032.039999999105930
20180108,3503322.749999999068677,3453522.130000000353903,3193434.079999999608845,10150279.959999999031425
20180109,3596845.349999999627471,3431905.380000000353903,3113491.839999999385327,10142243.570000000298023
20180110,3617515.199999999254942,3450928.120000000111759,3033549.599999999627471,10101993.919999998062849
20180111,3706293.899999999441206,3467356.850000000558794,3098502.669999999459833,10272154.419999999925494
20180112,3797670.449999999254942,3533936.439999999944121,3086368.579999999608845,10417976.469999998807907
20180116,3785810.699999999720603,3505402.330000000074506,3079230.879999999888241,10370444.910000000149012
20180117,3964836.449999999254942,3562470.550000000745058,3168452.129999999888241,10695760.129999998956919
20180118,3842285.699999999720603,3571117.250000000000000,3174876.059999999590218,10588280.009999997913837
20180119,3814838.849999999627471,3570252.580000000074506,3199144.239999999757856,10584236.669999999925494
20180122,3817888.499999999534339,3602245.370000000111759,3265524.849999999627471,10685659.719999998807907
20180123,3790667.549999999348074,3640290.850000000558794,3287651.719999999739230,10718611.120000001043081
20180124,3780502.049999999348074,3646343.540000000502914,3248394.369999999646097,10675240.959999999031425
20180125,3875605.949999999720603,3622997.450000000186265,3233405.199999999254942,10732009.599999999627471
20180126,3876848.399999999906868,3680065.670000000391155,3574587.259999999310821,11131502.330000000074506
20180129,3849740.399999999441206,3705141.100000000558794,3567449.559999999590218,11122332.059999998658895
20180130,3814612.949999999254942,3653260.900000000372529,3482510.929999999701977,10950385.779999999329448
20180131,4002787.649999999441206,3591869.330000000074506,3436115.879999999888241,11030773.859999999403954
20180201,4031815.799999999348074,3605704.050000000745058,3401141.149999999441206,11038662.000000000000000
20180202,3941116.949999999720603,3539124.460000000428408,3294075.649999999441206,10774318.059999998658895
20180205,3714878.099999999627471,3353220.410000000614673,3177731.139999999664724,10245830.649999998509884
20180206,3850756.949999999720603,3473409.540000000502914,3205568.169999999459833,10529735.660000000149012
20180207,3932193.899999999441206,3488108.930000000633299,3226267.500000000000000,10646571.330000000074506
20180208,3723688.199999999720603,3352355.740000000689179,3051393.849999999627471,10127438.789999999105930
20180209,3759493.349999999161810,3418070.660000000614673,3137046.250000000000000,10314611.259999999776483
20180212,3883399.499999999534339,3510590.350000000558794,3199858.009999999310821,10593848.859999999403954
