訓練日期,20121102 - 20130206
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11461486.179999999701977
真實報酬,1461486.179999999701977

夏普值報酬,0.137448618000000
夏普值風險,0.041831853886804
夏普值,3.285740535715464

預期報酬,22497.840127902611130
風險,120096.969823842024198
趨勢值,0.187330622586918
找到最佳解世代,1654
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](7),CSCO[4](1),MMM[16](2),
Stock#,BA[2](7),CSCO[4](1),MMM[16](2),
張數,47087,190367,37348,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,44.269999999552965,6.829999999608845,24.000000000000000,
20121102,3298488.619999999646097,3302874.279999999795109,3322875.560000000055879,9924239.459999999031425
20121105,3315439.939999999478459,3312392.629999999422580,3346404.799999999813735,9974238.369999997317791
20121106,3391250.009999999310821,3327621.989999999757856,3393463.279999999795109,10112336.279999999329448
20121107,3301313.839999999385327,3276222.899999999906868,3338188.239999999757856,9915725.979999998584390
20121108,3342279.529999999795109,3203883.439999999478459,3307189.399999999906868,9853353.369999999180436
20121109,3449167.019999999552965,3201979.769999999552965,3316899.879999999888241,9968047.669999998062849
20121112,3469885.299999999348074,3209594.449999999720603,3330718.640000000130385,10010199.389999998733401
20121113,3454346.589999999385327,3207690.779999999795109,3326983.839999999850988,9989022.209999999031425
20121114,3356876.500000000000000,3361888.049999999813735,3260877.879999999888241,9979643.429999999701977
20121115,3345104.750000000000000,3415190.810000000055879,3287394.959999999962747,10047691.519999999552965
20121116,3332391.259999999310821,3424709.159999999217689,3305322.000000000000000,10062423.419999998062849
20121119,3388424.789999999105930,3483722.929999999701977,3345284.359999999869615,10217433.079999998211861
20121120,3415735.250000000000000,3491337.609999999403954,3324742.959999999962747,10231816.820000000298023
20121121,3444458.319999999832362,3517988.989999999757856,3321755.120000000111759,10284203.429999999701977
20121123,3472239.649999999441206,3586521.109999999403954,3371801.439999999944121,10430563.199999999254942
20121126,3497195.759999999310821,3628401.849999999161810,3364705.320000000298023,10490303.929999999701977
20121127,3507554.899999999441206,3609365.149999999906868,3372921.879999999888241,10489842.929999999701977
20121128,3488720.099999999627471,3584617.439999999478459,3396077.640000000130385,10469416.179999999701977
20121129,3490132.709999999962747,3618883.500000000000000,3385620.200000000186265,10494637.410000000149012
20121130,3497666.629999999422580,3599846.799999999813735,3396824.600000000093132,10494339.029999999329448
20121203,3485424.009999999310821,3622690.839999999850988,3372548.399999999906868,10480664.250000000000000
20121204,3486836.619999999646097,3649342.219999999739230,3365825.760000000242144,10502005.599999999627471
20121205,3478360.959999999962747,3656956.899999999906868,3389728.479999999981374,10525047.339999999850988
20121206,3483540.529999999795109,3708355.989999999757856,3396824.600000000093132,10588722.119999999180436
20121207,3514617.949999999720603,3681704.609999999403954,3417739.479999999981374,10614063.039999999105930
20121210,3556525.379999999422580,3767369.759999999310821,3431184.760000000242144,10755080.899999998509884
20121211,3570180.609999999403954,3765466.089999999850988,3498784.640000000130385,10834432.339999999850988
20121212,3553700.159999999683350,3755947.739999999757856,3477869.760000000242144,10787518.660000000149012
