訓練日期,20160713 - 20161012
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10879202.000000000000000
真實報酬,879202.000000000000000

夏普值報酬,0.079220200000000
夏普值風險,0.025363549428823
夏普值,3.123387766460471

預期報酬,14377.878738589659406
風險,68140.795628323132405
趨勢值,0.211002507470186
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
Stock#,AAPL[0](2),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
張數,20529,57240,31645,23323,25813,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,64.820000000065193,34.400000000139698,36.000000000000000,52.750000000000000,8.760000000009313,
20160713,1988709.050000000046566,2004006.800000000046566,1998734.199999999953434,2003265.219999999972060,1999483.739999999757856,9994199.009999999776483
20160714,2028124.730000000214204,2014882.400000000372529,2029113.400000000139698,2002798.760000000009313,2017036.580000000074506,10091955.870000001043081
20160715,2027919.440000000176951,2007441.200000000186265,2031012.100000000325963,2006063.980000000214204,2021166.659999999916181,10093603.380000000819564
20160718,2049474.890000000130385,2006296.399999999906868,2024050.199999999953434,2004198.140000000130385,2021424.790000000037253,10105444.420000001788139
20160719,2050296.050000000046566,2012020.400000000139698,2020885.699999999953434,2009795.660000000149012,2032008.119999999878928,10125005.929999999701977
20160720,2052143.659999999916181,2042930.000000000000000,2023100.850000000093132,1989971.109999999869615,2048528.439999999944121,10156674.059999998658895
20160721,2041263.290000000270084,1961649.200000000419095,2015506.049999999813735,1988571.730000000214204,2033815.030000000260770,10040805.300000000745058
20160722,2025455.959999999962747,1983972.800000000046566,2026581.800000000279397,1999300.310000000055879,2062725.589999999850988,10098036.460000000894070
20160725,1998357.680000000167638,1985690.000000000000000,2021202.149999999906868,2001166.149999999906868,2037686.979999999981374,10044102.960000000894070
20160726,1984603.250000000000000,2008586.000000000232831,2029429.849999999860302,1988804.959999999962747,2026071.129999999888241,10037495.189999999478459
20160727,2113525.370000000111759,1993703.600000000093132,2035758.849999999860302,1969913.329999999841675,2027103.650000000139698,10140004.800000000745058
20160728,2142060.679999999701977,1990269.200000000419095,2028480.499999999767169,1978076.380000000121072,2044140.229999999981374,10183026.990000000223517
20160729,2139391.910000000149012,1995420.800000000046566,2024366.649999999906868,1996268.320000000065193,2014713.409999999916181,10170161.089999999850988
20160801,2177165.269999999552965,1994848.400000000139698,2018987.000000000000000,2015393.179999999934807,2020134.140000000130385,10226527.990000000223517
20160802,2144934.740000000223517,1978248.800000000279397,2014240.250000000000000,2023556.230000000214204,2020650.400000000139698,10181630.420000001788139
20160803,2171827.730000000447035,1960504.400000000139698,2046201.699999999953434,2005131.060000000055879,2031749.989999999757856,10215414.880000000819564
20160804,2173470.049999999813735,1979393.600000000093132,2043037.200000000186265,2006996.899999999906868,2051626.000000000000000,10254523.750000000000000
20160805,2206521.740000000223517,2002289.599999999860302,2098099.500000000000000,2000699.689999999944121,2068662.580000000074506,10376273.109999999403954
20160808,2224792.549999999813735,2005724.000000000000000,2091770.499999999767169,2000233.230000000214204,2063758.110000000102445,10386278.390000000596046
20160809,2233825.310000000521541,1998855.200000000186265,2084492.150000000139698,2005597.519999999785796,2066597.540000000037253,10389367.720000000670552
20160810,2217196.820000000298023,1976531.600000000093132,2065821.600000000093132,2013060.880000000121072,2056788.600000000093132,10329399.500000000000000
20160811,2215759.790000000037253,1985117.600000000093132,2071517.699999999720603,2022856.540000000037253,2068146.320000000065193,10363397.949999999254942
20160812,2220892.040000000037253,1978821.200000000186265,2067087.399999999674037,2030086.670000000158325,2065565.020000000018626,10362452.330000000074506
20160815,2247579.740000000223517,1998282.800000000046566,2079745.399999999906868,2029620.209999999962747,2088538.589999999850988,10443766.739999998360872
20160816,2245526.839999999850988,2015454.800000000279397,2079428.949999999720603,2019358.089999999850988,2085957.290000000037253,10445725.969999998807907
20160817,2242242.200000000186265,2004579.200000000419095,2085125.050000000046566,2028220.829999999841675,2086731.680000000167638,10446898.960000000894070
20160818,2239368.139999999664724,2001717.200000000186265,2087023.750000000000000,2039415.869999999878928,2072018.270000000018626,10439543.230000000447035
20160819,2245116.259999999776483,2017172.000000000232831,2084175.699999999953434,2036383.880000000121072,2077180.869999999878928,10460028.709999999031425
20160822,2227666.610000000335276,2024040.800000000046566,2082277.000000000000000,2025655.299999999813735,2092410.540000000037253,10452050.250000000000000
