訓練日期,20130619 - 20130919
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10983221.410000000149012
真實報酬,983221.410000000149012

夏普值報酬,0.089622141000000
夏普值風險,0.037015200281324
夏普值,2.421225343071233

預期報酬,17117.601216249386198
風險,186573.102511272387346
趨勢值,0.091747422248152
找到最佳解世代,3506
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,2
NKE[19](3),UNH[23](1),
Stock#,NKE[19](3),UNH[23](1),
張數,160875,76126,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.000000000000000,44.319999999366701,
20130619,4967825.000000000000000,4968027.080000000074506,9935852.080000000074506
20130620,4888996.250000000000000,4856883.119999999180436,9745879.369999999180436
20130621,4872908.750000000000000,4864495.719999998807907,9737404.469999998807907
20130624,4823037.500000000000000,4921590.219999999739230,9744627.719999998807907
20130625,4858430.000000000000000,4851554.299999998882413,9709984.299999998882413
20130626,4975868.750000000000000,4931486.599999999627471,9907355.349999999627471
20130627,5012870.000000000000000,5031211.659999999217689,10044081.660000000149012
20130628,5122265.000000000000000,4984774.799999999813735,10107039.800000000745058
20130701,5014478.750000000000000,4996193.699999999254942,10010672.449999999254942
20130702,5037001.250000000000000,4968788.339999998919666,10005789.589999999850988
20130703,5056306.250000000000000,4989342.359999999403954,10045648.609999999403954
20130705,5119047.500000000000000,5037301.739999999292195,10156349.239999998360872
20130708,5125482.500000000000000,5143116.879999999888241,10268599.379999998956919
20130709,5143178.750000000000000,5174328.539999999105930,10317507.289999999105930
20130710,5115830.000000000000000,5153013.259999998845160,10268843.259999997913837
20130711,5125482.500000000000000,5204017.679999999701977,10329500.179999999701977
20130712,5122265.000000000000000,5176612.319999999366701,10298877.320000000298023
20130715,5096525.000000000000000,5147684.439999999478459,10244209.439999999478459
20130716,5043436.250000000000000,5093634.979999999515712,10137071.230000000447035
20130717,5094916.250000000000000,5041869.299999999813735,10136785.550000000745058
20130718,5093307.500000000000000,5370733.619999999180436,10464041.119999999180436
20130719,5096525.000000000000000,5439247.019999999552965,10535772.019999999552965
20130722,5091698.750000000000000,5494819.000000000000000,10586517.750000000000000
20130723,5083655.000000000000000,5533643.259999998845160,10617298.259999997913837
20130724,5038610.000000000000000,5521463.099999999627471,10560073.099999999627471
20130725,5027348.750000000000000,5528314.439999999478459,10555663.189999999478459
20130726,5030566.250000000000000,5497102.779999999329448,10527669.029999999329448
20130729,5045045.000000000000000,5541255.859999999403954,10586300.859999999403954
20130730,5056306.250000000000000,5501670.339999998919666,10557976.589999999850988
20130731,5061132.500000000000000,5545823.419999998994172,10606955.919999998062849
20130801,5307271.250000000000000,5569422.479999999515712,10876693.730000000447035
20130802,5333011.250000000000000,5500909.080000000074506,10833920.330000000074506
20130805,5341055.000000000000000,5583125.159999999217689,10924180.160000000149012
20130806,5352316.250000000931323,5575512.559999998658895,10927828.809999998658895
20130807,5279922.500000000000000,5551152.239999999292195,10831074.739999998360872
20130808,5313706.250000000000000,5570945.000000000000000,10884651.250000000000000
20130809,5334619.999999999068677,5551913.500000000000000,10886533.500000000000000
20130812,5350707.500000000000000,5510805.459999999031425,10861512.959999999031425
20130813,5294401.249999999068677,5583886.419999998994172,10878287.669999998062849
20130814,5175353.750000000000000,5518418.059999998658895,10693771.809999998658895
20130815,5107786.250000000000000,5435440.719999999739230,10543226.969999998807907
20130816,5120656.250000000000000,5437724.500000000000000,10558380.750000000000000
20130819,5204311.250000000000000,5459039.779999999329448,10663351.029999999329448
20130820,5199485.000000000000000,5516134.279999999329448,10715619.279999999329448
20130821,5159266.250000000000000,5469697.419999998994172,10628963.669999998062849
20130822,5217181.250000000000000,5478832.539999999105930,10696013.789999999105930
20130823,5164092.500000000000000,5522224.359999999403954,10686316.859999999403954
20130826,5141570.000000000000000,5510044.199999999254942,10651614.199999999254942
20130827,5053088.750000000000000,5444575.839999998919666,10497664.589999999850988
20130828,5098133.750000000000000,5446098.359999999403954,10544232.109999999403954
20130829,5106177.500000000000000,5514611.759999998845160,10620789.259999997913837
20130830,5053088.750000000000000,5461323.559999998658895,10514412.309999998658895
20130903,5172136.250000000000000,5523746.879999999888241,10695883.129999998956919
20130904,5239703.750000000000000,5583886.419999998994172,10823590.169999998062849
20130905,5259008.750000000000000,5636413.359999999403954,10895422.109999999403954
20130906,5226833.750000000000000,5637935.879999999888241,10864769.629999998956919
20130909,5260617.500000000000000,5652399.819999999366701,10913017.320000000298023
20130910,5374838.749999999068677,5681327.699999999254942,11056166.449999999254942
20130911,5437580.000000000000000,5723197.000000000000000,11160777.000000000000000
20130912,5476190.000000000000000,5689701.559999998658895,11165891.559999998658895
20130913,5463320.000000000000000,5669908.799999999813735,11133228.800000000745058
20130916,5485842.500000000000000,5718629.439999999478459,11204471.939999999478459
20130917,5495494.999999999068677,5656967.379999999888241,11152462.379999998956919
20130918,5588802.500000000000000,5560287.359999999403954,11149089.859999999403954
20130919,5590411.250000000000000,5392810.159999999217689,10983221.410000000149012
