訓練日期,20160725 - 20161024
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10835404.549999998882413
真實報酬,835404.549999998882413

夏普值報酬,0.074840455000000
夏普值風險,0.023905998817190
夏普值,3.130614017523632

預期報酬,14429.874733037962869
風險,90353.936366742302198
趨勢值,0.159703885777237
找到最佳解世代,1711
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),GS[8](6),INTC[11](5),JPM[13](2),V[25](4),
Stock#,AAPL[0](1),GS[8](6),INTC[11](5),JPM[13](2),V[25](4),
張數,20271,12468,57703,31230,25028,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,63.140000000130385,8.120000000111759,14.020000000251457,30.799999999813735,12.520000000018626,
20160725,1973242.280000000260770,2001246.800000000046566,2001731.090000000083819,1994690.899999999674037,1975722.839999999850988,9946633.910000000149012
20160726,1959660.710000000195578,2009351.000000000000000,2024812.290000000502914,2002810.699999999720603,1964460.239999999990687,9961094.939999999478459
20160727,2086962.590000000083819,2007231.440000000176951,2009809.510000000242144,2009056.699999999720603,1965461.360000000102445,10078521.599999999627471
20160728,2115139.280000000260770,2001496.160000000149012,2006347.330000000540167,2001873.799999999580905,1981979.839999999850988,10106836.410000000149012
20160729,2112504.049999999813735,1980051.200000000186265,2011540.600000000325963,1997813.899999999674037,1953447.919999999925494,10055357.669999999925494
20160801,2149802.689999999944121,1972196.360000000102445,2010963.570000000298023,1992504.799999999813735,1958703.800000000046566,10084171.220000000670552
20160802,2117977.220000000204891,1945764.200000000186265,1994229.700000000419095,1987820.299999999813735,1959204.360000000102445,10004995.780000001192093
20160803,2144532.230000000447035,1974191.240000000223517,1976341.770000000251457,2019362.599999999627471,1969966.399999999906868,10084394.240000000223517
20160804,2146153.910000000149012,1970575.520000000251457,1995383.760000000242144,2016239.599999999860302,1989237.960000000195578,10117590.750000001862645
20160805,2178790.220000000204891,2020946.240000000223517,2018464.959999999962747,2070579.799999999813735,2005756.439999999944121,10294537.660000000149012
20160808,2196831.410000000149012,2030172.560000000288710,2021927.140000000130385,2064333.799999999580905,2001001.120000000111759,10314266.030000001192093
20160809,2205750.650000000372529,2037778.040000000037253,2015002.780000000260770,2057150.899999999906868,2003754.200000000186265,10319436.570000000298023
20160810,2189331.140000000130385,2022193.040000000037253,1992498.610000000335276,2038725.199999999953434,1994243.560000000288710,10236991.550000000745058
20160811,2187912.170000000391155,2043014.600000000325963,2001154.060000000288710,2044346.599999999627471,2005255.880000000121072,10281683.310000000521541
20160812,2192979.920000000391155,2035409.120000000111759,1994806.730000000214204,2039974.399999999674037,2002753.079999999841675,10265923.250000000000000
20160815,2219332.220000000204891,2064085.520000000251457,2014425.750000000000000,2052466.399999999674037,2025028.000000000000000,10375337.890000000596046
20160816,2217305.120000000111759,2065332.320000000298023,2031736.650000000372529,2052154.099999999627471,2022525.200000000186265,10389053.390000000596046
20160817,2214061.760000000242144,2065581.679999999934807,2020773.080000000540167,2057775.499999999767169,2023276.040000000037253,10381468.060000002384186
20160818,2211223.820000000298023,2070444.200000000186265,2017887.930000000167638,2059649.299999999813735,2009010.079999999841675,10368215.330000000074506
20160819,2216899.700000000186265,2072563.760000000009313,2033467.740000000456348,2056838.599999999860302,2014015.679999999934807,10393785.480000000447035
20160822,2199669.350000000093132,2072937.800000000046566,2040392.100000000325963,2054964.799999999813735,2028782.200000000186265,10396746.250000000000000
20160823,2206561.490000000223517,2070693.560000000288710,2042700.220000000204891,2054027.899999999674037,2022274.919999999925494,10396258.089999999850988
20160824,2189939.270000000018626,2060968.520000000251457,2028274.470000000204891,2059649.299999999813735,2009510.640000000130385,10348342.199999999254942
20160825,2180614.609999999869615,2068449.320000000298023,2024812.290000000502914,2063396.899999999674037,2010261.479999999748543,10347534.599999999627471
20160826,2167843.879999999888241,2069322.080000000074506,2034621.800000000046566,2068081.399999999674037,2016518.479999999748543,10356387.639999998733401
20160829,2165411.359999999869615,2080543.280000000260770,2051355.670000000158325,2090879.299999999813735,2024026.880000000121072,10412216.490000000223517
20160830,2148789.140000000130385,2111713.280000000260770,2060011.120000000344589,2108055.799999999813735,2031535.280000000027940,10460104.619999999180436
20160831,2150816.240000000223517,2112835.400000000372529,2070974.690000000176951,2108055.799999999813735,2024777.720000000204891,10467459.850000001490116
20160901,2163586.970000000204891,2100990.799999999813735,2078476.080000000540167,2098999.099999999627471,2034788.919999999925494,10476841.869999999180436
20160902,2183857.970000000204891,2109344.360000000335276,2081938.260000000242144,2107743.499999999534339,2052308.520000000018626,10535192.609999999403954
