訓練日期,20101201 - 20110304
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12324247.619999999180436
真實報酬,2324247.619999999180436

夏普值報酬,0.223724762000000
夏普值風險,0.058833899376004
夏普值,3.802650587039757

預期報酬,36528.112781722105865
風險,103638.405150475387927
趨勢值,0.352457303146319
找到最佳解世代,2479
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,3
CVX[5](3),DIS[6](7),XOM[29](1),
Stock#,CVX[5](3),DIS[6](7),XOM[29](1),
張數,41167,91299,47920,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,41.010000000242144,6.510000000242144,17.799999999813735,
20101201,3404551.910000000149012,3389025.390000000130385,3418151.399999999906868,10211729.700000001117587
20101202,3478652.510000000242144,3409111.170000000391155,3425339.399999999906868,10313104.080000000074506
20101203,3494707.640000000130385,3431935.920000000391155,3411442.599999999627471,10338087.160000000149012
20101206,3497177.660000000149012,3429196.950000000651926,3417193.000000000000000,10343568.610000001266599
20101207,3552753.110000000335276,3408198.180000000167638,3424380.999999999534339,10385333.290000000968575
20101208,3546166.390000000130385,3375330.540000000037253,3443069.799999999348074,10364567.729999998584390
20101209,3567161.560000000521541,3354331.770000000484288,3450257.799999999813735,10371752.130000000819564
20101210,3582805.020000000484288,3347027.850000000093132,3458883.400000000372529,10388717.270000001415610
20101213,3637968.800000000279397,3389938.380000000353903,3467509.000000000000000,10495417.179999999701977
20101214,3638380.470000000204891,3399981.270000000484288,3458883.400000000372529,10497246.140000000596046
20101215,3623148.680000000633299,3373504.560000000521541,3443069.799999999348074,10439724.040000000968575
20101216,3666374.030000000260770,3378982.500000000000000,3460800.199999999720603,10506157.730000000447035
20101217,3642908.839999999850988,3382634.459999999962747,3458404.199999999720603,10483948.500000000000000
20101220,3655670.610000000335276,3383547.450000000651926,3460800.199999999720603,10500019.259999999776483
20101221,3673372.420000000391155,3408198.180000000167638,3484760.199999999720603,10566331.800000000745058
20101222,3701777.650000000372529,3464803.560000000521541,3488593.799999999813735,10655176.010000001639128
20101223,3733064.570000000298023,3441978.810000000521541,3507761.799999999813735,10682806.179999999701977
20101227,3710011.050000000279397,3421893.029999999795109,3498657.000000000000000,10630562.080000000074506
20101228,3754059.740000000223517,3410937.150000000372529,3518304.199999999720603,10683302.089999999850988
20101229,3761469.800000000279397,3432848.910000000149012,3515908.200000000186265,10710227.910000000149012
20101230,3770938.209999999962747,3421893.029999999795109,3515429.000000000000000,10708261.240000000223517
20101231,3756529.760000000242144,3424632.000000000000000,3503928.200000000186265,10685090.960000000894070
20110103,3784934.990000000223517,3452934.690000000409782,3572453.799999999813735,10810324.480000000447035
20110104,3770938.209999999962747,3559754.520000000484288,3589225.800000000279397,10919919.530000001192093
20110105,3764351.490000000223517,3648314.550000000279397,3579641.799999999813735,10992308.839999999850988
20110106,3733476.240000000223517,3620011.860000000335276,3602643.400000000372529,10956132.500000000000000
20110107,3754059.740000000223517,3601752.060000000521541,3622290.600000000093132,10978103.400000000372529
20110110,3721949.479999999981374,3606317.010000000242144,3600247.399999999441206,10928514.890000000596046
20110111,3780406.620000000111759,3597187.110000000335276,3627082.599999999627471,11004677.330000000074506
20110112,3805930.160000000149012,3576188.340000000316650,3669731.399999999906868,11051850.900000000372529
20110113,3794815.070000000298023,3584405.250000000000000,3675960.999999999534339,11055182.320000000298023
20110114,3821573.620000000111759,3587144.220000000204891,3730110.600000000093132,11138829.439999999478459
20110118,3842980.459999999962747,3596274.120000000111759,3771800.999999999534339,11211056.580000000074506
20110119,3827337.000000000000000,3568884.420000000391155,3749278.599999999627471,11145501.019999999552965
20110120,3816633.580000000074506,3576188.340000000316650,3725797.799999999813735,11118620.719999998807907
20110121,3860682.270000000484288,3628228.770000000484288,3784739.399999999906868,11273651.440000001341105
20110124,3873855.709999999962747,3646488.569999999832362,3766050.600000000093132,11286395.879999998956919
20110125,3873032.370000000111759,3639184.650000000372529,3770363.400000000372529,11282581.420000001788139
20110126,3896085.890000000130385,3600839.069999999832362,3817324.999999999534339,11314250.959999999031425
20110127,3900614.260000000242144,3602665.050000000279397,3827867.399999999441206,11331147.710000000894070
20110128,3843803.800000000279397,3546972.660000000149012,3785218.599999999627471,11175996.060000000521541
20110131,3908024.320000000298023,3548798.640000000130385,3866203.400000000372529,11323027.360000001266599
20110201,3961129.750000000000000,3641010.630000000353903,4020984.999999999534339,11623126.380000000819564
20110202,3971833.170000000391155,3696703.020000000484288,3997024.999999999534339,11665562.190000001341105
20110203,4006001.780000000260770,3697616.010000000242144,3998462.599999999627471,11702081.390000000596046
20110204,3997768.380000000353903,3716788.800000000279397,3990795.399999999906868,11705353.580000000074506
20110207,4020410.229999999981374,3737787.569999999832362,4021943.400000000372529,11780142.199999999254942
20110208,4023703.589999999850988,3759699.330000000074506,3976419.399999999906868,11759823.320000000298023
20110209,3961953.089999999850988,3958731.150000000372529,3955813.799999999813735,11876499.039999999105930
20110210,3980889.910000000149012,3954166.200000000651926,3986961.799999999813735,11922018.910000000149012
20110211,3970598.160000000149012,3963296.100000000093132,3968752.199999999254942,11902647.459999999031425
20110214,3991181.660000000149012,3947775.270000000484288,4068904.999999999534339,12007862.929999999701977
20110215,3966069.790000000502914,3934080.420000000391155,3975940.199999999720603,11876091.410000000149012
20110216,3979243.229999999981374,3989772.810000000521541,4010442.599999999627471,11979459.640000000596046
20110217,4000238.400000000372529,3989772.810000000521541,4019547.399999999441206,12009559.609999999403954
20110218,4064047.250000000000000,3976990.950000000651926,4049257.799999999813735,12090297.000000000000000
20110222,4129914.450000000186265,3893908.860000000335276,4094302.599999999627471,12118126.910000000149012
20110223,4210190.099999999627471,3846433.380000000353903,4172412.199999999254942,12229036.679999999701977
20110224,4200310.019999999552965,3872910.090000000316650,4119700.199999999720603,12192921.309999998658895
20110225,4203191.710000000894070,3921298.560000000521541,4089510.600000000093132,12214001.870000001043081
20110228,4271117.259999999776483,3993424.770000000484288,4098615.399999999906868,12363158.429999999701977
20110301,4236125.310000000521541,3924950.520000000484288,4063633.799999999813735,12224710.630000000819564
20110302,4259590.500000000000000,3952340.220000000204891,4077051.399999999906868,12288983.120000001043081
20110303,4289230.740000000223517,4023553.440000000409782,4112512.199999999254942,12425297.379999998956919
20110304,4271117.259999999776483,3976077.959999999962747,4077051.399999999906868,12324247.619999999180436
