訓練日期,20100218 - 20100520
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11074396.390000000596046
真實報酬,1074396.390000000596046

夏普值報酬,0.098739639000000
夏普值風險,0.057171323248341
夏普值,1.727083324118549

預期報酬,32919.811290663536056
風險,273010.544781018921640
趨勢值,0.120580731843411
找到最佳解世代,1986
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),HD[9](2),MCD[15](3),
Stock#,AAPL[0](1),HD[9](2),MCD[15](3),
張數,115180,111037,51872,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,23.799999999813735,2.260000000242144,38.279999999795109,
20100218,3339091.999999999534339,3364423.360000000335276,3344744.839999999850988,10048261.199999999254942
20100219,3318359.599999999627471,3347767.810000000055879,3358231.559999999590218,10024359.969999998807907
20100222,3297627.199999999720603,3366644.100000000093132,3359787.719999999739230,10024060.019999999552965
20100223,3242340.799999999813735,3414390.010000000242144,3364974.919999999925494,10021706.730000000447035
20100224,3302234.399999999906868,3482122.580000000074506,3385205.000000000000000,10169562.980000000447035
20100225,3324118.599999999627471,3482122.580000000074506,3339557.639999999664724,10145799.820000000298023
20100226,3366735.199999999720603,3464356.660000000149012,3312065.479999999981374,10143158.339999999850988
20100301,3439298.599999999627471,3489895.170000000391155,3318808.839999999850988,10248003.609999999403954
20100302,3436995.000000000000000,3482122.580000000074506,3323477.319999999366701,10242595.899999998509884
20100303,3443905.799999999813735,3494336.649999999906868,3300653.640000000130385,10238897.089999999850988
20100304,3466941.799999999813735,3491005.540000000502914,3290279.239999999757856,10248227.580000000074506
20100305,3602854.199999999720603,3530978.860000000335276,3302728.520000000018626,10436562.580000000074506
20100308,3605157.799999999813735,3548744.780000000260770,3377942.919999999925494,10531846.500000000000000
20100309,3669658.599999999627471,3517654.420000000391155,3376905.479999999515712,10564219.500000000000000
20100310,3699605.399999999441206,3520985.530000000260770,3368605.959999999497086,10589197.889999998733401
20100311,3709971.600000000093132,3567621.070000000298023,3382611.399999999441206,10660205.070000000298023
20100312,3728400.399999999441206,3603152.910000000614673,3399210.439999999944121,10730764.750000000000000
20100315,3683480.199999999720603,3629801.790000000037253,3419959.240000000223517,10733242.230000000447035
