訓練日期,20140115 - 20140417
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11121951.330000000074506
真實報酬,1121951.330000000074506

夏普值報酬,0.103495133000000
夏普值風險,0.032173461829025
夏普值,3.216785733222886

預期報酬,18990.652406234985392
風險,105082.897791726849391
趨勢值,0.180720676773439
找到最佳解世代,1726
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](3),MCD[15](9),MSFT[18](2),
Stock#,CAT[3](1),DD[7](3),MCD[15](9),MSFT[18](2),
張數,27606,41159,26254,69871,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.640000000130385,2.339999999850988,94.120000000111759,15.620000000111759,
20140115,2551071.100000000093132,2523460.629999999888241,2506300.959999999962747,2568473.580000000074506,10149306.269999999552965
20140116,2540028.700000000186265,2525518.579999999608845,2522053.360000000335276,2577556.810000000055879,10165157.449999999254942
20140117,2524293.280000000260770,2524695.399999999906868,2492386.340000000316650,2541922.600000000093132,10083297.619999999180436
20140121,2501104.239999999757856,2692212.529999999795109,2496324.439999999944121,2527249.690000000409782,10216890.899999998509884
20140122,2474602.479999999981374,2677395.289999999571592,2491073.640000000130385,2510480.649999999906868,10153552.060000000521541
20140123,2442579.520000000018626,2621419.049999999813735,2502625.399999999906868,2519563.880000000353903,10086187.850000001490116
20140124,2378809.660000000149012,2544451.719999999739230,2479259.340000000316650,2571967.130000000353903,9974487.850000001490116
20140127,2520152.380000000353903,2526341.759999999776483,2469807.899999999906868,2517467.750000000000000,10033769.790000000968575
20140128,2552727.459999999962747,2523872.219999999739230,2472695.840000000316650,2534236.790000000502914,10083532.310000000521541
20140129,2501656.360000000335276,2621830.640000000130385,2445654.220000000204891,2561486.479999999981374,10130627.700000001117587
20140130,2572879.840000000316650,2655992.609999999869615,2462719.319999999832362,2575460.680000000167638,10267052.449999999254942
