訓練日期,20120404 - 20120706
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11328970.199999999254942
真實報酬,1328970.199999999254942

夏普值報酬,0.124197020000000
夏普值風險,0.041229912775802
夏普值,3.012303728978352

預期報酬,18654.742767309027840
風險,129324.537236226300593
趨勢值,0.144247512235315
找到最佳解世代,2019
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](4),VZ[26](1),WMT[28](3),
Stock#,TRV[22](4),VZ[26](1),WMT[28](3),
張數,56230,86670,54960,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,18.600000000093132,4.799999999813735,9.000000000000000,
20120404,3329959.200000000186265,3327266.100000000093132,3311898.600000000093132,9969124.900000000372529
20120405,3310841.000000000465661,3263996.999999999534339,3334432.200000000186265,9909271.199999999254942
20120409,3264170.100000000093132,3246663.000000000000000,3304753.800000000279397,9815587.900000000372529
20120410,3247301.100000000093132,3189460.799999999348074,3293761.799999999813735,9730524.699999999254942
20120411,3270917.700000000186265,3239729.399999999906868,3286617.000000000000000,9797265.099999999627471
20120412,3323211.600000000093132,3254463.299999999348074,3305303.399999999906868,9882979.299999998882413
20120413,3268106.199999999720603,3229328.999999999534339,3284968.200000000186265,9782404.399999998509884
20120416,3326585.399999999906868,3244062.899999999906868,3329485.799999999813735,9900135.099999999627471
20120417,3373256.300000000279397,3270930.600000000093132,3400384.199999999720603,10044572.099999999627471
20120418,3344016.700000000186265,3263996.999999999534339,3410826.600000000093132,10018841.299999998882413
20120419,3469409.600000000093132,3306465.299999999813735,3393789.000000000000000,10169664.900000000372529
20120420,3528451.100000000093132,3356733.899999999441206,3432261.000000000000000,10317447.000000000000000
20120423,3537447.899999999906868,3342866.699999999720603,3272327.399999999906868,10152643.000000000000000
20120424,3563313.699999999720603,3423469.799999999813735,3175048.200000000186265,10161832.699999999254942
20120425,3586368.000000000000000,3421736.399999999441206,3152514.600000000093132,10160620.000000000000000
20120426,3642035.699999999720603,3478938.600000000093132,3239901.000000000000000,10360876.300000000745058
20120427,3599300.900000000372529,3486738.899999999441206,3244297.800000000279397,10330338.599999999627471
20120430,3616732.199999999720603,3499739.399999999906868,3237702.599999999627471,10354175.199999999254942
20120501,3632476.599999999627471,3515340.000000000000000,3246496.200000000186265,10394313.800000000745058
20120502,3640348.799999999813735,3518806.799999999813735,3243198.600000000093132,10402355.199999999254942
20120503,3640911.100000000093132,3522273.600000000093132,3242099.399999999906868,10405285.099999999627471
20120504,3626853.600000000093132,3489338.999999999534339,3226161.000000000000000,10342354.599999999627471
20120507,3631914.300000000279397,3512739.899999999906868,3253091.399999999906868,10397746.599999999627471
20120508,3620668.300000000279397,3514473.299999999348074,3245397.000000000000000,10380539.599999999627471
20120509,3594240.200000000186265,3488472.299999999813735,3244297.800000000279397,10327011.300000000745058
20120510,3634725.800000000279397,3514473.299999999348074,3253091.399999999906868,10402291.500000000000000
