訓練日期,20150420 - 20150721
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11090262.070000000298023
真實報酬,1090262.070000000298023

夏普值報酬,0.100326207000000
夏普值風險,0.028538137446930
夏普值,3.515513483897363

預期報酬,16308.287443655584866
風險,85077.339898378515500
趨勢值,0.191687792109335
找到最佳解世代,1811
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),GS[8](4),JPM[13](3),NKE[19](1),
Stock#,DIS[6](2),GS[8](4),JPM[13](3),NKE[19](1),
張數,23432,12667,39783,50730,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,39.919999999925494,167.550000000279397,36.279999999795109,25.600000000093132,
20150420,2535850.959999999962747,2509500.250000000000000,2515913.199999999720603,2536525.600000000093132,10097790.009999999776483
20150421,2523197.680000000167638,2493539.830000000540167,2478915.009999999776483,2544135.100000000093132,10039787.620000001043081
20150422,2529290.000000000000000,2512286.990000000223517,2503978.299999999813735,2540584.000000000000000,10086139.289999999105930
20150423,2554127.919999999925494,2524827.320000000298023,2498408.679999999701977,2564934.400000000372529,10142298.320000000298023
20150424,2566546.879999999888241,2508106.880000000353903,2490452.080000000074506,2560876.000000000000000,10125981.839999999850988
20150427,2581309.040000000037253,2489486.390000000596046,2480108.500000000000000,2560368.700000000186265,10111272.630000000819564
20150428,2575685.359999999869615,2501773.380000000353903,2496817.359999999869615,2532974.500000000000000,10107250.599999999627471
20150429,2573107.839999999850988,2515327.070000000298023,2530235.080000000074506,2541091.300000000279397,10159761.290000000968575
20150430,2547566.959999999962747,2488219.689999999944121,2516708.859999999869615,2507102.200000000186265,10059597.710000000894070
20150501,2589744.560000000055879,2502280.060000000521541,2530632.909999999683350,2556310.300000000279397,10178967.830000001937151
20150504,2601694.879999999888241,2524700.650000000372529,2574792.039999999571592,2557832.200000000186265,10259019.769999999552965
20150505,2596539.839999999850988,2499239.979999999981374,2562061.479999999981374,2547178.899999999906868,10205020.200000001117587
20150506,2570998.959999999962747,2486066.300000000279397,2542965.639999999664724,2542105.899999999906868,10142136.799999998882413
20150507,2560220.240000000223517,2500506.680000000167638,2566039.779999999795109,2573558.500000000000000,10200325.199999999254942
20150508,2580137.439999999944121,2539901.050000000279397,2605424.949999999720603,2598416.200000000186265,10323879.640000000596046
20150511,2544755.119999999646097,2555481.459999999962747,2603833.629999999888241,2607547.600000000093132,10311617.810000000521541
20150512,2559751.599999999627471,2540281.060000000521541,2600253.159999999683350,2596894.299999999813735,10297180.120000001043081
20150513,2558580.000000000000000,2551681.360000000335276,2606618.439999999478459,2591314.000000000000000,10308193.800000000745058
20150514,2575919.680000000167638,2566755.090000000316650,2627703.429999999701977,2623781.200000000186265,10394159.400000000372529
20150515,2584589.520000000018626,2571188.540000000037253,2620940.319999999832362,2662843.300000000279397,10439561.680000001564622
20150518,2585292.479999999981374,2592595.770000000018626,2642423.139999999664724,2657263.000000000000000,10477574.390000000596046
20150519,2590681.839999999850988,2601969.350000000558794,2665895.109999999869615,2654219.200000000186265,10512765.500000000000000
20150520,2582246.319999999832362,2597915.910000000614673,2644810.120000000111759,2653711.900000000372529,10478684.250000000000000
20150521,2586698.399999999906868,2596269.200000000186265,2651573.229999999981374,2648131.600000000093132,10482672.429999999701977
20150522,2583652.240000000223517,2632370.150000000372529,2644412.289999999571592,2649146.200000000186265,10509580.879999998956919
20150526,2564438.000000000000000,2614383.010000000242144,2614972.870000000111759,2623273.899999999906868,10417067.779999999329448
20150527,2586229.760000000242144,2648330.570000000298023,2644412.289999999571592,2608562.200000000186265,10487534.820000000298023
20150528,2589978.879999999888241,2640983.709999999962747,2633670.879999999888241,2594865.100000000093132,10459498.570000000298023
20150529,2586229.760000000242144,2611976.280000000260770,2616962.020000000018626,2579138.800000000279397,10394306.860000001266599
20150601,2600054.639999999664724,2632496.820000000298023,2628896.919999999925494,2581168.000000000000000,10442616.379999998956919
20150602,2595133.919999999925494,2615016.360000000335276,2626509.939999999478459,2590299.400000000372529,10426959.620000001043081
20150603,2604975.359999999869615,2638576.979999999981374,2653562.379999999888241,2600445.399999999906868,10497560.119999999180436
20150604,2584589.520000000018626,2645923.840000000316650,2638842.669999999925494,2586241.000000000000000,10455597.030000001192093
20150605,2584589.520000000018626,2665937.700000000186265,2682206.139999999664724,2588270.200000000186265,10521003.560000000521541
20150608,2560923.200000000186265,2657577.479999999981374,2661121.149999999906868,2573051.200000000186265,10452673.030000001192093
20150609,2542880.560000000055879,2647823.890000000596046,2672658.220000000204891,2571022.000000000000000,10434384.670000001788139
20150610,2577559.919999999925494,2699885.260000000242144,2715623.859999999869615,2621244.700000000186265,10614313.739999998360872
20150611,2592087.760000000242144,2710145.530000000260770,2725967.439999999478459,2634941.799999999813735,10663142.530000001192093
20150612,2576388.319999999832362,2698998.570000000298023,2715226.029999999795109,2632405.300000000279397,10623018.220000000670552
20150615,2581777.680000000167638,2682531.470000000204891,2704882.449999999720603,2621752.000000000000000,10590943.599999999627471
20150616,2602397.839999999850988,2705332.070000000298023,2719999.989999999757856,2652190.000000000000000,10679919.900000000372529
20150617,2612473.599999999627471,2697351.860000000335276,2710849.899999999906868,2657263.000000000000000,10677938.359999999403954
20150618,2653010.959999999962747,2718505.750000000000000,2736311.020000000018626,2688715.600000000093132,10796543.330000000074506
20150619,2638951.760000000242144,2700645.280000000260770,2708462.919999999925494,2702412.700000000186265,10750472.660000000149012
20150622,2660274.879999999888241,2742699.720000000204891,2743471.959999999497086,2709007.600000000093132,10855454.159999998286366
20150623,2680895.040000000037253,2766640.350000000558794,2774900.529999999795109,2719153.600000000093132,10941589.519999999552965
20150624,2665898.560000000055879,2716352.360000000335276,2745858.939999999478459,2694295.899999999906868,10822405.759999999776483
20150625,2681832.319999999832362,2695958.490000000223517,2731139.229999999981374,2668930.899999999906868,10777860.940000001341105
20150626,2694485.599999999627471,2700391.939999999944121,2743074.129999999888241,2783073.399999999906868,10921025.069999998435378
20150629,2649027.520000000018626,2630470.100000000558794,2673453.879999999888241,2731328.800000000279397,10684280.300000000745058
20150630,2674568.399999999906868,2644910.479999999981374,2695732.359999999869615,2739952.899999999906868,10755164.140000000596046
20150701,2697766.079999999608845,2659477.530000000260770,2708065.089999999385327,2775971.200000000186265,10841279.899999998509884
