訓練日期,20120229 - 20120531
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10908854.789999999105930
真實報酬,908854.789999999105930

夏普值報酬,0.082185479000000
夏普值風險,0.027851431759015
夏普值,2.950852929612819

預期報酬,14121.957625260238274
風險,94690.916932160995202
趨勢值,0.149137404967549
找到最佳解世代,1880
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](3),WMT[28](8),
Stock#,KO[14](1),TRV[22](3),WMT[28](8),
張數,96842,57077,56564,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.359999999869615,36.200000000186265,16.479999999981374,
20120229,3382722.419999999925494,3308789.890000000130385,3341817.600000000093132,10033330.910000000149012
20120301,3370132.959999999497086,3334474.540000000502914,3327110.959999999962747,10031719.460000000894070
20120302,3349796.140000000130385,3311072.970000000204891,3337858.119999999646097,9998728.230000000447035
20120305,3352701.399999999441206,3339040.700000000186265,3359918.080000000074506,10051661.179999999701977
20120306,3329459.320000000298023,3252854.430000000167638,3335595.560000000055879,9917910.310000000521541
20120307,3331396.159999999683350,3246005.189999999944121,3385937.520000000018626,9963339.869999999180436
20120308,3354638.239999999757856,3259132.900000000372529,3380846.760000000242144,9994618.900000000372529
20120309,3366259.279999999795109,3288242.169999999925494,3398381.600000000093132,10052884.049999998882413
20120312,3397248.719999999739230,3288242.169999999925494,3432320.000000000000000,10117811.890000000596046
20120313,3402090.820000000298023,3333903.770000000018626,3450420.479999999981374,10186416.070000000298023
20120314,3400153.979999999981374,3364725.350000000558794,3454945.600000000093132,10219825.929999999701977
20120315,3405964.500000000000000,3372145.359999999869615,3463430.199999999720603,10241541.059999998658895
20120316,3397248.719999999739230,3378994.600000000558794,3441370.240000000223517,10217614.560000000521541
20120319,3408869.760000000242144,3374428.439999999944121,3435713.840000000316650,10219013.040000000968575
20120320,3418553.959999999497086,3376711.520000000018626,3427794.879999999888241,10223061.359999999403954
20120321,3443732.879999999888241,3339611.470000000204891,3425532.320000000298023,10208877.669999999925494
20120322,3458259.180000000167638,3308789.890000000130385,3430623.080000000074506,10197673.150000000372529
20120323,3461164.439999999944121,3321917.600000000558794,3436279.479999999981374,10219362.520000001415610
20120326,3481501.260000000242144,3359017.650000000372529,3461733.280000000260770,10302253.190000001341105
20120327,3480532.839999999850988,3337899.160000000149012,3455511.240000000223517,10273944.240000000223517
20120328,3518301.219999999739230,3354451.490000000223517,3461167.639999999664724,10333921.349999999627471
20120329,3574469.579999999608845,3347602.250000000000000,3440238.959999999962747,10362311.789999999105930
20120330,3584153.779999999795109,3378994.600000000558794,3461733.280000000260770,10424882.660000000149012
20120402,3589964.299999999813735,3386414.609999999869615,3470783.520000000018626,10447163.429999999701977
20120403,3571564.320000000298023,3383560.760000000242144,3430623.080000000074506,10385749.160000000149012
20120404,3557038.019999999552965,3380136.140000000130385,3408563.119999999646097,10345738.279999999329448
20120405,3558006.439999999944121,3360729.960000000428408,3431754.359999999869615,10350491.759999999776483
20120409,3528953.839999999850988,3313356.049999999813735,3401209.800000000279397,10243520.689999999478459
20120410,3487311.779999999795109,3296232.950000000186265,3389897.000000000000000,10173442.730000000447035
20120411,3492153.879999999888241,3320205.290000000502914,3382543.679999999701977,10194903.849999999627471
20120412,3496995.979999999981374,3373286.900000000372529,3401775.439999999944121,10272059.320000000298023
20120413,3483438.099999999627471,3317351.439999999944121,3380846.760000000242144,10181637.299999998882413
20120416,3507648.599999999627471,3376711.520000000018626,3426663.600000000093132,10311024.719999998807907
20120417,3581248.519999999552965,3424085.430000000167638,3499631.159999999683350,10504966.109999999403954
20120418,3591901.140000000130385,3394405.390000000130385,3510378.320000000298023,10496685.850000001490116
20120419,3574469.579999999608845,3521687.100000000558794,3492843.479999999981374,10589001.160000000149012
20120420,3589964.299999999813735,3581617.950000000186265,3532438.280000000260770,10704021.530000001192093
20120423,3568659.060000000055879,3590750.270000000018626,3367837.040000000037253,10527247.370000001043081
20120424,3588995.879999999888241,3617005.689999999944121,3267718.760000000242144,10473721.330000000074506
20120425,3628701.099999999627471,3640407.260000000242144,3244527.520000000018626,10513636.879999998956919
20120426,3665501.060000000055879,3696913.489999999757856,3334464.280000000260770,10696879.830000000074506
20120427,3711016.799999999813735,3653534.970000000670552,3338989.399999999906868,10703542.169999999925494
20120430,3695522.079999999608845,3671228.839999999850988,3332201.719999999739230,10698953.640000000596046
20120501,3725543.099999999627471,3687210.399999999906868,3341251.959999999962747,10754006.460000000894070
20120502,3736195.719999999739230,3695201.179999999701977,3337858.119999999646097,10769256.019999999552965
20120503,3749753.599999999627471,3695771.950000000186265,3336726.840000000316650,10782253.390000000596046
20120504,3728448.359999999869615,3681502.700000000186265,3320323.280000000260770,10730275.339999999850988
20120507,3742006.239999999757856,3686639.630000000353903,3348039.639999999664724,10776686.509999999776483
20120508,3735227.299999999813735,3675224.230000000447035,3340120.679999999701977,10750573.210000000894070
20120509,3717795.739999999757856,3648398.040000000502914,3338989.399999999906868,10705184.179999999701977
20120510,3748785.180000000167638,3689493.480000000447035,3348039.639999999664724,10786319.300000000745058
20120511,3751690.439999999944121,3688351.940000000409782,3361049.359999999869615,10801092.740000000223517
20120514,3722637.839999999850988,3680361.160000000614673,3341251.959999999962747,10744251.960000000894070
20120515,3707143.120000000111759,3661525.750000000465661,3357089.879999999888241,10725759.750000000000000
20120516,3696490.500000000000000,3630704.169999999925494,3348039.639999999664724,10675235.309999998658895
20120517,3637416.879999999888241,3578764.100000000558794,3488884.000000000000000,10705065.980000000447035
20120518,3586090.620000000111759,3549084.060000000055879,3531307.000000000000000,10666482.679999999701977
20120521,3608364.279999999795109,3578764.100000000558794,3565811.040000000037253,10752940.420000001788139
20120522,3592869.560000000055879,3585613.340000000316650,3604840.199999999720603,10783324.099999999627471
20120523,3592869.560000000055879,3585613.340000000316650,3604840.199999999720603,10783324.099999999627471
20120524,3658722.120000000111759,3606731.830000000074506,3680635.959999999497086,10946090.910000000149012
20120525,3643227.399999999441206,3573056.400000000372529,3694211.320000000298023,10910496.120000001043081
20120529,3653880.019999999552965,3589037.960000000428408,3715140.000000000465661,10958058.980000000447035
20120530,3634511.620000000111759,3532531.730000000447035,3701564.639999999664724,10868608.990000000223517
20120531,3619016.899999999441206,3566777.930000000167638,3723058.959999999497086,10908854.789999999105930
