訓練日期,20160513 - 20160815
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11080573.660000000149012
真實報酬,1080573.660000000149012

夏普值報酬,0.099357366000000
夏普值風險,0.033045580947819
夏普值,3.006676328580594

預期報酬,18176.708541931340733
風險,77952.254164494457655
趨勢值,0.233177458904202
找到最佳解世代,1961
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](9),JNJ[12](7),VZ[26](13),
Stock#,AAPL[0](9),JNJ[12](7),VZ[26](13),
張數,36897,29180,64762,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.020000000018626,101.600000000093132,32.859999999869615,
20160513,3339974.459999999962747,3313782.400000000372529,3299009.139999999664724,9952767.000000000000000
20160516,3463948.379999999888241,3339460.799999999813735,3317790.119999999646097,10121200.299999998882413
20160517,3449558.549999999813735,3321661.000000000000000,3296418.659999999683350,10067639.209999999031425
20160518,3489038.340000000316650,3314657.800000000279397,3263390.040000000037253,10067087.179999999701977
20160519,3475755.419999999925494,3293064.600000000093132,3214170.919999999925494,9982991.939999999478459
20160520,3513390.359999999869615,3286936.800000000279397,3216113.779999999795109,10016441.939999999478459
20160523,3558035.730000000447035,3272930.399999999906868,3182437.540000000037253,10013404.670000001788139
20160524,3612274.320000000298023,3288395.799999999813735,3210932.819999999832362,10111603.939999999478459
20160525,3675737.160000000149012,3307654.600000000093132,3228418.560000000055879,10211811.320000000298023
20160526,3704885.790000000037253,3294523.600000000093132,3248494.779999999795109,10247905.169999999925494
20160527,3702671.969999999739230,3299192.400000000372529,3278285.299999999813735,10280150.669999999925494
20160531,3684592.439999999944121,3288395.799999999813735,3296418.659999999683350,10269407.900000000372529
20160601,3632936.639999999664724,3291022.000000000000000,3265980.520000000018626,10189940.160000000149012
20160602,3605632.859999999869615,3340919.799999999813735,3287999.600000000093132,10234553.259999999776483
20160603,3613012.260000000242144,3348798.400000000372529,3297713.899999999906868,10259525.560000000521541
20160606,3639209.129999999888241,3378270.200000000186265,3284113.879999999888241,10301594.210000000894070
20160607,3653967.930000000167638,3377103.000000000000000,3351466.359999999869615,10382538.289999999105930
20160608,3650647.199999999720603,3379145.600000000093132,3336571.100000000093132,10366364.900000000372529
20160609,3676844.070000000298023,3414161.600000000093132,3364418.760000000242144,10455425.429999999701977
20160610,3646588.529999999795109,3414453.400000000372529,3411047.399999999906868,10472090.330000000074506
20160613,3591612.000000000000000,3408033.800000000279397,3404571.199999999720603,10404218.000000000000000
20160614,3596039.639999999664724,3417663.200000000186265,3431771.240000000223517,10445475.080000000074506
20160615,3584232.600000000093132,3396945.399999999906868,3422056.939999999944121,10403235.939999999478459
20160616,3599360.370000000111759,3403656.800000000279397,3462209.379999999888241,10465227.550000000745058
