訓練日期,20130426 - 20130729
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11971193.070000000298023
真實報酬,1971193.070000000298023

夏普值報酬,0.188419307000000
夏普值風險,0.049659715212657
夏普值,3.794208367751133

預期報酬,31615.539366892651742
風險,178460.500114410562674
趨勢值,0.177157070313173
找到最佳解世代,2153
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](3),UNH[23](2),V[25](4),
Stock#,CSCO[4](3),UNH[23](2),V[25](4),
張數,161498,56173,79007,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.279999999795109,27.179999999701977,27.670000000391155,
20130426,3338177.939999999944121,3341197.219999999739230,3303310.340000000782311,9982686.500000000000000
20130429,3388242.319999999832362,3370968.909999999683350,3316741.530000000260770,10075953.759999999776483
20130430,3378552.439999999944121,3366475.069999999832362,3327802.510000000242144,10072831.019999999552965
20130501,3291343.519999999552965,3354678.739999999757856,3279608.240000000223517,9925631.500000000000000
20130502,3347867.819999999832362,3341197.219999999739230,3464484.620000000577420,10153550.660000000149012
20130503,3364017.619999999646097,3309740.339999999850988,3546651.900000000372529,10220410.859999999403954
20130506,3360787.659999999683350,3381641.779999999795109,3533220.710000000428408,10275651.150000000372529
20130507,3291343.519999999552965,3398493.679999999701977,3551392.320000000763685,10241230.519999999552965
20130508,3346252.839999999385327,3511401.409999999683350,3541121.410000000614673,10398776.660000000149012
20130509,3364017.619999999646097,3483314.909999999683350,3527690.220000000204891,10375023.750000000000000
20130510,3407622.080000000074506,3533870.609999999403954,3530850.500000000000000,10472344.189999999478459
20130513,3435076.739999999757856,3504660.649999999906868,3534010.780000000260770,10473749.169999999925494
20130514,3435076.739999999757856,3467586.469999999739230,3561663.230000000447035,10464327.439999999478459
20130515,3425386.859999999869615,3460845.709999999497086,3590105.750000000000000,10476339.320000000298023
20130516,3858201.500000000000000,3490617.399999999906868,3551392.320000000763685,10900212.220000000670552
20130517,3914725.799999999348074,3529938.500000000000000,3645410.650000000372529,11090075.949999999254942
20130520,3867891.379999999888241,3514210.060000000055879,3586945.470000000204891,10969047.910000000149012
20130521,3877581.260000000242144,3531623.689999999478459,3586155.400000000372529,10995361.349999999627471
20130522,3769377.599999999627471,3498481.619999999646097,3558502.950000000186265,10826363.169999998062849
20130523,3796832.260000000242144,3502975.459999999497086,3518209.380000000353903,10818018.099999999627471
20130524,3800062.220000000204891,3486123.560000000055879,3564033.440000000409782,10850220.220000000670552
20130528,3858201.500000000000000,3558025.000000000000000,3556132.740000000223517,10972360.240000000223517
20130529,3895346.040000000037253,3558586.729999999981374,3518999.450000000186265,10972933.219999998807907
20130530,3935720.540000000037253,3632173.359999999403954,3575884.490000000223517,11143779.390000000596046
20130531,3895346.040000000037253,3518142.169999999925494,3518999.450000000186265,10932488.660000000149012
20130603,3937335.519999999552965,3527691.579999999608845,3559293.020000000018626,11024321.119999999180436
20130604,3934105.559999999590218,3502975.459999999497086,3559293.020000000018626,10996375.039999999105930
20130605,3927645.639999999664724,3468709.929999999701977,3500827.840000000782311,10897184.410000000149012
20130606,3964790.179999999701977,3478259.339999999850988,3542701.550000000745058,10985752.070000000298023
20130607,3955100.299999999348074,3514771.789999999571592,3554552.600000000558794,11024425.689999999478459
20130610,3934105.559999999590218,3577123.819999999832362,3601166.730000000447035,11112397.109999999403954
20130611,3887271.139999999664724,3591167.069999999832362,3549022.110000000335276,11027461.320000000298023
20130612,3874351.299999999348074,3585549.769999999552965,3538751.200000000186265,10998653.269999999552965
20130613,3932490.580000000074506,3603525.129999999888241,3599586.590000000782311,11135603.300000000745058
20130614,3890501.099999999627471,3583864.579999999608845,3573514.280000000260770,11047880.960000000894070
20130617,3989014.879999999888241,3615883.189999999944121,3601956.800000000745058,11206855.870000001043081
20130618,4008394.639999999664724,3689469.820000000298023,3634349.670000000391155,11332215.130000000819564
20130619,3985784.919999999925494,3665877.160000000149012,3607487.290000000037253,11259150.370000001043081
20130620,3947025.399999999906868,3583864.579999999608845,3525320.010000000242144,11056210.990000000223517
20130621,3953485.319999999832362,3589481.879999999422580,3545861.830000000540167,11088830.029999999329448
20130624,3885656.159999999683350,3631611.629999999888241,3521369.660000000614673,11038638.449999999254942
20130625,3877581.260000000242144,3579932.469999999739230,3564823.510000000242144,11022338.240000000223517
20130626,3938950.500000000000000,3638914.119999999646097,3607487.290000000037253,11185352.910000000149012
20130627,3977710.019999999552965,3712500.750000000000000,3639880.160000000614673,11330091.929999999701977
20130628,3930875.599999999627471,3678235.219999999739230,3609857.500000000000000,11218969.320000000298023
20130701,3930875.599999999627471,3686661.169999999459833,3658841.840000000782311,11276379.609999999403954
20130702,3927645.639999999664724,3666438.889999999664724,3658841.840000000782311,11252927.370000001043081
20130703,3971250.099999999627471,3681605.600000000093132,3694394.990000000223517,11347251.689999999478459
20130705,3968020.139999999664724,3716994.589999999850988,3768661.570000000763685,11453677.300000000745058
20130708,3977710.019999999552965,3795075.060000000055879,3715726.880000000353903,11488512.960000000894070
20130709,4063303.959999999962747,3818105.989999999757856,3697555.270000000018626,11578966.219999998807907
20130710,4103678.459999999962747,3802377.549999999348074,3688074.430000000167638,11594131.439999999478459
20130711,4177967.540000000037253,3840013.459999999497086,3752070.100000000558794,11770052.100000001490116
20130712,4189272.399999999906868,3819791.179999999701977,3767081.430000000167638,11776146.009999999776483
20130715,4187657.419999999925494,3798445.439999999944121,3757600.590000000782311,11743704.449999999254942
20130716,4152127.859999999869615,3758562.609999999403954,3741009.120000000577420,11651700.589999999850988
20130717,4153742.839999999385327,3720364.969999999739230,3745749.540000000037253,11619858.349999997764826
20130718,4176352.559999999590218,3963032.329999999608845,3772611.920000000391155,11911997.809999998658895
20130719,4169892.639999999664724,4013588.029999999795109,3751280.030000000260770,11934761.699999999254942
20130722,4153742.839999999385327,4054594.320000000298023,3777352.340000000782311,11985690.500000000000000
20130723,4127903.159999999683350,4083242.549999999348074,3725207.720000000204891,11936354.429999999701977
20130724,4132748.099999999627471,4074254.869999999646097,3688864.500000000000000,11895868.469999998807907
20130725,4118213.279999999795109,4079310.439999999944121,3843718.220000000204891,12041242.939999999478459
20130726,4118213.279999999795109,4056279.509999999310821,3816065.770000000018626,11990559.559999998658895
20130729,4090758.619999999646097,4088859.850000000093132,3791573.600000000558794,11971193.070000000298023
