訓練日期,20140512 - 20140812
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11570525.719999998807907
真實報酬,1570525.719999998807907

夏普值報酬,0.148352572000000
夏普值風險,0.051014243253143
夏普值,2.908061798816574

預期報酬,29369.297865050964901
風險,157404.328332554898225
趨勢值,0.186585071555346
找到最佳解世代,1843
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),DIS[6](5),INTC[11](1),
Stock#,AAPL[0](3),DIS[6](5),INTC[11](1),
張數,39848,40675,126742,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.799999999813735,16.750000000000000,18.399999999906868,
20140512,3374774.919999999925494,3352450.250000000000000,3342204.939999999944121,10069431.109999999403954
20140513,3379955.159999999683350,3338620.750000000000000,3352344.299999999813735,10070921.210000000894070
20140514,3380752.120000000111759,3291437.750000000000000,3337135.259999999776483,10009326.129999998956919
20140515,3352061.560000000055879,3260118.000000000000000,3296577.820000000298023,9908758.380000000819564
20140516,3401473.079999999608845,3269880.000000000000000,3272496.839999999850988,9943850.919999999925494
20140519,3441719.560000000055879,3296725.500000000000000,3300380.079999999608845,10038826.140000000596046
20140520,3442516.520000000018626,3298352.500000000000000,3300380.079999999608845,10041250.099999999627471
20140521,3451681.560000000055879,3343095.000000000000000,3320658.799999999813735,10115436.359999999403954
20140522,3456861.799999999813735,3349603.000000000000000,3314321.699999999720603,10120787.500000000000000
20140523,3495912.839999999850988,3389057.749999999534339,3332065.579999999608845,10217037.169999999925494
20140527,3561662.039999999571592,3406141.250000000000000,3385297.220000000204891,10353101.509999999776483
20140528,3552098.520000000018626,3400446.750000000000000,3406843.359999999869615,10359389.629999998956919
20140529,3617050.759999999776483,3417937.000000000000000,3416982.720000000204891,10451971.480000000447035
20140530,3603502.439999999944121,3417123.500000000000000,3462609.839999999850988,10483236.779999999329448
20140602,3578796.679999999701977,3427699.000000000000000,3455005.320000000298023,10461502.000000000000000
20140603,3629403.639999999664724,3411835.750000000000000,3505702.120000000111759,10546942.509999999776483
20140604,3670845.560000000055879,3426478.750000000000000,3498097.600000000093132,10595422.910000000149012
20140605,3685190.839999999850988,3448443.250000000000000,3505702.120000000111759,10639337.210000000894070
20140606,3674830.359999999869615,3441528.500000000000000,3570340.540000000037253,10686700.399999998509884
20140609,3733805.399999999906868,3476915.750000000000000,3537387.620000000111759,10748109.769999999552965
20140610,3755721.799999999813735,3447223.000000000000000,3579212.479999999515712,10782158.279999999329448
20140611,3740181.079999999608845,3429326.000000000000000,3539922.459999999962747,10709430.539999999105930
20140612,3677619.720000000204891,3367906.750000000000000,3543724.720000000204891,10589252.190000001341105
20140613,3637373.239999999757856,3367906.750000000000000,3785801.939999999944121,10791082.929999999701977
20140616,3674033.399999999906868,3388244.250000000000000,3803545.820000000298023,10865824.470000000670552
20140617,3669251.639999999664724,3382549.750000000000000,3795941.299999999813735,10847743.689999999478459
20140618,3673236.439999999944121,3399633.250000000000000,3793406.459999999962747,10866277.149999998509884
20140619,3660485.079999999608845,3407361.500000000000000,3813685.179999999701977,10881532.759999999776483
20140620,3622629.479999999515712,3368720.249999999534339,3827626.799999999813735,10818977.529999997466803
20140623,3619441.639999999664724,3366279.750000000000000,3831429.060000000055879,10817151.449999999254942
20140624,3597525.239999999757856,3363025.750000000465661,3865649.399999999906868,10826201.390000000596046
20140625,3600713.079999999608845,3412649.250000000000000,3913811.359999999869615,10927174.689999999478459
20140626,3622231.000000000000000,3435020.500000000000000,3901137.160000000149012,10958389.660000000149012
20140627,3665266.839999999850988,3469594.250000000000000,3920148.459999999962747,11055010.550000000745058
20140630,3703122.439999999944121,3487491.250000000000000,3916346.199999999720603,11106960.889999998733401
20140701,3726632.759999999776483,3517184.000000000000000,3926485.560000000055879,11170303.320000000298023
20140702,3725038.839999999850988,3515963.750000000000000,3926485.560000000055879,11167489.150000000372529
20140703,3746955.239999999757856,3532233.750000000000000,3946764.279999999795109,11225954.269999999552965
20140707,3824260.359999999869615,3522065.000000000000000,3932822.660000000149012,11279149.019999999552965
20140708,3799554.599999999627471,3492372.250000000000000,3902404.579999999608845,11194332.429999999701977
20140709,3801148.520000000018626,3547690.250000000000000,3915078.779999999795109,11263918.549999998882413
20140710,3787201.720000000204891,3533047.250000000000000,3961973.320000000298023,11282223.290000000968575
20140711,3794374.359999999869615,3534267.500000000000000,3960705.899999999906868,11289348.759999999776483
20140714,3843387.399999999906868,3528979.750000000000000,3991123.979999999515712,11363492.129999998956919
20140715,3798359.159999999683350,3504168.000000000000000,4019007.220000000204891,11321535.380000000819564
20140716,3776841.239999999757856,3471628.000000000000000,4391628.699999999254942,11640098.939999999478459
20140717,3709498.120000000111759,3458612.000000000000000,4271223.800000000745058,11439334.920000001788139
