訓練日期,20160203 - 20160505
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11367631.839999999850988
真實報酬,1367631.839999999850988

夏普值報酬,0.128063184000000
夏普值風險,0.039749767623045
夏普值,3.221734154887347

預期報酬,23021.491295681436895
風險,68264.285917661341955
趨勢值,0.337240637416897
找到最佳解世代,2517
找到最佳解實驗#,5
找到最佳解次數,17

stock[index](rank)
投資組合檔數,4
AXP[1](4),KO[14](15),PFE[20](24),XOM[29](10),
Stock#,AXP[1](4),KO[14](15),PFE[20](24),XOM[29](10),
張數,46589,58906,82946,33516,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,34.260000000242144,29.360000000335276,7.560000000055879,41.560000000055879,
20160203,2520965.050000000279397,2516493.680000000167638,2461015.380000000353903,2630377.240000000223517,10128851.350000001490116
20160204,2533544.080000000540167,2505301.540000000502914,2405441.560000000055879,2675623.839999999850988,10119911.020000001415610
20160205,2514908.479999999981374,2500000.000000000000000,2407929.939999999944121,2684002.839999999850988,10106841.259999999776483
20160208,2441297.860000000335276,2512370.260000000242144,2368945.319999999832362,2720200.120000000111759,10042813.560000002384186
20160209,2452013.330000000540167,2550659.160000000149012,2413736.160000000149012,2684002.839999999850988,10100411.490000000223517
20160210,2436173.070000000298023,2506479.660000000149012,2446085.100000000093132,2659536.159999999683350,10048273.990000000223517
20160211,2381198.050000000279397,2498232.820000000298023,2416224.540000000037253,2667915.159999999683350,9963570.570000000298023
20160212,2453411.000000000000000,2539467.020000000484288,2435302.120000000111759,2715843.040000000037253,10144023.179999999701977
20160216,2477637.280000000260770,2554193.520000000484288,2472627.819999999832362,2722211.080000000074506,10226669.700000001117587
20160217,2497670.550000000279397,2561851.300000000279397,2457697.540000000037253,2748353.560000000055879,10265572.950000001117587
20160218,2522828.610000000335276,2568920.020000000484288,2451061.860000000335276,2763435.760000000242144,10306246.250000001862645
20160219,2548918.450000000186265,2578344.980000000447035,2446085.100000000093132,2765111.560000000055879,10338460.090000001713634
20160222,2591780.330000000540167,2588359.000000000000000,2492534.860000000335276,2761424.800000000279397,10434098.990000000223517
20160223,2567554.050000000279397,2573632.500000000000000,2485069.720000000204891,2722546.240000000223517,10348802.510000001639128
