訓練日期,20180131 - 20180503
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10616826.370000001043081
真實報酬,616826.370000001043081

夏普值報酬,0.052982637000000
夏普值風險,0.043532257706948
夏普值,1.217089114850659

預期報酬,8600.279640313883647
風險,363035.272816047363449
趨勢值,0.023689928456819
找到最佳解世代,2052
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](2),INTC[11](1),
Stock#,CSCO[4](2),INTC[11](1),
張數,118343,102480,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,8.250000000000000,0.799999999813735,
20180131,4915976.469999999739230,4933388.000000000000000,9849364.469999998807907
20180201,4934911.350000000558794,4883172.799999999813735,9818084.150000000372529
20180202,4843787.240000000223517,4729452.799999999813735,9573240.039999999105930
20180205,4589349.790000000037253,4562410.400000000372529,9151760.190000001341105
20180206,4753846.560000000521541,4602377.599999999627471,9356224.160000000149012
20180207,4773964.870000000111759,4632096.799999999813735,9406061.669999999925494
20180208,4588166.360000000335276,4381020.799999999813735,8969187.160000000149012
20180209,4678107.040000000037253,4503996.799999999813735,9182103.839999999850988
20180212,4804734.049999999813735,4594179.199999999254942,9398913.250000000000000
20180213,4879290.139999999664724,4556261.599999999627471,9435551.739999998360872
20180214,4981065.120000000111759,4650543.200000000186265,9631608.320000000298023
20180215,5216567.689999999478459,4705882.400000000372529,9922450.089999999850988
20180216,5246153.439999999478459,4668989.599999999627471,9915143.039999999105930
20180220,5214200.830000000074506,4746874.399999999441206,9961075.230000000447035
20180221,5125443.580000000074506,4707932.000000000000000,9833375.580000000074506
20180222,5081656.669999999925494,4693584.799999999813735,9775241.469999998807907
20180223,5207100.250000000000000,4891371.199999999254942,10098471.449999999254942
20180226,5368046.729999999515712,5032793.599999999627471,10400840.329999998211861
20180227,5330176.969999999739230,5114777.599999999627471,10444954.570000000298023
20180228,5299407.790000000037253,5051240.000000000000000,10350647.789999999105930
20180301,5183431.649999999441206,4902644.000000000000000,10086075.649999998509884
20180302,5214200.830000000074506,5019471.199999999254942,10233672.029999999329448
20180305,5268638.610000000335276,5098380.799999999813735,10367019.410000000149012
20180306,5241419.719999999739230,5196761.599999999627471,10438181.320000000298023
20180307,5230768.850000000558794,5259274.399999999441206,10490043.250000000000000
20180308,5247336.870000000111759,5199836.000000000000000,10447172.870000001043081
20180309,5369230.160000000149012,5348432.000000000000000,10717662.160000000149012
20180312,5390531.899999999441206,5279770.400000000372529,10670302.300000000745058
20180313,5344378.129999999888241,5306415.200000000186265,10650793.330000000074506
20180314,5358579.290000000037253,5314613.599999999627471,10673192.890000000596046
20180315,5364496.439999999478459,5214183.200000000186265,10578679.640000000596046
20180316,5326626.679999999701977,5243902.400000000372529,10570529.080000000074506
20180319,5239052.860000000335276,5209059.199999999254942,10448112.059999998658895
20180320,5250887.160000000149012,5282844.799999999813735,10533731.960000000894070
20180321,5243786.580000000074506,5283869.599999999627471,10527656.179999999701977
20180322,5097041.259999999776483,5209059.199999999254942,10306100.459999999031425
20180323,5020118.310000000521541,5058413.599999999627471,10078531.910000000149012
20180326,5214200.830000000074506,5378151.199999999254942,10592352.029999999329448
20180327,5050887.490000000223517,5245952.000000000000000,10296839.490000000223517
20180328,4930177.629999999888241,5083008.799999999813735,10013186.429999999701977
20180329,5075739.520000000484288,5337159.199999999254942,10412898.719999998807907
20180402,4853254.679999999701977,5013322.400000000372529,9866577.080000000074506
20180403,4897041.589999999850988,5098380.799999999813735,9995422.390000000596046
20180404,4875739.850000000558794,5122976.000000000000000,9998715.850000001490116
20180405,4949112.509999999776483,5162943.200000000186265,10112055.710000000894070
20180406,4820118.639999999664724,5000000.000000000000000,9820118.640000000596046
20180409,4872189.560000000521541,5077884.799999999813735,9950074.359999999403954
20180410,5030769.179999999701977,5254150.400000000372529,10284919.580000000074506
20180411,5021301.740000000223517,5236728.799999999813735,10258030.539999999105930
20180412,5128993.870000000111759,5402746.399999999441206,10531740.269999999552965
20180413,5088757.250000000000000,5314613.599999999627471,10403370.849999999627471
20180416,5124260.149999999441206,5369952.799999999813735,10494212.949999999254942
20180417,5276922.620000000111759,5486780.000000000000000,10763702.620000001043081
20180418,5281656.339999999850988,5493953.599999999627471,10775609.939999999478459
20180419,5273372.330000000074506,5351506.399999999441206,10624878.730000000447035
20180420,5217751.120000000111759,5280795.200000000186265,10498546.320000000298023
20180423,5236686.000000000000000,5236728.799999999813735,10473414.800000000745058
20180424,5176331.070000000298023,5272596.799999999813735,10448927.870000001043081
20180425,5172780.780000000260770,5265423.200000000186265,10438203.980000000447035
20180426,5231952.280000000260770,5436564.799999999813735,10668517.080000000074506
20180427,5291123.780000000260770,5403771.199999999254942,10694894.980000000447035
20180430,5241419.719999999739230,5290018.399999999441206,10531438.119999999180436
20180501,5305324.939999999478459,5465259.199999999254942,10770584.139999998733401
20180502,5190532.229999999515712,5360729.599999999627471,10551261.829999998211861
20180503,5259171.169999999925494,5357655.200000000186265,10616826.370000001043081
