訓練日期,20091102 - 20100204
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12459348.820000000298023
真實報酬,2459348.820000000298023

夏普值報酬,0.237234882000000
夏普值風險,0.068082136778973
夏普值,3.484539311246603

預期報酬,49784.822771366059897
風險,324200.086815865593962
趨勢值,0.153562027883238
找到最佳解世代,1756
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,104602,192678,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,24.400000000372529,5.900000000372529,
20091102,5049162.940000000409782,5090558.660000001080334,10139721.600000001490116
20091103,5031380.600000000558794,5184970.880000000819564,10216351.480000000447035
20091104,5028242.540000000037253,5369941.760000000707805,10398184.300000000745058
20091105,5206065.940000000409782,5435452.280000000260770,10641518.220000000670552
20091106,5196651.760000000707805,5524084.160000001080334,10720735.920000001788139
20091109,5371337.100000000558794,5612716.040000000037253,10984053.140000000596046
20091110,5263597.040000000037253,5581887.560000000521541,10845484.600000001490116
20091111,5301253.760000000707805,5658958.760000000707805,10960212.520000001415610
20091112,5259412.960000000894070,5541425.180000000633299,10800838.140000000596046
20091113,5301253.760000000707805,5603082.139999999664724,10904335.900000000372529
20091116,5489537.360000000335276,5616569.600000000558794,11106106.960000000894070
20091117,5494767.460000000894070,5581887.560000000521541,11076655.020000001415610
20091118,5441420.440000000409782,5562619.760000000707805,11004040.200000001117587
20091119,5379705.260000000707805,5516377.040000000037253,10896082.300000000745058
20091120,5407947.800000000745058,5502889.580000000074506,10910837.380000000819564
20091123,5505227.660000001080334,5603082.139999999664724,11108309.800000000745058
20091124,5436190.339999999850988,5695567.580000000074506,11131757.919999999925494
20091125,5536608.260000000707805,5691714.020000000484288,11228322.280000001192093
20091127,5486399.300000000745058,5672446.220000000670552,11158845.520000001415610
20091130,5482215.219999999739230,5524084.160000001080334,11006299.380000000819564
20091201,5619243.839999999850988,5529864.500000000000000,11149108.339999999850988
20091202,5625519.960000000894070,5450866.520000000484288,11076386.480000000447035
20091203,5624473.940000000409782,5265895.639999999664724,10890369.580000000074506
20091204,5719661.760000000707805,5290943.780000000260770,11010605.540000000968575
20091207,5838908.040000000037253,5452793.300000000745058,11291701.339999999850988
20091208,5822171.719999999739230,5483621.780000000260770,11305793.500000000000000
20091209,5802297.339999999850988,5491328.900000000372529,11293626.240000000223517
20091210,5754180.419999999925494,5840076.080000000074506,11594256.500000000000000
20091211,5815895.600000000558794,5872831.340000000782311,11688726.940000001341105
20091214,5862966.500000000000000,5963390.000000000000000,11826356.500000000000000
20091215,5823217.740000000223517,6034680.860000000335276,11857898.600000001490116
20091216,5766732.660000001080334,6204237.500000000931323,11970970.160000002011657
20091217,5697695.339999999850988,6131019.860000000335276,11828715.199999999254942
20091218,5589955.280000000260770,6077070.020000000484288,11667025.300000000745058
20091221,5679913.000000000000000,6198457.160000001080334,11878370.160000000149012
20091222,5763594.600000000558794,6227358.860000000335276,11990953.460000000894070
20091223,5748950.320000000298023,6092484.260000000707805,11841434.580000001937151
20091224,5803343.360000000335276,6104044.940000000409782,11907388.300000000745058
20091228,5767778.680000000633299,6048168.320000000298023,11815947.000000000000000
20091229,5775100.820000000298023,5944122.200000000186265,11719223.019999999552965
20091230,5748950.320000000298023,5974950.680000000633299,11723901.000000000000000
20091231,5662130.660000001080334,5872831.340000000782311,11534962.000000001862645
20100104,5876564.760000000707805,6075143.240000000223517,11951708.000000000000000
20100105,6069032.440000000409782,6065509.340000000782311,12134541.780000001192093
20100106,6253131.960000000894070,6125239.520000000484288,12378371.480000000447035
20100107,6506268.800000000745058,6360306.679999999701977,12866575.480000000447035
20100108,6443507.600000000558794,6300576.500000000931323,12744084.100000001490116
20100111,6367148.139999999664724,6342965.660000001080334,12710113.800000000745058
20100112,6321123.260000000707805,6175335.799999999813735,12496459.060000000521541
20100113,6397482.719999999739230,6269748.020000000484288,12667230.740000000223517
20100114,6439323.520000000484288,6420036.860000000335276,12859360.380000000819564
20100115,6361918.040000000037253,6502888.400000000372529,12864806.440000001341105
20100119,6344135.700000000186265,6768784.040000000968575,13112919.740000002086163
20100120,6297064.800000000745058,6657030.799999999813735,12954095.600000001490116
20100121,6192462.800000000745058,6377647.700000000186265,12570110.500000000000000
20100122,6042881.940000000409782,6389208.379999999888241,12432090.320000000298023
20100125,6043927.960000000894070,6358379.900000000372529,12402307.860000001266599
20100126,6036605.820000000298023,6250480.219999999739230,12287086.039999999105930
20100127,6478026.260000000707805,6404622.620000001043081,12882648.880000002682209
20100128,6543925.520000000484288,6441231.440000000409782,12985156.960000000894070
20100129,6338905.600000000558794,6358379.900000000372529,12697285.500000000000000
20100201,6453967.800000000745058,6383428.040000000968575,12837395.840000001713634
20100202,6479072.280000000260770,6560691.799999999813735,13039764.080000000074506
20100203,6428863.320000000298023,6420036.860000000335276,12848900.179999999701977
20100204,6205015.040000000037253,6254333.780000000260770,12459348.820000000298023
