訓練日期,20110929 - 20111230
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11851983.939999997615814
真實報酬,1851983.939999997615814

夏普值報酬,0.176498394000000
夏普值風險,0.048763611306545
夏普值,3.619469298335350

預期報酬,28865.792024662347103
風險,174474.418635149224428
趨勢值,0.165444265414203
找到最佳解世代,1817
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),MCD[15](2),WMT[28](5),
Stock#,HD[9](1),MCD[15](2),WMT[28](5),
張數,99206,37865,64964,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,11.399999999906868,77.049999999813735,30.159999999683350,
20110929,3352182.139999999664724,3361731.750000000000000,3373610.679999999701977,10087525.570000000298023
20110930,3260912.619999999646097,3325381.349999999627471,3371661.759999999776483,9957956.729999998584390
20111003,3133928.939999999944121,3257224.349999999627471,3375559.599999999627471,9766713.889999998733401
20111004,3221230.219999999739230,3274642.250000000000000,3435326.479999999981374,9931199.949999999254942
20111005,3256944.379999999888241,3250029.999999999534339,3420384.759999999776483,9927360.139999998733401
20111006,3311507.680000000167638,3298497.199999999720603,3426881.159999999683350,10036887.039999999105930
20111007,3365078.919999999925494,3301905.049999999813735,3488596.959999999962747,10155581.929999999701977
20111010,3438491.359999999403954,3351508.200000000186265,3560707.000000000000000,10350707.559999998658895
20111011,3443451.660000000149012,3382936.149999999906868,3554860.239999999757856,10381249.050000000745058
20111012,3444443.719999999739230,3345828.449999999720603,3586042.959999999962747,10376316.129999998956919
20111013,3413689.859999999403954,3381800.199999999720603,3574349.439999999944121,10369840.499999998137355
20111014,3477181.699999999720603,3405655.149999999906868,3602933.599999999627471,10485771.449999999254942
20111017,3437499.299999999813735,3357187.949999999720603,3558758.079999999608845,10353446.330000000074506
20111018,3566467.100000000093132,3394295.649999999906868,3630868.119999999646097,10591631.869999999180436
20111019,3511903.799999999813735,3393538.350000000093132,3654255.159999999683350,10559698.310000000521541
20111020,3544641.779999999795109,3370440.700000000186265,3662050.839999999385327,10577134.320000000298023
20111021,3656744.560000000055879,3495773.849999999627471,3697781.039999999571592,10850300.449999999254942
20111024,3640871.600000000093132,3484035.700000000186265,3688686.079999999608845,10813594.380000000819564
20111025,3575395.639999999664724,3474948.099999999627471,3684138.599999999627471,10734483.339999999850988
20111026,3625990.699999999720603,3475326.750000000000000,3727014.839999999385327,10828333.289999999105930
20111027,3707339.619999999646097,3540833.200000000186265,3755599.000000000000000,11003772.820000000298023
20111028,3583332.119999999646097,3532502.899999999906868,3712722.759999999776483,10828558.779999999329448
20111031,3551586.199999999720603,3515842.299999999813735,3684788.239999999757856,10752217.740000000223517
20111101,3525792.639999999664724,3480249.199999999720603,3652955.879999999422580,10658998.719999998807907
20111102,3570435.340000000316650,3503725.500000000000000,3693883.199999999720603,10768045.039999999105930
20111103,3616070.100000000093132,3521522.049999999813735,3730263.039999999571592,10867856.189999999478459
20111104,3610117.739999999757856,3552192.699999999720603,3735460.159999999683350,10897771.599999999627471
20111107,3704363.440000000409782,3582863.350000000093132,3764044.319999999366701,11051272.109999999403954
20111108,3763887.039999999571592,3582106.049999999813735,3853694.639999999664724,11199688.730000000447035
20111109,3686506.359999999403954,3508269.299999999813735,3771190.359999999403954,10965967.019999999552965
20111110,3690474.600000000093132,3531366.950000000186265,3776387.479999999981374,10998230.030000001192093
20111111,3775791.760000000242144,3588164.450000000186265,3845898.959999999962747,11209856.170000001788139
20111114,3794640.899999999906868,3561658.949999999720603,3825760.119999999646097,11182060.969999998807907
20111115,3776783.819999999832362,3577183.599999999627471,3732861.599999999627471,11086830.019999999552965
20111116,3753966.440000000409782,3527201.799999999813735,3682189.679999999701977,10963358.919999999925494
20111117,3732141.119999999646097,3494637.899999999906868,3685437.879999999422580,10912217.899999998509884
20111118,3757934.680000000167638,3511677.149999999441206,3717919.879999999422580,10987532.709999999031425
20111121,3676585.760000000242144,3494259.250000000000000,3680890.399999999441206,10851736.410000000149012
20111122,3680554.000000000000000,3508269.299999999813735,3693233.559999999590218,10882057.859999999403954
20111123,3623014.520000000018626,3478734.600000000093132,3679591.119999999646097,10781341.240000000223517
20111125,3618054.219999999739230,3487443.549999999813735,3695832.119999999646097,10801330.889999998733401
20111128,3700395.199999999720603,3550299.450000000186265,3719219.159999999683350,10969914.810000000521541
20111129,3865077.160000000149012,3538939.949999999720603,3778986.039999999571592,11183004.149999998509884
20111130,3890870.719999999739230,3616941.849999999627471,3826409.759999999776483,11334223.329999998211861
20111201,3902775.440000000409782,3616184.549999999813735,3807570.199999999720603,11326531.189999999478459
20111202,3962299.039999999571592,3623757.549999999813735,3773788.919999999925494,11359846.509999999776483
20111205,3991068.779999999795109,3610504.799999999813735,3790029.919999999925494,11391604.500000000000000
20111206,3999997.319999999832362,3635495.700000000186265,3818614.079999999608845,11454108.099999999627471
20111207,4040671.779999999795109,3652156.299999999813735,3801073.799999999348074,11493902.879999998956919
20111208,3959322.859999999403954,3669952.850000000093132,3766642.879999999422580,11395919.589999997988343
20111209,3991068.779999999795109,3711983.000000000000000,3788730.639999999664724,11491783.419999998062849
20111212,3973211.699999999720603,3729022.250000000000000,3773788.919999999925494,11476023.869999999180436
20111213,3919640.459999999497086,3710847.049999999813735,3741956.559999999590218,11372445.070000000298023
20111214,3882934.239999999757856,3696079.699999999720603,3745204.759999999776483,11324219.699999999254942
20111215,3910711.919999999925494,3716148.149999999906868,3764693.959999999962747,11391555.030000001192093
20111216,4009917.919999999925494,3691535.899999999441206,3785482.439999999944121,11486937.259999999776483
20111219,3988092.600000000093132,3682069.649999999441206,3753650.079999999608845,11423813.330000000074506
20111220,4161703.100000000093132,3741896.349999999627471,3845249.319999999366701,11748849.769999999552965
20111221,4166663.399999999906868,3756285.049999999813735,3858242.119999999646097,11781191.569999998435378
20111222,4158726.919999999925494,3733566.049999999813735,3845249.319999999366701,11737543.289999999105930
20111223,4175591.940000000409782,3792256.799999999813735,3897220.520000000018626,11865070.259999999776483
20111227,4188488.719999999739230,3807402.799999999813735,3886826.279999999795109,11882718.799999998882413
20111228,4120036.580000000074506,3770673.749999999534339,3880329.879999999422580,11771041.209999999031425
20111229,4167655.459999999497086,3817247.699999999720603,3897220.520000000018626,11882124.679999999701977
20111230,4170631.639999999664724,3799072.499999999534339,3882278.799999999348074,11851983.939999997615814
