訓練日期,20141027 - 20150129
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11525868.339999999850988
真實報酬,1525868.339999999850988

夏普值報酬,0.143886834000000
夏普值風險,0.041568445661463
夏普值,3.461443691492047

預期報酬,26357.990149041783297
風險,124758.332967266949709
趨勢值,0.211272381749100
找到最佳解世代,1948
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),PFE[20](5),UNH[23](3),WBA[27](1),
Stock#,HD[9](4),PFE[20](5),UNH[23](3),WBA[27](1),
張數,26318,85881,27280,39904,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,53.180000000167638,4.089999999850988,60.799999999813735,14.399999999906868,
20141027,2512632.640000000130385,2493129.520000000018626,2513367.199999999720603,2518355.839999999850988,10037485.199999999254942
20141028,2542108.800000000279397,2498282.379999999888241,2527280.000000000000000,2541899.200000000186265,10109570.379999998956919
20141029,2537634.740000000223517,2532634.779999999795109,2536009.599999999627471,2507182.719999999739230,10113461.839999999850988
20141030,2566584.540000000037253,2562693.129999999888241,2561107.199999999720603,2512370.239999999757856,10202755.109999999403954
20141031,2566584.540000000037253,2572140.039999999571592,2591933.600000000093132,2562649.279999999795109,10293307.459999999031425
20141103,2528949.800000000279397,2592751.479999999981374,2587841.599999999627471,2592976.320000000298023,10302519.199999999254942
20141104,2525528.459999999962747,2600480.770000000018626,2591115.199999999720603,2603351.359999999869615,10320475.789999999105930
20141105,2520791.220000000204891,2579869.329999999608845,2613484.799999999813735,2620111.039999999571592,10334256.389999998733401
20141106,2560531.400000000372529,2579869.329999999608845,2624669.599999999627471,2659616.000000000000000,10424686.330000000074506
20141107,2570005.880000000353903,2569563.609999999869615,2553741.599999999627471,2670390.080000000074506,10363701.169999999925494
20141110,2583428.060000000055879,2593610.289999999571592,2584840.799999999813735,2704707.520000000018626,10466586.669999999925494
20141111,2582901.700000000186265,2603916.009999999776483,2610483.999999999534339,2693534.399999999906868,10490836.109999999403954
20141112,2592113.000000000000000,2612504.109999999869615,2610211.200000000186265,2691140.159999999683350,10505968.469999998807907
20141113,2605535.180000000167638,2612504.109999999869615,2616212.799999999813735,2671986.239999999757856,10506238.330000000074506
20141114,2585533.500000000000000,2605633.629999999888241,2594661.599999999627471,2670789.120000000111759,10456617.849999999627471
20141117,2580006.720000000204891,2603916.009999999776483,2631762.399999999906868,2655625.599999999627471,10471310.730000000447035
20141118,2526054.820000000298023,2627103.879999999888241,2678683.999999999534339,2715880.640000000130385,10547723.339999999850988
20141119,2545003.780000000260770,2614221.729999999981374,2642401.599999999627471,2705106.560000000055879,10506733.669999999925494
20141120,2567900.439999999944121,2614221.729999999981374,2642128.799999999813735,2687149.760000000242144,10511400.730000000447035
20141121,2586586.220000000204891,2615080.539999999571592,2638309.599999999627471,2697125.760000000242144,10537102.119999999180436
20141124,2589744.380000000353903,2595327.909999999683350,2643492.799999999813735,2702712.320000000298023,10531277.410000000149012
20141125,2553162.360000000335276,2616798.159999999683350,2670772.799999999813735,2705904.640000000130385,10546637.959999999031425
20141126,2571321.780000000260770,2670903.189999999944121,2676501.599999999627471,2732241.279999999795109,10650967.849999999627471
20141128,2616062.380000000353903,2675197.239999999757856,2690687.199999999720603,2737827.839999999850988,10719774.660000000149012
20141201,2602377.020000000018626,2684644.149999999906868,2702417.600000000093132,2704308.479999999515712,10693747.250000000000000
20141202,2583428.060000000055879,2711267.259999999776483,2723423.199999999720603,2663606.399999999906868,10681724.919999999925494
20141203,2594744.800000000279397,2726725.839999999850988,2749884.799999999813735,2688745.919999999925494,10760101.359999999403954
20141204,2604219.280000000260770,2719855.359999999869615,2719058.399999999906868,2709496.000000000000000,10752629.040000000968575
20141205,2622378.700000000186265,2747337.279999999795109,2737063.199999999720603,2737428.799999999813735,10844207.980000000447035
20141208,2643169.920000000391155,2745619.659999999683350,2725878.399999999906868,2702712.320000000298023,10817380.300000000745058
20141209,2622378.700000000186265,2743902.039999999571592,2755886.399999999906868,2737029.760000000242144,10859196.900000000372529
20141210,2603956.100000000093132,2736172.750000000000000,2703236.000000000000000,2719472.000000000000000,10762836.849999999627471
20141211,2638959.040000000037253,2718137.739999999757856,2720695.199999999720603,2913405.439999999944121,10991197.419999998062849
20141212,2626063.220000000204891,2658021.039999999571592,2694233.600000000093132,2972862.399999999906868,10951180.259999999776483
20141215,2633169.080000000074506,2650291.750000000000000,2680866.399999999906868,2930564.159999999683350,10894891.390000000596046
20141216,2554478.260000000242144,2633974.359999999869615,2614848.799999999813735,2888664.959999999962747,10691966.379999998956919
20141217,2603956.100000000093132,2672620.810000000055879,2704600.000000000000000,2872703.359999999869615,10853880.269999999552965
20141218,2649486.240000000223517,2745619.659999999683350,2789167.999999999534339,2968073.919999999925494,11152347.820000000298023
20141219,2682646.920000000391155,2743043.229999999981374,2795987.999999999534339,2922184.320000000298023,11143862.470000000670552
20141222,2723966.180000000167638,2755925.380000000353903,2810992.000000000000000,2963684.479999999515712,11254568.039999999105930
20141223,2730808.860000000335276,2700961.539999999571592,2805808.799999999813735,3053069.439999999944121,11290648.640000000596046
20141224,2725545.260000000242144,2698385.109999999869615,2801171.200000000186265,3059454.080000000074506,11284555.650000000372529
20141226,2730545.680000000167638,2718137.739999999757856,2797624.799999999813735,3051074.239999999757856,11297382.459999999031425
20141229,2751073.720000000204891,2695808.679999999701977,2791623.199999999720603,3064242.560000000055879,11302748.160000000149012
20141230,2744231.040000000037253,2694949.869999999646097,2805808.799999999813735,3034713.599999999627471,11279703.309999998658895
20141231,2762653.640000000130385,2675197.239999999757856,2757796.000000000000000,3040699.200000000186265,11236346.080000000074506
20150102,2722123.920000000391155,2690655.819999999832362,2749339.199999999720603,3032718.399999999906868,11194837.339999999850988
20150105,2665013.860000000335276,2676056.049999999813735,2704054.399999999906868,2972862.399999999906868,11017986.710000000894070
20150106,2656855.280000000260770,2698385.109999999869615,2698598.399999999906868,2980444.159999999683350,11034282.950000001117587
20150107,2747915.560000000055879,2735313.939999999944121,2726151.200000000186265,3056660.799999999813735,11266041.500000000000000
20150108,2808710.140000000130385,2791136.589999999850988,2856276.799999999813735,3094569.599999999627471,11550693.130000000819564
20150109,2760548.200000000186265,2804018.739999999757856,2829542.399999999906868,3019550.080000000074506,11413659.419999999925494
20150112,2748178.740000000223517,2814324.459999999962747,2797624.799999999813735,3020747.200000000186265,11380875.199999999254942
20150113,2730019.320000000298023,2785983.729999999515712,2811810.399999999441206,3003189.439999999944121,11331002.889999998733401
20150114,2701332.700000000186265,2789418.969999999739230,2818903.199999999720603,2992415.359999999869615,11302070.229999998584390
20150115,2658434.360000000335276,2782548.489999999757856,2849729.599999999627471,2984035.520000000018626,11274747.969999998807907
20150116,2740283.340000000316650,2816900.889999999664724,2885466.399999999906868,3033915.520000000018626,11476566.150000000372529
20150120,2717386.680000000167638,2842665.189999999944121,2881374.399999999906868,3034713.599999999627471,11476139.869999999180436
20150121,2724755.720000000204891,2803159.929999999701977,2982310.399999999441206,3016357.760000000242144,11526583.810000000521541
20150122,2791603.439999999944121,2817759.700000000186265,3105888.799999999813735,3033516.479999999515712,11748768.420000001788139
20150123,2773180.840000000316650,2786842.540000000037253,3055420.799999999813735,3016357.760000000242144,11631801.939999999478459
20150126,2799235.660000000149012,2816900.889999999664724,3044781.599999999627471,3026333.760000000242144,11687251.909999998286366
20150127,2767654.060000000055879,2799724.689999999944121,3001133.600000000093132,2990021.120000000111759,11558533.469999998807907
20150128,2756600.500000000000000,2743902.039999999571592,2958849.599999999627471,2943732.479999999515712,11403084.619999997317791
20150129,2832396.340000000316650,2733596.319999999832362,2984220.000000000000000,2975655.679999999701977,11525868.339999999850988
