訓練日期,20150204 - 20150507
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10918096.760000001639128
真實報酬,918096.760000001639128

夏普值報酬,0.083109676000000
夏普值風險,0.025841681642999
夏普值,3.216109429260629

預期報酬,15398.697669246785154
風險,115726.176579004240921
趨勢值,0.133061491569579
找到最佳解世代,3494
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](20),IBM[10](11),JPM[13](3),NKE[19](1),WBA[27](5),
Stock#,CAT[3](20),IBM[10](11),JPM[13](3),NKE[19](1),WBA[27](5),
張數,23832,12620,35260,42844,26741,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,18.560000000055879,108.600000000093132,52.800000000046566,42.080000000074506,40.609999999869615,
20150204,1953050.960000000195578,1980943.800000000279397,1988011.600000000093132,1982433.960000000195578,1996791.079999999841675,9901231.400000000372529
20150205,1991658.799999999813735,1992932.800000000046566,2001763.000000000232831,1999571.560000000055879,2000000.000000000000000,9985926.160000000149012
20150206,1983079.279999999795109,1977915.000000000000000,2041254.199999999953434,1966581.679999999934807,2036367.760000000009313,10005197.919999999925494
20150209,2017874.000000000000000,1965673.600000000093132,2038786.000000000000000,1953300.040000000270084,2043053.010000000009313,10018686.650000000372529
20150210,1999523.360000000102445,2001135.800000000046566,2061352.400000000139698,1987146.800000000279397,2050807.899999999906868,10099966.260000001639128
20150211,1987845.679999999934807,1996592.599999999860302,2058179.000000000000000,1956299.119999999878928,2126752.339999999850988,10125668.739999998360872
20150212,1990705.520000000018626,2000631.000000000232831,2100491.000000000000000,1970866.080000000074506,2138250.969999999739230,10200944.570000000298023
20150213,2028836.719999999972060,2024356.600000000093132,2104017.000000000000000,1971722.960000000195578,2105359.540000000037253,10234292.820000000298023
20150217,2034794.719999999972060,2031423.800000000279397,2119178.799999999813735,1967867.000000000000000,2085838.609999999869615,10239102.929999999701977
20150218,2020972.159999999916181,2046946.400000000139698,2093439.000000000000000,2005569.720000000204891,2080223.000000000000000,10247150.280000001192093
20150219,1985224.159999999916181,2068400.399999999906868,2088502.599999999860302,2007283.480000000214204,2061771.709999999729916,10211182.349999999627471
20150220,2012392.639999999897555,2065371.600000000093132,2108600.799999999813735,2033846.760000000009313,2062573.939999999711290,10282785.740000000223517
20150223,1989752.239999999990687,2056032.800000000046566,2092733.800000000046566,2035560.520000000018626,2101615.799999999813735,10275695.160000000149012
20150224,2013822.560000000055879,2080263.200000000186265,2144566.000000000000000,2044129.320000000065193,2149749.600000000093132,10432530.679999999701977
20150225,2029313.360000000102445,2054770.800000000046566,2155849.200000000186265,2074120.119999999878928,2139588.020000000018626,10453641.500000000000000
20150226,1997140.159999999916181,2030288.000000000232831,2171363.599999999627471,2077976.080000000074506,2183443.260000000242144,10460211.099999999627471
20150227,1975691.360000000102445,2043791.400000000139698,2160785.599999999627471,2080546.720000000204891,2221682.889999999664724,10482497.969999998807907
20150302,1978074.560000000055879,2025366.199999999953434,2178063.000000000000000,2115678.800000000279397,2236123.029999999795109,10533305.589999999850988
20150303,1974261.440000000176951,2032307.200000000186265,2185115.000000000000000,2098969.640000000130385,2225159.219999999739230,10515812.500000000000000
20150304,1947807.920000000158325,2011989.000000000000000,2190756.600000000558794,2089115.520000000018626,2220078.429999999701977,10459747.470000000670552
20150305,1942564.880000000121072,2034200.200000000186265,2186172.799999999813735,2109252.199999999720603,2224891.810000000055879,10497081.890000000596046
20150306,1908008.480000000214204,2000378.600000000093132,2147034.200000000186265,2076262.320000000065193,2202161.959999999497086,10333845.560000000521541
20150309,1925882.480000000214204,2029026.000000000232831,2168542.799999999813735,2087401.760000000009313,2232914.109999999869615,10443767.150000000372529
20150310,1904433.679999999934807,1991670.800000000046566,2114242.400000000372529,2067693.520000000018626,2212056.129999999888241,10290096.530000001192093
20150311,1899428.960000000195578,1978924.600000000325963,2124115.200000000186265,2042415.560000000055879,2206440.520000000018626,10251324.839999999850988
20150312,1911106.639999999897555,1993816.199999999953434,2163959.000000000000000,2078832.960000000195578,2252969.859999999869615,10400684.660000000149012
20150313,1888227.920000000158325,1947122.200000000186265,2150912.799999999813735,2052698.119999999878928,2238797.129999999888241,10277758.169999999925494
20150316,1905863.600000000093132,1982458.200000000186265,2180883.799999999813735,2065979.760000000009313,2320357.179999999701977,10455542.539999999105930
20150317,1869638.960000000195578,1980943.800000000279397,2172421.400000000372529,2068121.960000000195578,2306719.270000000018626,10397845.390000000596046
20150318,1938275.120000000111759,2016910.800000000046566,2177357.799999999813735,2089115.520000000018626,2331320.990000000223517,10552980.230000000447035
20150319,1908723.440000000176951,2016910.800000000046566,2157964.799999999813735,2106253.120000000111759,2336134.369999999646097,10525986.529999999329448
20150320,1934938.639999999897555,2055654.199999999953434,2177357.799999999813735,2184657.640000000130385,2359399.040000000037253,10712007.320000000298023
20150323,1932555.440000000176951,2077739.199999999953434,2155849.200000000186265,2173518.199999999720603,2351109.330000000074506,10690771.369999999180436
20150324,1918017.920000000158325,2057168.600000000093132,2131872.400000000372529,2156380.600000000093132,2353248.609999999869615,10616688.130000000819564
20150325,1903242.080000000074506,2009212.599999999860302,2101901.400000000372529,2120820.080000000074506,2296557.689999999944121,10431733.849999999627471
20150326,1903718.719999999972060,2026754.400000000139698,2099433.200000000186265,2128103.560000000055879,2258050.649999999906868,10416060.530000001192093
