訓練日期,20170621 - 20170921
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10849093.529999999329448
真實報酬,849093.529999999329448

夏普值報酬,0.076209353000000
夏普值風險,0.024975105306162
夏普值,3.051412679377087

預期報酬,13026.723027491590983
風險,51870.386509638359712
趨勢值,0.251139887401283
找到最佳解世代,2004
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,7
AAPL[0](5),CAT[3](4),JPM[13](11),MCD[15](10),PFE[20](17),UNH[23](2),V[25](1),
Stock#,AAPL[0](5),CAT[3](4),JPM[13](11),MCD[15](10),PFE[20](17),UNH[23](2),V[25](1),
張數,9851,13346,16322,9272,42567,7794,15136,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,77.489999999990687,15.159999999916181,69.560000000055879,33.959999999962747,22.479999999981374,164.619999999878928,35.320000000065193,
20170621,1437042.860000000102445,1380925.779999999795109,1422042.200000000186265,1425418.519999999785796,1442192.440000000176951,1441431.099999999860302,1430992.760000000242144,9980048.660000000149012
20170622,1434678.619999999878928,1385863.800000000046566,1420410.000000000000000,1435339.560000000055879,1449854.500000000000000,1453745.619999999878928,1422062.520000000018626,10001957.619999999180436
20170623,1441081.770000000018626,1389467.219999999972060,1417798.479999999981374,1433856.039999999804422,1454536.870000000111759,1444003.119999999878928,1446734.199999999953434,10027480.699999999254942
20170626,1436550.309999999823049,1391335.659999999916181,1424000.840000000083819,1427551.080000000074506,1449003.159999999916181,1442989.899999999906868,1441285.239999999990687,10012719.189999999478459
20170627,1415961.719999999972060,1387064.939999999944121,1437221.659999999916181,1425325.800000000046566,1437510.070000000065193,1438937.019999999785796,1436441.720000000204891,9978465.930000001564622
20170628,1436648.820000000065193,1420696.859999999869615,1466111.599999999860302,1430703.560000000055879,1436658.729999999981374,1447510.419999999692664,1456572.600000000093132,10094905.589999999850988
20170629,1415469.170000000158325,1409886.599999999860302,1487819.860000000102445,1419855.319999999832362,1431550.690000000176951,1444159.000000000000000,1429176.440000000176951,10037920.080000000074506
20170630,1418818.510000000009313,1434176.319999999832362,1491900.360000000102445,1420133.479999999981374,1429848.010000000242144,1445328.099999999860302,1419489.400000000139698,10059697.179999999701977
20170703,1413695.989999999990687,1427636.779999999795109,1513935.060000000055879,1414013.959999999962747,1439638.419999999925494,1454914.719999999972060,1412980.919999999925494,10076818.849999999627471
20170705,1419508.080000000074506,1434576.699999999953434,1529114.520000000251457,1419299.000000000000000,1431976.360000000102445,1467385.119999999878928,1422970.680000000167638,10124833.460000000894070
20170706,1406110.719999999972060,1421497.619999999878928,1524217.919999999925494,1419484.439999999944121,1414098.219999999972060,1457174.979999999748543,1411467.320000000065193,10054054.219999998807907
20170707,1420394.670000000158325,1426969.479999999981374,1531889.260000000009313,1448969.400000000139698,1419631.929999999934807,1465124.859999999869615,1421608.440000000176951,10134591.039999999105930
20170710,1429063.550000000046566,1439247.800000000046566,1521116.739999999990687,1442015.400000000139698,1422185.949999999720603,1457252.919999999692664,1439317.560000000055879,10150202.919999999925494
20170711,1433693.520000000018626,1444586.199999999953434,1515240.820000000065193,1436359.479999999981374,1411969.870000000111759,1449458.919999999692664,1444161.080000000074506,10135472.889999998733401
20170712,1435762.229999999981374,1454195.319999999832362,1510017.780000000027940,1451843.719999999972060,1414098.219999999972060,1455226.479999999748543,1455815.800000000279397,10176962.550000000745058
20170713,1455759.760000000009313,1447655.779999999795109,1519647.760000000009313,1437564.839999999850988,1416652.239999999990687,1445795.739999999757856,1452183.159999999916181,10175262.279999999329448
20170714,1468270.530000000027940,1451659.579999999841675,1505774.060000000055879,1439790.119999999878928,1423037.290000000037253,1456863.219999999972060,1467167.800000000279397,10212565.600000001490116
20170717,1473393.050000000046566,1452593.800000000046566,1491737.140000000130385,1439604.679999999934807,1415375.229999999981374,1452576.519999999785796,1465654.199999999953434,10190937.619999999180436
20170718,1478515.570000000065193,1428971.379999999888241,1486514.099999999860302,1427551.080000000074506,1420057.599999999860302,1456473.519999999785796,1477006.199999999953434,10175092.449999999254942
20170719,1487775.510000000009313,1439381.259999999776483,1488635.960000000195578,1426902.039999999804422,1431125.019999999785796,1474711.479999999748543,1487147.320000000065193,10235681.589999999850988
20170720,1481076.830000000074506,1432307.879999999888241,1488635.960000000195578,1429869.080000000074506,1427719.659999999916181,1492715.619999999878928,1485028.280000000027940,10237356.309999998658895
20170721,1480387.260000000009313,1422565.300000000046566,1483576.140000000130385,1427180.199999999953434,1425165.639999999897555,1494897.939999999944121,1507580.919999999925494,10241356.400000000372529
20170724,1498316.080000000074506,1443785.439999999944121,1489941.719999999972060,1407987.159999999916181,1418354.919999999925494,1487961.279999999795109,1519235.640000000130385,10265585.240000000223517
20170725,1504719.229999999981374,1528666.000000000000000,1514751.159999999916181,1474931.000000000000000,1408990.179999999934807,1484142.219999999972060,1513483.959999999962747,10429686.750000000000000
20170726,1511811.949999999953434,1515053.079999999841675,1500551.020000000251457,1451194.679999999934807,1400051.110000000102445,1486870.119999999878928,1526500.919999999925494,10392035.879999998956919
20170727,1483244.050000000046566,1526397.179999999934807,1494348.659999999916181,1455274.359999999869615,1404733.479999999981374,1472685.040000000037253,1507126.839999999850988,10343812.609999999403954
20170728,1472801.989999999990687,1522793.759999999776483,1489941.719999999972060,1445075.159999999916181,1411118.530000000027940,1489987.719999999972060,1500769.720000000204891,10332491.600000001490116
20170731,1465216.719999999972060,1520791.859999999869615,1498429.159999999916181,1438492.039999999804422,1411544.199999999720603,1495131.760000000009313,1506975.480000000214204,10336584.220000000670552
20170801,1478220.040000000037253,1509447.759999999776483,1518505.219999999972060,1428292.839999999850988,1408138.839999999850988,1498405.239999999757856,1526803.640000000130385,10367816.580000000074506
20170802,1548063.629999999888241,1509314.300000000046566,1519810.979999999981374,1451936.439999999944121,1401328.120000000111759,1504406.619999999878928,1533009.400000000139698,10467872.490000000223517
20170803,1532597.559999999823049,1515586.919999999925494,1509854.560000000055879,1434597.800000000046566,1423037.290000000037253,1518202.000000000000000,1522565.560000000055879,10456444.689999999478459
20170804,1540675.379999999888241,1526130.259999999776483,1528788.080000000074506,1426253.000000000000000,1431976.360000000102445,1519059.339999999850988,1527106.360000000102445,10499991.779999999329448
20170807,1564514.800000000046566,1530934.819999999832362,1534664.000000000000000,1436915.800000000046566,1417929.250000000000000,1518279.939999999944121,1536187.959999999962747,10539429.570000000298023
20170808,1577025.570000000065193,1526931.019999999785796,1529114.520000000251457,1436452.199999999953434,1416652.239999999990687,1519215.219999999972060,1533009.400000000139698,10538403.170000001788139
20170809,1586679.550000000046566,1525996.800000000046566,1526666.219999999972060,1436452.199999999953434,1423888.630000000121072,1518669.639999999897555,1528317.239999999990687,10546673.280000001192093
20170810,1530134.809999999823049,1510115.060000000055879,1504794.739999999990687,1452214.600000000093132,1422611.620000000111759,1501055.199999999720603,1505915.959999999962747,10426844.990000002086163
20170811,1551412.969999999972060,1506111.259999999776483,1492226.800000000046566,1458519.560000000055879,1415375.229999999981374,1504562.500000000000000,1514997.560000000055879,10443208.880000000819564
20170814,1574759.839999999850988,1517588.819999999832362,1509691.340000000083819,1458148.679999999934807,1417929.250000000000000,1509940.359999999869615,1541939.640000000130385,10530000.929999999701977
20170815,1591999.089999999850988,1516788.060000000055879,1513608.620000000111759,1461486.600000000093132,1420908.940000000176951,1516097.619999999878928,1553443.000000000000000,10574334.929999999701977
20170816,1585595.939999999944121,1523060.679999999934807,1503162.540000000037253,1473354.760000000009313,1420057.599999999860302,1510408.000000000000000,1563886.839999999850988,10579529.359999999403954
