訓練日期,20121203 - 20130307
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11628977.429999999701977
真實報酬,1628977.429999999701977

夏普值報酬,0.154197743000000
夏普值風險,0.043316977164497
夏普值,3.559753082825504

預期報酬,24517.352398441253172
風險,78155.681448224349879
趨勢值,0.313698914066576
找到最佳解世代,1875
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,8
AXP[1](8),GS[8](3),JNJ[12](7),JPM[13](1),MCD[15](5),NKE[19](11),TRV[22](6),VZ[26](25),
Stock#,AXP[1](8),GS[8](3),JNJ[12](7),JPM[13](1),MCD[15](5),NKE[19](11),TRV[22](6),VZ[26](25),
張數,22361,10612,17926,30428,14361,51292,17650,28331,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,20.100000000093132,12.520000000018626,20.020000000018626,17.760000000009313,18.559999999823049,13.959999999962747,27.000000000232831,36.280000000027940,
20121203,1252012.490000000223517,1256473.320000000065193,1248565.920000000158325,1241784.440000000176951,1250287.219999999972060,1251025.840000000083819,1252294.500000000232831,1249433.380000000121072,10001877.110000001266599
20121204,1248658.340000000083819,1237159.479999999981374,1252330.380000000121072,1234481.719999999972060,1252297.759999999776483,1252564.600000000093132,1244881.500000000232831,1237251.050000000046566,9959624.830000000074506
20121205,1261180.500000000000000,1242996.080000000074506,1254302.239999999990687,1253651.360000000102445,1248994.729999999748543,1252564.600000000093132,1306127.000000000232831,1249433.380000000121072,10069249.890000000596046
20121206,1254919.419999999925494,1243738.920000000158325,1255736.320000000065193,1261866.919999999925494,1265079.049999999813735,1262310.079999999841675,1291124.500000000232831,1259349.230000000214204,10094124.440000001341105
20121207,1265876.310000000055879,1237053.359999999869615,1262906.719999999972060,1295033.440000000176951,1270679.839999999850988,1264361.759999999776483,1295360.500000000232831,1258215.989999999990687,10149487.919999999925494
20121210,1269006.850000000093132,1241722.640000000130385,1265595.619999999878928,1287426.440000000176951,1284035.569999999832362,1257693.800000000046566,1294478.000000000232831,1247450.209999999962747,10147409.130000002682209
20121211,1275938.760000000242144,1261354.840000000083819,1274558.619999999878928,1297467.679999999934807,1287051.379999999888241,1274620.160000000149012,1296066.500000000465661,1259065.919999999925494,10226123.860000001266599
20121212,1289578.970000000204891,1253183.600000000093132,1272048.979999999981374,1301423.320000000065193,1282599.469999999972060,1272055.560000000055879,1293948.500000000232831,1268981.770000000018626,10233820.169999999925494
20121213,1290697.020000000018626,1257534.520000000018626,1268284.520000000018626,1301727.600000000093132,1280588.929999999934807,1247948.319999999832362,1292536.500000000232831,1261332.400000000139698,10200649.810000000521541
20121214,1266770.750000000000000,1266660.840000000083819,1267208.959999999962747,1302640.440000000176951,1276424.239999999757856,1242819.119999999878928,1295007.500000000232831,1252549.790000000037253,10170081.640000000596046
20121217,1280634.570000000065193,1310488.399999999906868,1271690.459999999962747,1323027.199999999953434,1291216.069999999832362,1256667.959999999962747,1309480.500000000232831,1250000.000000000000000,10293205.160000000149012
20121218,1292933.120000000111759,1355907.760000000009313,1271869.719999999972060,1334894.119999999878928,1299976.279999999795109,1268465.119999999878928,1311951.500000000232831,1242917.250000000000000,10378914.870000001043081
20121219,1269901.290000000037253,1350389.520000000018626,1266133.399999999906868,1324548.600000000093132,1288343.869999999646097,1254103.359999999869615,1296066.500000000465661,1229035.060000000055879,10278521.599999999627471
20121220,1283541.500000000000000,1376601.159999999916181,1268284.520000000018626,1354976.600000000093132,1293083.000000000000000,1269490.959999999962747,1302950.000000000000000,1241217.390000000130385,10390145.130000000819564
20121221,1289131.750000000000000,1363017.800000000046566,1259680.040000000037253,1338849.760000000009313,1295093.540000000037253,1347967.719999999972060,1285300.000000000000000,1234417.949999999953434,10413458.559999998658895
20121224,1286448.430000000167638,1353467.000000000000000,1255198.540000000037253,1336415.520000000018626,1282312.250000000000000,1354122.759999999776483,1277181.000000000232831,1233568.020000000018626,10378713.519999999552965
20121226,1277504.030000000260770,1349434.439999999944121,1257887.439999999944121,1337632.640000000130385,1274413.699999999720603,1316679.600000000093132,1275592.500000000232831,1231018.230000000214204,10320162.580000000074506
20121227,1267665.189999999944121,1344234.560000000055879,1256453.360000000102445,1327591.400000000139698,1274126.479999999748543,1327450.919999999925494,1267650.000000000000000,1231868.159999999916181,10297040.070000000298023
20121228,1267217.970000000204891,1332030.760000000009313,1245518.500000000000000,1315724.479999999981374,1257754.939999999711290,1307959.959999999962747,1257413.000000000232831,1215436.179999999934807,10199055.790000000968575
20121231,1285330.380000000121072,1353679.239999999990687,1256632.619999999878928,1337936.919999999925494,1266802.369999999646097,1323347.560000000055879,1267650.000000000000000,1225918.650000000139698,10317297.740000000223517
20130102,1313728.850000000093132,1397188.439999999944121,1269897.860000000102445,1358932.239999999990687,1294231.879999999888241,1329502.600000000093132,1286006.000000000232831,1254249.650000000139698,10503737.520000001415610
20130103,1319319.100000000093132,1389547.800000000046566,1268105.260000000009313,1356193.719999999972060,1301555.989999999757856,1343351.439999999944121,1295890.000000000232831,1248300.140000000130385,10522263.449999999254942
20130104,1332959.310000000055879,1427432.639999999897555,1282625.320000000065193,1380231.840000000083819,1290354.409999999683350,1356174.439999999944121,1307186.000000000232831,1255099.579999999841675,10632063.539999999105930
20130107,1338549.560000000055879,1424779.639999999897555,1279936.420000000158325,1381753.239999999990687,1305577.069999999832362,1358226.119999999878928,1289536.000000000232831,1266148.669999999925494,10644506.720000000670552
20130108,1346152.300000000046566,1411939.120000000111759,1280115.679999999934807,1384491.760000000009313,1306007.899999999674037,1343864.359999999869615,1291830.500000000232831,1221102.380000000121072,10585504.000000000000000
20130109,1347493.959999999962747,1425416.359999999869615,1285852.000000000000000,1383578.919999999925494,1304140.969999999972060,1345403.119999999878928,1305068.000000000232831,1218269.280000000027940,10615222.609999999403954
20130110,1359345.290000000037253,1457782.959999999962747,1294097.959999999962747,1404269.959999999962747,1312613.959999999962747,1347967.719999999972060,1314069.500000000232831,1234984.570000000065193,10725131.919999999925494
20130111,1369407.740000000223517,1455236.080000000074506,1296966.119999999878928,1403965.679999999934807,1317353.089999999850988,1361816.560000000055879,1321129.500000000232831,1226768.579999999841675,10752643.349999999627471
20130114,1368736.910000000149012,1444624.080000000074506,1300730.580000000074506,1396054.400000000139698,1314480.889999999897555,1364381.160000000149012,1322894.500000000232831,1206653.570000000065193,10718556.090000001713634
20130115,1358674.459999999962747,1438893.600000000093132,1297324.640000000130385,1410355.560000000055879,1314193.669999999925494,1375665.399999999906868,1333661.000000000232831,1189088.350000000093132,10717856.679999999701977
20130116,1355543.919999999925494,1497259.600000000093132,1301089.100000000093132,1424656.719999999972060,1308305.659999999683350,1378230.000000000000000,1333484.500000000232831,1176056.090000000083819,10774625.589999999850988
20130117,1358227.240000000223517,1496410.639999999897555,1306825.420000000158325,1413094.079999999841675,1317783.919999999925494,1371562.039999999804422,1339662.000000000232831,1193621.310000000055879,10797186.650000000372529
20130118,1336760.680000000167638,1532915.919999999925494,1312741.000000000000000,1413702.640000000130385,1324964.419999999925494,1366945.759999999776483,1346898.500000000232831,1205237.020000000018626,10840165.939999999478459
20130122,1328263.500000000000000,1548833.919999999925494,1303060.959999999962747,1416136.879999999888241,1334873.509999999776483,1371562.039999999804422,1375844.500000000232831,1216569.419999999925494,10895144.730000000447035
20130123,1317753.830000000074506,1544695.239999999990687,1305929.119999999878928,1406704.199999999953434,1342484.839999999850988,1361816.560000000055879,1370373.000000000232831,1212319.770000000018626,10862076.560000000521541
20130124,1326027.400000000139698,1538328.040000000037253,1310410.619999999878928,1410964.119999999878928,1340043.469999999972060,1381307.520000000018626,1378315.500000000232831,1206653.570000000065193,10892050.240000000223517
20130125,1330499.600000000093132,1533022.040000000037253,1325109.939999999944121,1435002.239999999990687,1345931.479999999748543,1424905.719999999972060,1382904.500000000232831,1208920.050000000046566,10986295.570000000298023
20130128,1320884.370000000111759,1529732.320000000065193,1319732.140000000130385,1419179.679999999934807,1355122.519999999785796,1397720.959999999962747,1365254.500000000232831,1211753.150000000139698,10919379.640000000596046
20130129,1329381.550000000046566,1561037.719999999972060,1333893.679999999934807,1433785.119999999878928,1363164.679999999934807,1382846.280000000027940,1373373.500000000232831,1232434.780000000027940,11009917.309999998658895
20130130,1326698.229999999981374,1561568.320000000065193,1328157.360000000102445,1434089.400000000139698,1359574.429999999934807,1375152.479999999981374,1369314.000000000232831,1235551.189999999944121,10990105.410000000149012
20130131,1315070.510000000242144,1569102.840000000083819,1325109.939999999944121,1431655.159999999916181,1368478.250000000000000,1386436.719999999972060,1384846.000000000232831,1235551.189999999944121,11016250.610000001266599
20130201,1339667.610000000102445,1590751.320000000065193,1329770.700000000186265,1455997.560000000055879,1377956.509999999776483,1377204.160000000149012,1410085.500000000232831,1262465.640000000130385,11143899.000000001862645
20130204,1328487.110000000102445,1565494.760000000242144,1328515.880000000121072,1450824.800000000046566,1358569.159999999683350,1376178.319999999832362,1376727.000000000232831,1261332.400000000139698,11046129.429999999701977
20130205,1356438.360000000102445,1596587.919999999925494,1338375.179999999934807,1484599.879999999888241,1363021.069999999832362,1382333.359999999869615,1388199.500000000232831,1262465.640000000130385,11172020.910000000149012
20130206,1354202.260000000242144,1603697.959999999962747,1351461.159999999916181,1479122.840000000083819,1365318.829999999608845,1389001.319999999832362,1393671.000000000232831,1267848.530000000027940,11204323.899999998509884
20130207,1389532.640000000130385,1594571.639999999897555,1345545.580000000074506,1467560.199999999953434,1358999.989999999757856,1402337.239999999990687,1396495.000000000232831,1259632.540000000037253,11214674.830000001937151
20130208,1381929.900000000139698,1608791.719999999972060,1353074.500000000000000,1479731.400000000139698,1362446.629999999888241,1400285.560000000055879,1391906.000000000232831,1256516.130000000121072,11234681.840000001713634
20130211,1385954.880000000121072,1615583.400000000139698,1351819.679999999934807,1480644.239999999990687,1366754.929999999934807,1416186.079999999841675,1398083.500000000232831,1255666.199999999953434,11270692.909999998286366
20130212,1390874.300000000046566,1635427.840000000083819,1358810.820000000065193,1495249.679999999934807,1365749.659999999683350,1413108.560000000055879,1410262.000000000232831,1259065.919999999925494,11328548.779999999329448
20130213,1388638.200000000186265,1639778.760000000242144,1356301.179999999934807,1481252.800000000046566,1349952.559999999823049,1399259.719999999972060,1411850.500000000232831,1261332.400000000139698,11288366.120000001043081
20130214,1394004.840000000083819,1654741.680000000167638,1358990.080000000074506,1497683.919999999925494,1343633.719999999972060,1400798.479999999981374,1418028.000000000232831,1255949.510000000009313,11323830.230000000447035
20130215,1379470.189999999944121,1644766.400000000139698,1365264.179999999934807,1487338.400000000139698,1348516.459999999962747,1409518.119999999878928,1418910.500000000232831,1257932.679999999934807,11311716.929999999701977
