訓練日期,20171026 - 20180130
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11381772.560000000521541
真實報酬,1381772.560000000521541

夏普值報酬,0.129477256000000
夏普值風險,0.042216735429950
夏普值,3.066965142646793

預期報酬,24398.014463994022663
風險,54604.880763507055235
趨勢值,0.446810140830844
找到最佳解世代,2172
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,10
AAPL[0](17),AXP[1](10),CAT[3](11),DIS[6](5),HD[9](4),MSFT[18](7),NKE[19](1),PG[21](18),WBA[27](14),WMT[28](3),
Stock#,AAPL[0](17),AXP[1](10),CAT[3](11),DIS[6](5),HD[9](4),MSFT[18](7),NKE[19](1),PG[21](18),WBA[27](14),WMT[28](3),
張數,6393,10691,7307,10224,6021,12717,18201,11512,14417,11301,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,70.869999999995343,70.770000000018626,110.119999999995343,92.800000000046566,92.530000000027940,62.290000000037253,37.060000000055879,67.680000000051223,36.880000000004657,87.519999999902211,
20171026,1006393.000000000000000,1023092.559999999939464,1000730.699999999953434,1007770.240000000107102,1009513.180000000051223,1001653.210000000079162,1034035.870000000111759,1007367.680000000051223,967561.750000000000000,1001582.139999999897555,10059700.330000000074506
20171027,1042449.520000000018626,1024161.660000000032596,1007087.790000000037253,1005214.240000000107102,1007646.670000000041910,1065874.060000000055879,1018565.020000000018626,1002072.160000000149012,929645.040000000037253,996496.689999999944121,10099212.849999999627471
20171030,1065911.830000000074506,1016464.139999999897555,997442.550000000046566,1002453.760000000125729,995424.040000000037253,1066891.420000000158325,1006006.330000000074506,993207.920000000041910,955307.300000000046566,982709.469999999972060,10081818.760000001639128
20171031,1080743.589999999850988,1021275.089999999967404,992400.720000000088476,1000102.240000000107102,998253.910000000032596,1057862.350000000093132,1000910.050000000046566,994013.760000000125729,955451.469999999972060,986777.829999999958090,10087791.009999999776483
20171101,1066998.640000000130385,1024161.660000000032596,995981.149999999906868,1012575.520000000018626,995845.510000000009313,1057862.350000000093132,1002366.130000000004657,1000345.360000000102445,966120.050000000046566,993897.459999999846332,10116153.830000000074506
20171102,1074798.100000000093132,1026192.950000000069849,997296.410000000032596,1005623.199999999953434,979769.440000000060536,1068926.139999999897555,1003276.180000000051223,995970.800000000162981,962804.140000000013970,1003616.319999999832362,10118273.679999999701977
20171103,1102863.370000000111759,1031003.900000000139698,998465.529999999911524,1008588.160000000032596,989884.719999999972060,1070070.670000000158325,1014014.770000000018626,996776.640000000013970,964101.670000000041910,1013561.199999999953434,10189330.630000000819564
20171106,1114051.120000000111759,1029507.160000000032596,1006357.090000000083819,1029036.160000000032596,988861.150000000023283,1074267.280000000027940,1020021.100000000093132,990675.280000000027940,950693.859999999986030,1002486.219999999972060,10205956.420000001788139
20171107,1117631.200000000186265,1019671.440000000060536,1014394.790000000037253,1038953.440000000060536,985489.390000000013970,1071723.879999999888241,1003822.210000000079162,1001381.440000000060536,979239.520000000018626,1005311.469999999972060,10237618.780000001192093
20171108,1126773.189999999944121,1017105.599999999976717,1003288.149999999906868,1034557.120000000111759,987837.580000000074506,1075411.810000000055879,1014924.820000000065193,1008288.640000000013970,993368.180000000051223,1020115.779999999911524,10281670.870000001043081
20171109,1124471.709999999962747,1002352.020000000018626,989039.500000000000000,1049893.120000000111759,983141.200000000069849,1069434.820000000065193,1021659.190000000060536,1010591.040000000037253,1002595.060000000055879,1020567.819999999832362,10273745.480000000447035
20171110,1116736.179999999701977,999893.089999999967404,997369.479999999864958,1071363.520000000018626,988198.840000000083819,1066637.080000000074506,1020931.150000000139698,1014965.599999999976717,1023499.709999999962747,1027574.439999999944121,10327169.089999997988343
20171113,1112261.080000000074506,1003955.670000000041910,997734.829999999958090,1070954.560000000055879,995664.880000000004657,1067400.100000000093132,1017654.969999999972060,1024635.680000000051223,1014561.170000000041910,1028365.509999999892898,10333188.450000001117587
20171114,1095447.490000000223517,1002458.930000000051223,1005114.899999999906868,1054902.880000000121072,1011981.790000000037253,1068926.139999999897555,1018929.040000000037253,1023139.120000000111759,1017732.910000000032596,1029495.609999999986030,10328128.809999998658895
20171115,1080999.310000000055879,997113.430000000051223,979978.819999999948777,1060219.360000000102445,996387.400000000023283,1055318.950000000186265,1030759.690000000060536,1015771.440000000060536,1012110.280000000027940,1015256.349999999860302,10243915.030000001192093
20171116,1093913.169999999925494,1000320.730000000097789,996492.640000000130385,1059299.199999999953434,1008610.030000000027940,1058116.690000000176951,1041680.290000000037253,1027513.680000000051223,1027968.979999999981374,1125893.140000000130385,10439808.550000000745058
20171117,1087839.819999999832362,1001710.559999999939464,994812.029999999911524,1057663.360000000102445,1010055.070000000065193,1047943.090000000083819,1077354.250000000000000,1018073.840000000083819,1027248.130000000004657,1101595.989999999757856,10424296.140000000596046
20171120,1086753.009999999776483,1004490.220000000088476,1000511.489999999990687,1050608.800000000046566,1026371.979999999981374,1049596.300000000046566,1078446.310000000055879,1016231.920000000041910,1020472.140000000013970,1101709.000000000000000,10435191.169999999925494
20171121,1106954.890000000130385,1009408.079999999958090,1005553.319999999948777,1053164.800000000046566,1040882.590000000083819,1064729.530000000027940,1080994.449999999953434,1021412.320000000065193,1025950.599999999976717,1090860.040000000037253,10499910.620000001043081
20171122,1118590.149999999906868,1003100.389999999897555,1008549.189999999944121,1050506.560000000055879,1036065.790000000037253,1056972.159999999916181,1075170.130000000121072,1016922.640000000013970,1028401.489999999990687,1089616.929999999701977,10483895.429999999701977
20171124,1118654.080000000074506,999465.450000000069849,1004018.849999999860302,1049484.160000000149012,1037691.460000000079162,1058879.710000000195578,1079720.380000000121072,1018304.080000000074506,1013263.640000000013970,1091990.140000000130385,10471471.950000001117587
