訓練日期,20130320 - 20130620
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11290540.839999999850988
真實報酬,1290540.839999999850988

夏普值報酬,0.120354084000000
夏普值風險,0.045866095547175
夏普值,2.624031598159700

預期報酬,27161.828803181546391
風險,103215.467234980998910
趨勢值,0.263156574598890
找到最佳解世代,2536
找到最佳解實驗#,7
找到最佳解次數,14

stock[index](rank)
投資組合檔數,5
AXP[1](6),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](8),
Stock#,AXP[1](6),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](8),
張數,30707,23389,94607,45766,36251,
20130520,2284653.890000000596046,2308968.689999999944121,2278144.580000000074506,2069106.659999999916181,2267894.889999999664724,11208768.710000000894070
20130521,2306455.860000000335276,2309670.359999999869615,2284767.069999999832362,2166130.579999999608845,2279132.700000000186265,11346156.570000000298023
20130522,2285882.169999999925494,2290491.379999999888241,2277198.510000000242144,2137755.659999999683350,2257744.610000000335276,11249072.330000001937151
20130523,2293558.919999999925494,2333059.359999999869615,2275306.370000000111759,2166130.579999999608845,2260644.689999999478459,11328699.919999998062849
20130524,2311368.979999999515712,2338906.609999999869615,2263007.459999999962747,2158350.359999999869615,2249769.389999999664724,11321402.800000000745058
20130528,2338698.209999999962747,2341479.399999999906868,2278144.580000000074506,2179402.719999999739230,2296170.669999999925494,11433895.580000000074506
20130529,2328564.900000000372529,2317622.620000000111759,2296119.910000000149012,2145078.219999999739230,2296533.179999999701977,11383918.830000000074506
20130530,2338084.070000000298023,2351536.669999999925494,2290443.490000000223517,2154231.419999999925494,2344021.989999999292195,11478317.640000000596046
20130531,2324880.059999999590218,2315985.389999999664724,2297065.979999999981374,2137298.000000000000000,2270432.459999999962747,11345661.890000000596046
20130603,2348217.379999999888241,2356214.469999999739230,2387888.699999999720603,2217388.500000000000000,2276595.129999999888241,11586304.179999999701977
20130604,2335627.509999999776483,2329784.899999999906868,2399241.540000000037253,2262696.839999999850988,2260644.689999999478459,11587995.479999998584390
20130605,2295708.410000000149012,2303589.219999999739230,2336800.919999999925494,2230202.979999999515712,2238531.580000000074506,11404833.109999999403954
20130606,2341154.769999999552965,2333293.250000000000000,2332070.569999999832362,2224253.399999999906868,2244694.250000000000000,11475466.240000000223517
20130607,2396427.370000000111759,2397145.219999999739230,2326394.149999999906868,2205489.339999999850988,2268257.399999999441206,11593713.480000000447035
20130610,2403797.049999999813735,2391297.969999999739230,2366129.090000000316650,2217846.159999999683350,2308496.009999999776483,11687566.279999999329448
20130611,2349752.729999999515712,2379837.359999999869615,2337746.990000000223517,2176656.759999999776483,2317558.759999999776483,11561552.599999999627471
20130612,2294480.129999999888241,2359488.929999999701977,2314095.240000000223517,2162469.299999999813735,2313933.660000000149012,11444467.259999999776483
20130613,2309526.559999999590218,2389426.849999999627471,2364236.949999999720603,2192217.199999999720603,2325533.980000000447035,11580941.539999999105930
20130614,2240742.879999999888241,2381708.479999999981374,2357614.459999999962747,2194505.500000000000000,2312846.129999999888241,11487417.449999999254942
20130617,2267457.969999999739230,2409775.279999999795109,2374643.720000000204891,2187640.599999999627471,2333509.200000000186265,11573026.769999999552965
20130618,2302463.950000000186265,2434333.729999999981374,2409648.310000000055879,2185352.299999999813735,2380998.009999999776483,11712796.299999998882413
20130619,2279433.700000000186265,2391531.859999999869615,2365183.020000000018626,2177572.079999999608845,2365772.589999999850988,11579493.250000000000000
20130620,2239207.530000000260770,2330486.569999999832362,2288551.350000000093132,2119449.259999999776483,2312846.129999999888241,11290540.839999999850988
