訓練日期,20101008 - 20110110
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11471165.359999999403954
真實報酬,1471165.359999999403954

夏普值報酬,0.138416536000000
夏普值風險,0.041509454938896
夏普值,3.334578500338206

預期報酬,24924.764932685640815
風險,91026.906701603875263
趨勢值,0.273817553906250
找到最佳解世代,3280
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](6),DIS[6](5),KO[14](4),XOM[29](1),
Stock#,CAT[3](6),DIS[6](5),KO[14](4),XOM[29](1),
張數,31750,73724,84118,39154,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,5.000000000000000,19.160000000149012,13.040000000037253,17.100000000093132,
20101008,2551752.500000000000000,2544234.399999999906868,2499158.820000000298023,2520751.620000000111759,10115897.339999999850988
20101011,2539370.000000000000000,2548657.840000000316650,2505047.080000000074506,2527407.799999999813735,10120482.719999998807907
20101012,2519050.000000000000000,2542022.679999999701977,2506729.439999999944121,2533280.900000000372529,10101083.019999999552965
20101013,2549212.500000000000000,2573724.000000000000000,2521029.500000000000000,2546593.260000000242144,10190559.259999999776483
20101014,2537147.500000000000000,2569300.560000000055879,2520188.320000000298023,2556773.299999999813735,10183409.679999999701977
20101015,2532067.500000000000000,2571512.280000000260770,2521029.500000000000000,2552466.359999999869615,10177075.640000000596046
20101018,2547625.000000000000000,2561928.160000000149012,2523553.040000000037253,2595144.220000000204891,10228250.419999999925494
20101019,2493967.500000000000000,2524328.920000000391155,2537853.100000000093132,2549725.580000000074506,10105875.099999999627471
20101020,2550165.000000000000000,2552344.040000000037253,2572341.479999999981374,2584572.640000000130385,10259423.160000000149012
20101021,2504762.500000000000000,2556767.479999999981374,2585800.359999999869615,2596710.379999999888241,10244040.719999998807907
20101022,2486982.500000000000000,2578147.439999999944121,2591688.620000000111759,2597493.460000000428408,10254312.019999999552965
20101025,2509842.500000000000000,2614272.200000000186265,2566453.220000000204891,2592011.900000000372529,10282579.820000000298023
20101026,2497142.500000000000000,2651134.200000000186265,2575706.200000000186265,2604932.720000000204891,10328915.620000001043081
20101027,2483490.000000000000000,2648185.240000000223517,2574023.840000000316650,2571260.280000000260770,10276959.359999999403954
20101028,2468250.000000000000000,2691682.399999999906868,2574865.020000000018626,2592794.979999999981374,10327592.400000000372529
20101029,2495555.000000000000000,2663667.280000000260770,2579070.919999999925494,2603366.560000000055879,10341659.759999999776483
20101101,2516827.500000000000000,2656294.880000000353903,2595894.520000000018626,2621377.400000000372529,10390394.300000000745058
20101102,2532067.500000000000000,2662192.800000000279397,2601782.779999999795109,2656224.460000000428408,10452267.540000000968575
20101103,2536195.000000000000000,2675463.120000000111759,2605988.680000000167638,2661314.479999999981374,10478961.280000001192093
20101104,2640970.000000000000000,2730018.880000000353903,2627018.180000000167638,2716521.620000000111759,10714528.679999999701977
20101105,2652400.000000000000000,2742551.960000000428408,2632065.259999999776483,2740797.100000000093132,10767814.320000000298023
20101108,2639065.000000000000000,2732230.600000000093132,2627018.180000000167638,2753326.379999999888241,10751640.160000000149012
20101109,2600647.500000000000000,2717485.800000000279397,2634588.800000000279397,2765464.120000000111759,10718186.220000002533197
20101110,2618110.000000000000000,2727069.920000000391155,2631224.080000000074506,2785041.120000000111759,10761445.120000001043081
20101111,2617475.000000000000000,2648922.479999999981374,2641318.239999999757856,2812448.919999999925494,10720164.640000000596046
20101112,2573025.000000000000000,2783100.160000000149012,2646365.320000000298023,2779559.560000000055879,10782050.040000000968575
20101115,2597790.000000000000000,2746238.160000000149012,2648047.680000000167638,2759591.020000000018626,10751666.859999999403954
20101116,2551752.500000000000000,2721909.240000000223517,2611035.759999999776483,2699293.859999999869615,10583991.359999999403954
20101117,2577152.500000000000000,2744026.439999999944121,2629541.720000000204891,2702034.640000000130385,10652755.300000000745058
20101118,2638747.500000000000000,2770567.080000000074506,2685059.600000000093132,2752934.840000000316650,10847309.019999999552965
20101119,2666052.500000000000000,2728544.399999999906868,2705247.919999999925494,2761940.260000000242144,10861785.080000000074506
20101122,2667005.000000000000000,2724120.960000000428408,2703565.560000000055879,2748236.359999999869615,10842927.880000000819564
20101123,2623507.500000000000000,2662930.040000000037253,2675806.620000000111759,2700860.020000000018626,10663104.179999999701977
20101124,2688912.500000000000000,2718223.040000000037253,2717865.620000000111759,2736098.620000000111759,10861099.780000001192093
20101126,2671132.500000000000000,2705689.960000000428408,2696836.120000000111759,2710648.520000000018626,10784307.100000001490116
20101129,2656527.500000000000000,2685047.240000000223517,2666553.640000000130385,2719262.400000000372529,10727390.780000001192093
20101130,2686055.000000000000000,2691682.399999999906868,2657300.660000000149012,2723569.340000000316650,10758607.400000000372529
20101201,2776542.500000000000000,2736654.040000000037253,2721230.340000000316650,2792871.919999999925494,11027298.800000000745058
20101202,2813690.000000000000000,2752873.320000000298023,2729642.140000000130385,2798745.020000000018626,11094950.480000000447035
20101203,2837820.000000000000000,2771304.320000000298023,2712818.540000000037253,2787390.359999999869615,11109333.220000000670552
20101206,2832105.000000000000000,2769092.600000000093132,2691789.040000000037253,2792088.840000000316650,11085075.480000000447035
20101207,2868617.500000000000000,2752136.080000000074506,2697677.300000000279397,2797961.939999999944121,11116392.820000000298023
20101208,2845440.000000000000000,2725595.439999999944121,2708612.640000000130385,2813232.000000000000000,11092880.080000000074506
20101209,2847027.500000000000000,2708638.920000000391155,2727118.600000000093132,2819105.100000000093132,11101890.119999999180436
20101210,2855600.000000000000000,2702741.000000000000000,2719547.979999999981374,2826152.820000000298023,11104041.800000000745058
20101213,2909257.500000000000000,2737391.280000000260770,2727118.600000000093132,2833200.540000000037253,11206967.920000001788139
20101214,2923862.500000000000000,2745500.920000000391155,2687583.140000000130385,2826152.820000000298023,11183099.380000000819564
20101215,2956565.000000000000000,2724120.960000000428408,2722912.699999999720603,2813232.000000000000000,11216830.660000000149012
20101216,2959105.000000000000000,2728544.399999999906868,2748148.100000000093132,2827718.979999999981374,11263516.480000000447035
20101217,2939737.500000000000000,2731493.359999999869615,2763289.340000000316650,2825761.280000000260770,11260281.480000000447035
20101220,2962280.000000000000000,2732230.600000000093132,2747306.919999999925494,2827718.979999999981374,11269536.500000000000000
20101221,3004507.500000000000000,2752136.080000000074506,2754036.360000000335276,2847295.979999999981374,11357975.920000001788139
20101222,3002602.500000000000000,2797844.960000000428408,2759083.439999999944121,2850428.299999999813735,11409959.199999999254942
20101223,2998792.500000000000000,2779413.960000000428408,2758242.259999999776483,2866089.900000000372529,11402538.620000001043081
20101227,2986727.500000000000000,2763194.679999999701977,2736371.580000000074506,2858650.640000000130385,11344944.400000000372529
20101228,2974662.500000000000000,2754347.800000000279397,2748989.279999999795109,2874703.780000000260770,11352703.359999999403954
20101229,2977520.000000000000000,2772041.560000000055879,2753195.179999999701977,2872746.080000000074506,11375502.820000000298023
20101230,2980377.500000000000000,2763194.679999999701977,2754877.540000000037253,2872354.540000000037253,11370804.259999997913837
20101231,2973710.000000000000000,2765406.399999999906868,2766654.060000000055879,2862957.580000000074506,11368728.040000000968575
20110103,2989267.500000000000000,2788260.840000000316650,2743101.020000000018626,2918947.799999999813735,11439577.160000000149012
20110104,2975297.500000000000000,2874517.920000000391155,2686741.959999999962747,2932651.700000000186265,11469209.079999998211861
20110105,3001015.000000000000000,2946030.200000000186265,2670759.540000000037253,2924820.900000000372529,11542625.640000000596046
20110106,2969900.000000000000000,2923175.760000000242144,2651412.399999999906868,2943614.820000000298023,11488102.980000000447035
