訓練日期,20150511 - 20150811
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10616608.579999998211861
真實報酬,616608.579999998211861

夏普值報酬,0.052960858000000
夏普值風險,0.024012150580234
夏普值,2.205585785539597

預期報酬,13867.098392248975870
風險,109618.197073218732839
趨勢值,0.126503616757960
找到最佳解世代,2745
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
GS[8](6),NKE[19](1),
Stock#,GS[8](6),NKE[19](1),
張數,24937,97618,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,131.500000000000000,6.040000000037253,
20150511,5030672.509999999776483,5017571.240000000223517,10048243.750000000000000
20150512,5000748.110000000335276,4997071.459999999962747,9997819.570000000298023
20150513,5023191.410000000149012,4986333.479999999515712,10009524.890000000596046
20150514,5052866.440000000409782,5048809.000000000000000,10101675.440000001341105
20150515,5061594.389999999664724,5123974.860000000335276,10185569.250000000000000
20150518,5103737.919999999925494,5113236.879999999888241,10216974.800000000745058
20150519,5122191.299999999813735,5107379.799999999813735,10229571.099999999627471
20150520,5114211.459999999962747,5106403.620000000111759,10220615.080000000074506
20150521,5110969.649999999441206,5095665.640000000596046,10206635.289999999105930
20150522,5182040.100000000558794,5097618.000000000000000,10279658.100000001490116
20150526,5146629.559999999590218,5047832.820000000298023,10194462.379999998956919
20150527,5213460.719999999739230,5019523.600000000558794,10232984.320000000298023
20150528,5198997.259999999776483,4993166.740000000223517,10192164.000000000000000
20150529,5141891.530000000260770,4962905.160000000149012,10104796.690000001341105
20150601,5182289.469999999739230,4966809.879999999888241,10149099.349999999627471
20150602,5147876.410000000149012,4984381.120000000111759,10132257.530000001192093
20150603,5194259.229999999515712,5003904.719999999739230,10198163.949999999254942
20150604,5208722.690000000409782,4976571.679999999701977,10185294.370000001043081
20150605,5248123.149999999441206,4980476.400000000372529,10228599.550000000745058
20150608,5231664.729999999515712,4951191.000000000000000,10182855.730000000447035
20150609,5212463.240000000223517,4947286.280000000260770,10159749.519999999552965
20150610,5314954.309999999590218,5043928.100000000558794,10358882.410000000149012
20150611,5335153.280000000260770,5070284.959999999962747,10405438.240000000223517
20150612,5313208.719999999739230,5065404.060000000521541,10378612.780000001192093
20150615,5280790.620000000111759,5044904.280000000260770,10325694.900000000372529
20150616,5325677.219999999739230,5103475.080000000074506,10429152.300000000745058
20150617,5309966.910000000149012,5113236.879999999888241,10423203.789999999105930
20150618,5351611.700000000186265,5173760.040000000037253,10525371.740000000223517
20150619,5316450.530000000260770,5200116.900000000372529,10516567.429999999701977
20150622,5399241.370000000111759,5212807.240000000223517,10612048.609999999403954
20150623,5446372.299999999813735,5232330.839999999850988,10678703.140000000596046
20150624,5347372.410000000149012,5184498.019999999552965,10531870.429999999701977
20150625,5307223.839999999850988,5135689.019999999552965,10442912.859999999403954
20150626,5315951.790000000037253,5355329.519999999552965,10671281.309999998658895
20150629,5178299.549999999813735,5255759.160000000149012,10434058.710000000894070
20150630,5206727.729999999515712,5272354.219999999739230,10479081.949999999254942
20150701,5235405.280000000260770,5341663.000000000000000,10577068.280000001192093
20150702,5216951.899999999441206,5363138.959999999962747,10580090.859999999403954
20150706,5188024.979999999515712,5361186.600000000558794,10549211.580000000074506
20150707,5192264.270000000484288,5432447.740000000223517,10624712.010000001639128
20150708,5088775.719999999739230,5333853.560000000521541,10422629.280000001192093
20150709,5107478.469999999739230,5341663.000000000000000,10449141.469999998807907
20150710,5166828.530000000260770,5394376.719999999739230,10561205.250000000000000
20150713,5239893.940000000409782,5487113.820000000298023,10727007.760000001639128
20150714,5290765.419999999925494,5483209.100000000558794,10773974.519999999552965
20150715,5310715.020000000484288,5461733.140000000596046,10772448.160000000149012
20150716,5266327.160000000149012,5483209.100000000558794,10749536.260000001639128
20150717,5298246.520000000484288,5505661.240000000223517,10803907.760000001639128
20150720,5296500.929999999701977,5522256.299999999813735,10818757.230000000447035
20150721,5274307.000000000000000,5515423.040000000037253,10789730.039999999105930
20150722,5317946.750000000000000,5569112.939999999478459,10887059.689999999478459
20150723,5263085.350000000558794,5564232.040000000037253,10827317.390000000596046
20150724,5170818.450000000186265,5515423.040000000037253,10686241.490000000223517
20150727,5112715.240000000223517,5453923.700000000186265,10566638.940000001341105
20150728,5143138.379999999888241,5538851.360000000335276,10681989.740000000223517
20150729,5158100.580000000074506,5609136.320000000298023,10767236.900000000372529
20150730,5167077.899999999441206,5614017.219999999739230,10781095.119999999180436
20150731,5113962.089999999850988,5623779.019999999552965,10737741.109999999403954
20150803,5104486.030000000260770,5605231.600000000558794,10709717.630000000819564
20150804,5116455.790000000037253,5651112.060000000521541,10767567.850000001490116
20150805,5129672.399999999441206,5698944.879999999888241,10828617.279999999329448
20150806,5114460.830000000074506,5618898.120000000111759,10733358.949999999254942
20150807,5073314.780000000260770,5589612.719999999739230,10662927.500000000000000
20150810,5136405.389999999664724,5630612.280000000260770,10767017.669999999925494
20150811,5029924.399999999441206,5586684.179999999701977,10616608.579999998211861
