訓練日期,20140718 - 20141017
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11366956.570000000298023
真實報酬,1366956.570000000298023

夏普值報酬,0.127995657000000
夏普值風險,0.049009349319406
夏普值,2.611657954604145

預期報酬,25416.146147547133296
風險,210150.753378878085641
趨勢值,0.120942446024567
找到最佳解世代,2055
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,62853,130650,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,43.850000000558794,24.500000000000000,
20140718,5033312.090000000782311,5064018.500000000000000,10097330.589999999850988
20140721,5010056.480000000447035,5018291.000000000000000,10028347.480000000447035
20140722,5062224.470000000670552,5032662.500000000000000,10094886.970000000670552
20140723,5092393.910000000149012,5054873.000000000000000,10147266.910000000149012
20140724,5103707.450000001117587,5134569.500000000000000,10238276.950000001117587
20140725,5093022.440000000409782,5077083.500000000000000,10170105.940000001341105
20140728,5095536.560000000521541,5121504.500000000000000,10217041.060000000521541
20140729,5089879.790000000968575,5101907.000000000000000,10191786.790000000968575
20140730,5138905.130000000819564,5201201.000000000000000,10340106.130000000819564
20140731,5081708.900000000372529,5039195.000000000000000,10120903.900000000372529
20140801,5012570.600000000558794,5015678.000000000000000,10028248.600000001490116
20140804,5030169.440000000409782,5040501.500000000000000,10070670.940000001341105
20140805,5030169.440000000409782,5024823.500000000000000,10054992.940000001341105
20140806,5060967.410000000149012,5039195.000000000000000,10100162.410000000149012
20140807,5057824.760000000707805,4986935.000000000000000,10044759.760000001639128
20140808,5181016.640000000596046,5033969.000000000000000,10214985.640000000596046
20140811,5209300.490000000223517,5033969.000000000000000,10243269.490000000223517
20140812,5211814.610000000335276,5013065.000000000000000,10224879.609999999403954
20140813,5224385.210000000894070,5047034.000000000000000,10271419.210000000894070
20140814,5270896.430000000633299,5049647.000000000000000,10320543.429999999701977
20140815,5260211.420000000856817,5039195.000000000000000,10299406.420000001788139
20140818,5253926.120000001043081,5131956.500000000000000,10385882.620000001043081
20140819,5545564.040000000968575,5129343.500000000000000,10674907.540000000968575
20140820,5703953.600000000558794,5155473.500000000000000,10859427.100000001490116
20140821,5729094.800000000745058,5156780.000000000000000,10885874.800000000745058
20140822,5721552.440000000409782,5180297.000000000000000,10901849.440000001341105
20140825,5732237.450000001117587,5227331.000000000000000,10959568.450000001117587
20140826,5759264.240000000223517,5192055.500000000000000,10951319.740000000223517
20140827,5774348.960000000894070,5207733.500000000000000,10982082.460000000894070
20140828,5814574.880000000819564,5148941.000000000000000,10963515.880000000819564
20140829,5876799.350000000558794,5131956.500000000000000,11008755.850000001490116
20140902,5729094.800000000745058,5178990.500000000000000,10908085.300000000745058
20140903,5593960.850000000558794,5148941.000000000000000,10742901.850000001490116
20140904,5652414.140000000596046,5220798.500000000000000,10873212.640000000596046
20140905,5758007.180000000633299,5359287.500000000000000,11117294.679999999701977
20140908,5708353.310000000521541,5382804.500000000000000,11091157.810000000521541
20140909,5589561.140000000596046,5346222.500000000000000,10935783.640000000596046
20140910,5609674.100000000558794,5388030.500000000000000,10997704.600000001490116
20140911,5607788.510000000707805,5344916.000000000000000,10952704.510000001639128
20140912,5583904.370000001043081,5346222.500000000000000,10930126.870000001043081
20140915,5617844.990000000223517,5331851.000000000000000,10949695.990000000223517
20140916,5673784.160000000149012,5304414.500000000000000,10978198.660000000149012
20140917,5733494.510000000707805,5325318.500000000000000,11058813.010000001639128
20140918,5788176.620000001043081,5355368.000000000000000,11143544.620000001043081
20140919,5803889.870000001043081,5344916.000000000000000,11148805.870000001043081
20140922,5775606.020000000484288,5271752.000000000000000,11047358.019999999552965
20140923,5750464.820000000298023,5233863.500000000000000,10984328.320000000298023
20140924,5846629.910000000149012,5280897.500000000000000,11127527.410000000149012
20140925,5776234.550000000745058,5210346.500000000000000,10986581.050000000745058
20140926,5835316.370000001043081,5846612.000000000000000,11681928.370000001043081
20140929,5837830.490000000223517,5821788.500000000000000,11659618.990000000223517
20140930,5766178.070000000298023,5827014.500000000000000,11593192.570000000298023
20141001,5720923.910000000149012,5729027.000000000000000,11449950.910000000149012
20141002,5797604.570000000298023,5833547.000000000000000,11631151.570000000298023
20141003,5879313.470000000670552,5898872.000000000000000,11778185.470000000670552
20141006,5861714.630000000819564,5828321.000000000000000,11690035.630000000819564
20141007,5812060.760000000707805,5753850.500000000000000,11565911.260000001639128
20141008,5913882.620000001043081,5803497.500000000000000,11717380.120000001043081
20141009,5849772.560000000521541,5698977.500000000000000,11548750.060000000521541
20141010,5817089.000000000000000,5696364.500000000000000,11513453.500000000000000
20141013,5694525.650000000372529,5578779.500000000000000,11273305.150000000372529
20141014,5663099.150000000372529,5559182.000000000000000,11222281.150000000372529
20141015,5521679.900000000372529,5564408.000000000000000,11086087.900000000372529
20141016,5586418.490000000223517,5685912.500000000000000,11272330.990000000223517
20141017,5671898.570000000298023,5695058.000000000000000,11366956.570000000298023
