訓練日期,20150504 - 20150804
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10961937.199999999254942
真實報酬,961937.199999999254942

夏普值報酬,0.087493720000000
夏普值風險,0.028982793124091
夏普值,3.018816013535707

預期報酬,14719.525870389159536
風險,86804.457444354760810
趨勢值,0.169571083141957
找到最佳解世代,1903
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](7),GS[8](8),NKE[19](1),
Stock#,DIS[6](7),GS[8](8),NKE[19](1),
張數,30160,16875,66150,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,49.800000000279397,14.250000000000000,34.500000000000000,
20150504,3348714.600000000093132,3363201.750000000000000,3335317.500000000000000,10047234.849999999627471
20150505,3342079.400000000372529,3329283.000000000000000,3321426.000000000000000,9992789.400000000372529
20150506,3309205.000000000465661,3311733.000000000000000,3314811.000000000000000,9935750.000000000000000
20150507,3295331.400000000372529,3330970.500000000000000,3355824.000000000000000,9982126.900000000372529
20150508,3320967.400000000372529,3383451.750000000000000,3388237.500000000000000,10092657.650000000372529
20150511,3275425.800000000279397,3404208.000000000000000,3400144.500000000000000,10079779.300000000745058
20150512,3294728.200000000186265,3383958.000000000000000,3386253.000000000000000,10064940.199999999254942
20150513,3293220.200000000186265,3399145.500000000000000,3378976.500000000000000,10071343.199999999254942
20150514,3315538.600000000558794,3419226.750000000000000,3421312.500000000000000,10156078.850000001490116
20150515,3326697.800000000279397,3425133.000000000000000,3472248.000000000000000,10224079.800000000745058
20150518,3327602.600000000093132,3453651.750000000000000,3464971.500000000000000,10246226.849999999627471
20150519,3334539.400000000372529,3466139.250000000000000,3461002.500000000000000,10261682.150000000372529
20150520,3323681.800000000279397,3460739.250000000000000,3460341.000000000000000,10244763.050000000745058
20150521,3329412.200000000186265,3458545.500000000000000,3453064.500000000000000,10241023.199999999254942
20150522,3325491.400000000372529,3506639.250000000000000,3454387.500000000000000,10286519.150000000372529
20150526,3300760.200000000186265,3482676.750000000000000,3420651.000000000000000,10204088.949999999254942
20150527,3328809.000000000465661,3527901.750000000000000,3401467.500000000000000,10258179.250000000000000
20150528,3333634.600000000093132,3518114.250000000000000,3383607.000000000000000,10235356.849999999627471
20150529,3328809.000000000465661,3479470.500000000000000,3363100.500000000000000,10171381.000000000000000
20150601,3346603.399999999906868,3506808.000000000000000,3365746.500000000000000,10219158.900000000372529
20150602,3340269.800000000279397,3483520.500000000000000,3377653.500000000000000,10201444.800000000745058
20150603,3352937.000000000465661,3514908.000000000000000,3390883.500000000000000,10258729.500000000000000
20150604,3326697.800000000279397,3524695.500000000000000,3372361.500000000000000,10223755.800000000745058
20150605,3326697.800000000279397,3551358.000000000000000,3375007.500000000000000,10253064.300000000745058
20150608,3296236.200000000651926,3540220.500000000000000,3355162.500000000000000,10191620.200000001117587
20150609,3273013.000000000000000,3527226.750000000000000,3352516.500000000000000,10152757.250000000000000
20150610,3317649.800000000279397,3596583.000000000000000,3418005.000000000000000,10332238.800000000745058
20150611,3336349.000000000465661,3610251.750000000000000,3435865.500000000000000,10382467.250000000000000
20150612,3316141.800000000279397,3595401.750000000000000,3432558.000000000000000,10344102.550000000745058
20150615,3323078.600000000558794,3573464.250000000000000,3418666.500000000000000,10315210.350000001490116
20150616,3349619.400000000372529,3603839.250000000000000,3458356.500000000000000,10411816.150000000372529
20150617,3362588.200000000186265,3593208.000000000000000,3464971.500000000000000,10420768.699999999254942
20150618,3414765.000000000465661,3621389.250000000000000,3505984.500000000000000,10542139.750000000000000
20150619,3396669.000000000465661,3597595.500000000000000,3523845.000000000000000,10518110.500000000000000
20150622,3424114.600000000093132,3653620.500000000000000,3532444.500000000000000,10610180.599999999627471
20150623,3450655.400000000372529,3685514.250000000000000,3545674.500000000000000,10681845.150000000372529
20150624,3431353.000000000000000,3618520.500000000000000,3513261.000000000000000,10563135.500000000000000
20150625,3451861.800000000279397,3591351.750000000000000,3480186.000000000000000,10523400.550000000745058
20150626,3468148.200000000186265,3597258.000000000000000,3629023.500000000000000,10694430.699999999254942
20150629,3409637.800000000279397,3504108.000000000000000,3561550.500000000000000,10475297.300000000745058
20150630,3442512.200000000186265,3523345.500000000000000,3572796.000000000000000,10538654.699999999254942
20150701,3472370.600000000093132,3542751.750000000000000,3619762.500000000000000,10634885.849999999627471
20150702,3467545.000000000465661,3530264.250000000000000,3634315.500000000000000,10632125.750000000000000
20150706,3489561.800000000279397,3510689.250000000000000,3632992.500000000000000,10633244.550000000745058
20150707,3531785.800000000279397,3513558.000000000000000,3681282.000000000000000,10726626.800000000745058
20150708,3474180.200000000186265,3443526.750000000000000,3614470.500000000000000,10532178.449999999254942
20150709,3486545.800000000279397,3456183.000000000000000,3619762.500000000000000,10562492.300000000745058
20150710,3511880.200000000186265,3496345.500000000000000,3655483.500000000000000,10663710.199999999254942
20150713,3560437.800000000279397,3545789.250000000000000,3718326.000000000000000,10824554.050000000745058
20150714,3554405.800000000279397,3580214.250000000000000,3715680.000000000000000,10850301.050000000745058
20150715,3567977.800000000279397,3593714.250000000000000,3701127.000000000000000,10862820.050000000745058
20150716,3591201.000000000000000,3563676.750000000000000,3715680.000000000000000,10870558.750000000000000
20150717,3584867.400000000372529,3585276.750000000000000,3730894.500000000000000,10901039.650000000372529
20150720,3606582.600000000093132,3584095.500000000000000,3742140.000000000000000,10932819.099999999627471
20150721,3598439.400000000372529,3569076.750000000000000,3737509.500000000000000,10905026.650000000372529
20150722,3599042.600000000093132,3598608.000000000000000,3773892.000000000000000,10971543.599999999627471
20150723,3583057.800000000279397,3561483.000000000000000,3770584.500000000000000,10915126.300000000745058
20150724,3586375.400000000372529,3499045.500000000000000,3737509.500000000000000,10822931.400000000372529
20150727,3566469.800000000279397,3459726.750000000000000,3695835.000000000000000,10722032.550000000745058
20150728,3572803.399999999906868,3480314.250000000000000,3753385.500000000000000,10806504.150000000372529
