訓練日期,20171114 - 20180216
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12872714.169999999925494
真實報酬,2872714.169999999925494

夏普值報酬,0.278571417000000
夏普值風險,0.073216306725962
夏普值,3.804772863545985

預期報酬,45963.660702503613720
風險,250190.088894950953545
趨勢值,0.183714954119556
找到最佳解世代,2809
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),NKE[19](4),
Stock#,BA[2](1),NKE[19](4),
張數,19053,89429,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,111.739999999292195,24.610000000335276,
20171114,4987425.019999999552965,5006260.030000000260770,9993685.050000000745058
20171115,5008383.319999999366701,5064388.880000000819564,10072772.199999999254942
20171116,5024387.839999998919666,5118046.280000000260770,10142434.119999999180436
20171117,4996951.519999999552965,5293327.120000000111759,10290278.640000000596046
20171120,5042107.129999998956919,5298692.860000000335276,10340799.989999998360872
20171121,5087072.209999999031425,5311212.919999999925494,10398285.129999998956919
20171122,5052014.689999998547137,5282595.640000000596046,10334610.329999998211861
20171124,5065923.379999998956919,5304952.890000000596046,10370876.269999999552965
20171127,5060207.479999998584390,5332675.880000000819564,10392883.359999999403954
20171128,5106125.209999999031425,5328204.430000000633299,10434329.640000000596046
20171129,5131084.639999999664724,5397959.050000000745058,10529043.690000001341105
20171130,5273982.139999999664724,5403324.790000000037253,10677306.929999999701977
20171201,5170714.879999998956919,5355033.130000000819564,10525748.009999999776483
20171204,5296274.149999999441206,5374707.510000000707805,10670981.660000000149012
20171205,5249975.359999999403954,5403324.790000000037253,10653300.149999998509884
20171206,5301990.049999998882413,5340724.490000000223517,10642714.539999999105930
20171207,5372486.149999999441206,5419422.010000000707805,10791908.160000000149012
20171208,5447364.439999998547137,5482022.310000000521541,10929386.750000000000000
20171211,5395159.219999999739230,5536574.000000000000000,10931733.219999998807907
20171212,5524338.559999999590218,5559825.540000000037253,11084164.099999999627471
20171213,5560539.259999998845160,5750309.310000000521541,11310848.570000000298023
20171214,5599407.379999998956919,5770877.980000000447035,11370285.359999999403954
20171215,5600550.559999999590218,5794129.520000000484288,11394680.080000000074506
20171218,5642467.159999999217689,5795918.100000000558794,11438385.259999999776483
20171219,5663615.989999999292195,5744943.570000000298023,11408559.559999998658895
20171220,5676000.439999998547137,5686814.720000000670552,11362815.160000000149012
20171221,5621318.329999999143183,5792340.940000000409782,11413659.269999999552965
20171222,5622652.040000000037253,5659986.020000000484288,11282638.060000000521541
20171226,5627605.819999999366701,5692180.459999999962747,11319786.279999999329448
20171227,5632559.599999999627471,5629580.160000000149012,11262139.759999999776483
20171228,5646468.290000000037253,5629580.160000000149012,11276048.449999999254942
20171229,5619031.969999999739230,5593808.560000000521541,11212840.530000001192093
20180102,5655804.259999998845160,5677871.820000000298023,11333676.079999998211861
20180103,5674095.139999999664724,5676977.530000000260770,11351072.669999999925494
20180104,5652565.250000000000000,5673400.370000000111759,11325965.620000001043081
20180105,5884440.259999998845160,5721692.030000000260770,11606132.289999999105930
20180108,5909399.689999998547137,5772666.560000000521541,11682066.250000000000000
20180109,6067158.529999999329448,5731529.220000000670552,11798687.750000000000000
20180110,6102025.519999999552965,5743154.990000000223517,11845180.509999999776483
20180111,6251782.099999999627471,5749415.020000000484288,12001197.120000001043081
20180112,6405920.869999999180436,5783398.040000000037253,12189318.910000000149012
20180116,6385915.219999999739230,5671611.790000000037253,12057527.009999999776483
20180117,6687905.269999999552965,5706489.100000000558794,12394394.370000001043081
20180118,6481180.219999999739230,5733317.800000000745058,12214498.019999999552965
20180119,6434881.429999999701977,6010547.700000000186265,12445429.129999998956919
20180122,6440025.739999999292195,5937215.919999999925494,12377241.660000000149012
20180123,6394108.009999998845160,6004287.669999999925494,12398395.679999999701977
20180124,6376960.309999999590218,6081196.610000000335276,12458156.919999999925494
20180125,6537386.569999999366701,6055262.200000000186265,12592648.769999999552965
20180126,6539482.399999999441206,6084773.770000000484288,12624256.169999999925494
20180129,6493755.199999999254942,6043636.430000000633299,12537391.629999998956919
20180130,6434500.369999999180436,6021279.180000000633299,12455779.550000000745058
20180131,6751923.349999999627471,6100870.990000000223517,12852794.339999999850988
20180201,6800889.559999999590218,6049896.460000000894070,12850786.019999999552965
20180202,6647893.969999999739230,6011441.990000000223517,12659335.960000000894070
20180205,6266262.379999998956919,5758357.919999999925494,12024620.299999998882413
20180206,6495469.969999999739230,5832583.990000000223517,12328053.960000000894070
20180207,6632842.099999999627471,5869249.879999999888241,12502091.980000000447035
20180208,6281123.719999999739230,5588442.820000000298023,11869566.539999999105930
20180209,6341521.729999998584390,5856729.820000000298023,12198251.549999998882413
20180212,6550533.139999999664724,5900550.030000000260770,12451083.169999999925494
20180213,6538339.219999999739230,5890712.840000000782311,12429052.060000000521541
20180214,6570538.790000000037253,6077619.450000000186265,12648158.240000000223517
20180215,6791744.119999999180436,6107131.020000000484288,12898875.140000000596046
20180216,6764688.859999999403954,6108025.310000000521541,12872714.169999999925494
