訓練日期,20120730 - 20121031
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10692003.160000000149012
真實報酬,692003.160000000149012

夏普值報酬,0.060500316000000
夏普值風險,0.026264186285242
夏普值,2.303529046852486

預期報酬,13885.230950515138829
風險,76847.376954688676051
趨勢值,0.180685815193175
找到最佳解世代,2029
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,4
PFE[20](7),TRV[22](1),UNH[23](10),UTX[24](12),
Stock#,PFE[20](7),TRV[22](1),UNH[23](10),UTX[24](12),
張數,104909,39859,46869,33656,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,18.530000000260770,43.520000000018626,7.540000000037253,32.319999999832362,
20120730,2487410.920000000391155,2519530.910000000149012,2496250.479999999981374,2523222.639999999664724,10026414.949999999254942
20120731,2522030.890000000130385,2497209.870000000111759,2394544.750000000000000,2505384.959999999962747,9919170.469999998807907
20120801,2511539.990000000223517,2525111.169999999925494,2400169.030000000260770,2517164.560000000055879,9953984.750000000000000
20120802,2509441.810000000521541,2505978.850000000093132,2395013.439999999944121,2505384.959999999962747,9915819.059999998658895
20120803,2547209.050000000279397,2539460.410000000149012,2418916.629999999888241,2585149.679999999701977,10090735.769999999552965
20120806,2545110.870000000577420,2531887.200000000186265,2390326.540000000037253,2579764.720000000204891,10047089.330000000074506
20120807,2490558.189999999944121,2525908.350000000093132,2462504.799999999813735,2629239.040000000037253,10108210.379999998956919
20120808,2500000.000000000000000,2543446.310000000055879,2471409.909999999683350,2607699.200000000186265,10122555.420000001788139
20120809,2504196.360000000335276,2546635.030000000260770,2438132.920000000391155,2592554.000000000000000,10081518.310000000521541
20120810,2511539.990000000223517,2550222.339999999850988,2432508.640000000130385,2621498.159999999683350,10115769.130000000819564
20120813,2488460.010000000242144,2540257.589999999850988,2432508.640000000130385,2607362.639999999664724,10068588.879999998956919
20120814,2515736.350000000093132,2532684.379999999888241,2435789.470000000204891,2617796.000000000000000,10102006.200000001117587
20120815,2522030.890000000130385,2541054.770000000018626,2475628.120000000111759,2624863.759999999776483,10163577.539999999105930
20120816,2519932.710000000428408,2552215.290000000037253,2502343.450000000186265,2651115.439999999478459,10225606.890000000596046
20120817,2495803.640000000130385,2596060.189999999944121,2490157.510000000242144,2704965.040000000037253,10286986.379999998956919
20120820,2508392.720000000204891,2616388.280000000260770,2493438.340000000316650,2695204.799999999813735,10313424.140000000596046
20120821,2485312.740000000223517,2600046.090000000316650,2503749.520000000018626,2667943.439999999478459,10257051.789999999105930
20120822,2486361.830000000074506,2608815.070000000298023,2529527.470000000204891,2681069.279999999795109,10305773.650000000372529
20120823,2490558.189999999944121,2582906.719999999739230,2527184.020000000018626,2665587.520000000018626,10266236.449999999254942
20120824,2518883.620000000577420,2606822.120000000111759,2538432.580000000074506,2695204.799999999813735,10359343.120000001043081
20120827,2506294.540000000502914,2598053.140000000130385,2559523.629999999888241,2711359.679999999701977,10375230.990000000223517
20120828,2502098.180000000633299,2584501.080000000074506,2546400.310000000055879,2714052.159999999683350,10347051.730000000447035
20120829,2513638.170000000391155,2582906.719999999739230,2560929.700000000186265,2698233.839999999850988,10355708.429999999701977
20120830,2501049.090000000316650,2570550.429999999701977,2563273.149999999906868,2660875.679999999701977,10295748.349999999627471
20120831,2503147.270000000018626,2580515.179999999701977,2544994.239999999757856,2687463.919999999459833,10316120.609999999403954
20120904,2494754.550000000279397,2576529.280000000260770,2557180.180000000167638,2636979.919999999459833,10265443.929999999701977
20120905,2509441.810000000521541,2572144.790000000037253,2544056.859999999869615,2626210.000000000000000,10251853.460000000894070
20120906,2553503.590000000316650,2604430.580000000074506,2572646.950000000186265,2672318.720000000204891,10402899.839999999850988
20120907,2543012.689999999944121,2599248.909999999683350,2572178.260000000242144,2672655.279999999795109,10387095.139999998733401
20120910,2528325.430000000633299,2603234.810000000055879,2518747.600000000093132,2645730.479999999981374,10296038.320000000298023
20120911,2535669.060000000521541,2668603.570000000298023,2474690.739999999757856,2650778.879999999888241,10329742.250000000000000
20120912,2525178.160000000149012,2692120.380000000353903,2475628.120000000111759,2653134.799999999813735,10346061.460000000894070
20120913,2544061.780000000260770,2728392.070000000298023,2525777.950000000186265,2710350.000000000000000,10508581.800000000745058
20120914,2496852.730000000447035,2733573.739999999757856,2542650.790000000037253,2774969.520000000018626,10548046.780000001192093
20120917,2519932.710000000428408,2729587.840000000316650,2553430.659999999683350,2764872.720000000204891,10567823.930000001564622
20120918,2518883.620000000577420,2728790.659999999683350,2583895.510000000242144,2742323.200000000186265,10573892.990000002086163
20120919,2534619.970000000204891,2719623.090000000316650,2575459.090000000316650,2750400.639999999664724,10580102.789999999105930
20120920,2560847.220000000204891,2728392.070000000298023,2574990.399999999906868,2723475.839999999850988,10587705.530000001192093
20120921,2572387.210000000428408,2734769.509999999776483,2633107.959999999962747,2717754.319999999832362,10658019.000000000000000
20120924,2596516.280000000260770,2727196.300000000279397,2623734.159999999683350,2693522.000000000000000,10640968.740000000223517
20120925,2605958.090000000316650,2729587.840000000316650,2634045.340000000316650,2651115.439999999478459,10620706.710000000894070
20120926,2604909.000000000000000,2701686.540000000037253,2614360.359999999869615,2643038.000000000000000,10563993.900000000372529
20120927,2618547.170000000391155,2726797.709999999962747,2635920.100000000093132,2636979.919999999459833,10618244.900000000372529
20120928,2607007.180000000633299,2720818.860000000335276,2597018.830000000074506,2634960.560000000055879,10559805.430000001564622
20121001,2626939.890000000130385,2753104.649999999906868,2646231.280000000260770,2636979.919999999459833,10663255.740000000223517
20121002,2635332.610000000335276,2738356.820000000298023,2662166.739999999757856,2638326.159999999683350,10674182.330000000074506
20121003,2656314.410000000149012,2750713.110000000335276,2664978.879999999888241,2644047.679999999701977,10716054.080000000074506
20121004,2659461.680000000633299,2761475.040000000037253,2717003.470000000204891,2643038.000000000000000,10780978.190000001341105
20121005,2677296.210000000428408,2772635.560000000055879,2677633.510000000242144,2642364.879999999888241,10769930.160000000149012
20121008,2664707.129999999888241,2771838.380000000353903,2699661.939999999944121,2637653.040000000037253,10773860.489999998360872
20121009,2655265.320000000298023,2763069.399999999906868,2693568.970000000204891,2602650.799999999813735,10714554.490000002086163
20121010,2639528.970000000204891,2766258.120000000111759,2676696.129999999888241,2558561.439999999478459,10641044.660000000149012
20121011,2635332.610000000335276,2756691.959999999962747,2702474.080000000074506,2559571.119999999646097,10654069.769999999552965
20121012,2635332.610000000335276,2739154.000000000000000,2674821.370000000111759,2556542.079999999608845,10605850.060000000521541
20121015,2682541.660000000149012,2781803.130000000353903,2694506.350000000093132,2562936.720000000204891,10721787.860000001266599
20121016,2706670.730000000447035,2809704.429999999701977,2665916.260000000242144,2611737.919999999459833,10794029.339999999850988
20121017,2710867.090000000316650,2845178.939999999944121,2624202.850000000093132,2643374.560000000055879,10823623.440000001341105
20121018,2731848.890000000130385,2947217.979999999981374,2625140.229999999981374,2666597.200000000186265,10970804.300000000745058
20121019,2702474.370000000577420,2930078.610000000335276,2608736.080000000074506,2624863.759999999776483,10866152.820000000298023
20121022,2685688.930000000633299,2949210.929999999701977,2649980.799999999813735,2619478.799999999813735,10904359.460000000894070
20121023,2642676.240000000223517,2924896.939999999944121,2633107.959999999962747,2593900.239999999757856,10794581.379999998956919
20121024,2655265.320000000298023,2916925.140000000130385,2620922.020000000018626,2621834.720000000204891,10814947.200000001117587
20121025,2686738.020000000018626,2874674.600000000093132,2634514.030000000260770,2601304.560000000055879,10797231.210000000894070
20121026,2667854.400000000372529,2852353.560000000055879,2614360.359999999869615,2631931.520000000018626,10766499.839999999850988
20121031,2609105.360000000335276,2827640.979999999981374,2624671.540000000037253,2630585.279999999795109,10692003.160000000149012
