訓練日期,20100929 - 20101230
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11492092.400000000372529
真實報酬,1492092.400000000372529

夏普值報酬,0.140509240000000
夏普值風險,0.044374856964498
夏普值,3.166415614869819

預期報酬,24134.698928948906541
風險,88991.387349481898127
趨勢值,0.271202637106538
找到最佳解世代,2045
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
CAT[3](13),DIS[6](5),KO[14](1),XOM[29](2),
Stock#,CAT[3](13),DIS[6](5),KO[14](1),XOM[29](2),
張數,31379,75255,84602,40283,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,35.069999999832362,28.899999999906868,10.899999999906868,37.020000000018626,
20100929,2510041.279999999795109,2484196.449999999720603,2485617.659999999683350,2481066.990000000223517,9960922.379999998956919
20100930,2468934.790000000037253,2490969.399999999906868,2475465.419999999925494,2489123.589999999850988,9924493.199999999254942
20101001,2454500.449999999720603,2509030.600000000093132,2500846.020000000018626,2519335.839999999850988,9983712.910000000149012
20101004,2424690.399999999906868,2493979.600000000093132,2490693.779999999795109,2505236.790000000037253,9914600.570000000298023
20101005,2491527.669999999925494,2545905.549999999813735,2523688.559999999590218,2548339.600000000093132,10109461.379999998956919
20101006,2474583.009999999776483,2524834.149999999906868,2527918.659999999683350,2566869.779999999795109,10094205.599999999627471
20101007,2470817.529999999795109,2551925.949999999720603,2514382.339999999850988,2572106.570000000298023,10109232.390000000596046
20101008,2521965.299999999813735,2597078.949999999720603,2513536.319999999832362,2593456.560000000055879,10226037.130000000819564
20101011,2509727.489999999757856,2601594.250000000000000,2519458.459999999962747,2600304.669999999925494,10231084.870000001043081
20101012,2489644.930000000167638,2594821.299999999813735,2521150.500000000000000,2606347.120000000111759,10211963.850000001490116
20101013,2519454.979999999981374,2627180.949999999720603,2535532.839999999850988,2620043.340000000316650,10302212.109999999403954
20101014,2507530.959999999497086,2622665.649999999906868,2534686.819999999832362,2630516.919999999925494,10295400.349999999627471
20101015,2502510.319999999832362,2624923.300000000279397,2535532.839999999850988,2626085.790000000037253,10289052.250000000000000
20101018,2517886.029999999795109,2615140.149999999906868,2538070.899999999906868,2669994.260000000242144,10341091.339999999850988
20101019,2464855.519999999552965,2576760.100000000093132,2552453.240000000223517,2623265.979999999981374,10217334.839999999850988
20101020,2520396.349999999627471,2605356.999999999534339,2587140.059999999590218,2659117.850000000093132,10372011.259999999776483
20101021,2475524.379999999888241,2609872.299999999813735,2600676.379999999888241,2671605.579999999608845,10357678.639999998733401
20101022,2457952.139999999664724,2631696.250000000000000,2606598.520000000018626,2672411.240000000223517,10368658.150000000372529
20101025,2480545.019999999552965,2668571.200000000186265,2581217.919999999925494,2666771.620000000111759,10397105.759999999776483
20101026,2467993.419999999925494,2706198.700000000186265,2590524.140000000130385,2680065.010000000242144,10444781.269999999552965
20101027,2454500.449999999720603,2703188.500000000000000,2588832.100000000093132,2645421.629999999888241,10391942.679999999701977
20101028,2439438.529999999795109,2747588.949999999720603,2589678.119999999646097,2667577.279999999795109,10444282.879999998956919
20101029,2466424.469999999739230,2718992.050000000279397,2593908.219999999739230,2678453.689999999944121,10457778.429999999701977
20101101,2487448.399999999906868,2711466.549999999813735,2610828.619999999646097,2696983.870000000111759,10506727.439999997615814
20101102,2502510.319999999832362,2717486.949999999720603,2616750.759999999776483,2732835.740000000223517,10569583.769999999552965
20101103,2506589.589999999850988,2731032.849999999627471,2620980.859999999869615,2738072.529999999795109,10596675.829999998211861
20101104,2610140.290000000037253,2786721.549999999813735,2642131.359999999869615,2794871.560000000055879,10833864.759999999776483
20101105,2621436.729999999981374,2799514.899999999906868,2647207.479999999981374,2819847.020000000018626,10888006.129999998956919
20101108,2608257.549999999813735,2788979.200000000186265,2642131.359999999869615,2832737.579999999608845,10872105.689999999478459
