訓練日期,20170524 - 20170824
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10843772.070000000298023
真實報酬,843772.070000000298023

夏普值報酬,0.075677207000000
夏普值風險,0.023958376502997
夏普值,3.158695122373368

預期報酬,13970.065673837614668
風險,44449.490396991197485
趨勢值,0.314290794991505
找到最佳解世代,3218
找到最佳解實驗#,2
找到最佳解次數,21

stock[index](rank)
投資組合檔數,5
JPM[13](8),MCD[15](4),PG[21](6),UNH[23](1),V[25](7),
Stock#,JPM[13](8),MCD[15](4),PG[21](6),UNH[23](1),V[25](7),
張數,23320,13529,23234,11414,21308,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,76.799999999813735,143.220000000204891,17.280000000027940,38.919999999925494,31.120000000111759,
20170524,1998833.999999999767169,2022728.720000000204891,2009758.280000000027940,2004223.179999999934807,2020242.600000000093132,10055786.779999999329448
20170525,1990438.799999999580905,2026516.840000000316650,2018122.520000000018626,2032301.620000000111759,2025143.440000000176951,10092523.220000000670552
20170526,1990671.999999999767169,2027599.160000000381842,2027183.780000000027940,2026023.919999999925494,2017259.480000000214204,10088738.339999999850988
20170530,1956624.800000000046566,2028546.190000000409782,2030668.880000000121072,2015637.179999999934807,2018324.880000000121072,10049801.929999999701977
20170531,1915814.800000000046566,2041534.030000000027940,2046700.340000000083819,1999543.439999999944121,2029191.960000000195578,10032784.570000000298023
20170601,1937035.999999999767169,2061827.530000000027940,2047629.699999999953434,2049765.040000000037253,2032814.320000000298023,10129072.589999999850988
20170602,1927241.599999999860302,2080091.680000000400469,2058317.340000000083819,2047596.379999999655411,2048795.320000000298023,10162042.320000000298023
20170605,1930739.599999999860302,2067239.130000000121072,2061802.439999999944121,2047368.100000000093132,2057318.520000000018626,10164467.789999999105930
20170606,1934703.999999999767169,2046133.890000000130385,2063196.479999999981374,2063918.399999999906868,2041124.440000000176951,10149077.209999999031425
20170607,1956857.999999999767169,2055739.480000000214204,2062499.459999999962747,2091197.860000000102445,2047516.840000000083819,10213811.640000000596046
20170608,1981110.799999999813735,2048839.690000000409782,2041124.179999999934807,2073848.579999999841675,2047516.840000000083819,10192440.089999999850988
20170609,2027983.999999999767169,2049516.140000000130385,2048326.719999999972060,2071223.360000000102445,2014915.600000000093132,10211965.820000000298023
20170612,2028450.399999999906868,2008793.850000000093132,2050185.439999999944121,2045998.419999999925494,1992329.120000000111759,10125757.230000000447035
20170613,2035213.199999999720603,2027058.000000000000000,2046003.320000000065193,2066543.620000000111759,2025995.760000000009313,10200813.900000000372529
20170614,2031015.599999999860302,2038692.940000000409782,2054832.239999999990687,2081495.960000000195578,2031109.679999999934807,10237146.419999999925494
20170615,2018889.199999999720603,2045322.150000000139698,2076672.199999999953434,2058896.239999999757856,2006605.480000000214204,10206385.269999999552965
20170616,2009794.399999999906868,2056415.930000000400469,2083177.719999999972060,2073163.739999999757856,2006605.480000000214204,10229157.269999999552965
20170619,2053869.199999999720603,2071974.280000000027940,2087824.520000000018626,2089029.199999999953434,2019816.440000000176951,10322513.640000000596046
20170620,2041043.199999999720603,2084556.250000000000000,2082480.699999999953434,2091882.699999999953434,2011080.159999999916181,10311043.009999999776483
20170621,2031715.199999999953434,2079956.390000000130385,2077136.880000000121072,2110715.799999999813735,2014489.440000000176951,10314013.709999999031425
20170622,2029383.199999999720603,2094432.420000000391155,2068540.300000000046566,2128749.919999999925494,2001917.720000000204891,10323023.560000000521541
20170623,2025651.999999999767169,2092267.780000000027940,2077601.560000000055879,2114482.419999999925494,2036649.760000000009313,10346653.519999999552965
20170626,2034513.599999999627471,2083068.060000000288710,2076207.520000000018626,2112998.600000000093132,2028978.880000000121072,10335766.660000000149012
20170627,2053402.799999999813735,2079821.100000000093132,2058782.020000000018626,2107063.319999999832362,2022160.320000000298023,10321229.560000000521541
20170628,2094679.199999999720603,2087667.920000000391155,2053205.860000000102445,2119618.719999999739230,2050499.960000000195578,10405671.660000000149012
20170629,2125694.799999999813735,2071838.990000000223517,2021142.939999999944121,2114710.700000000186265,2011932.480000000214204,10345319.910000000149012
20170630,2131524.799999999813735,2072244.860000000102445,2024860.380000000121072,2116422.799999999813735,1998295.360000000102445,10343348.199999999254942
20170703,2163006.799999999813735,2063315.720000000204891,2038568.439999999944121,2130462.020000000018626,1989132.919999999925494,10384485.899999998509884
20170705,2184694.399999999906868,2071027.250000000000000,2036942.060000000055879,2148724.419999999925494,2003196.200000000186265,10444584.330000001937151
20170706,2177698.399999999906868,2071297.830000000307336,2029971.860000000102445,2133772.080000000074506,1987002.120000000111759,10399742.290000002831221
20170707,2188658.799999999813735,2114320.050000000279397,2036477.380000000121072,2145414.359999999869615,2001278.480000000214204,10486149.070000000298023
20170710,2173267.599999999627471,2104173.300000000279397,2023466.340000000083819,2133886.219999999739230,2026208.840000000083819,10461002.300000000745058
20170711,2164872.399999999906868,2095920.610000000102445,2016031.459999999962747,2122472.219999999739230,2033027.400000000139698,10432324.089999999850988
20170712,2157410.000000000000000,2118514.040000000502914,2020445.919999999925494,2130918.580000000074506,2049434.560000000288710,10476723.100000001490116
20170713,2171168.799999999813735,2097679.379999999888241,2014405.080000000074506,2117107.639999999664724,2044320.640000000130385,10444681.539999999105930
20170714,2151346.799999999813735,2100926.340000000316650,2023698.679999999934807,2133315.520000000018626,2065415.560000000288710,10474702.900000000372529
20170717,2131291.599999999627471,2100655.760000000242144,2034153.979999999981374,2127037.819999999832362,2063284.760000000009313,10456423.919999999925494
20170718,2123829.199999999720603,2083068.060000000288710,2059479.040000000037253,2132744.819999999832362,2079265.760000000009313,10478386.879999998956919
20170719,2126860.799999999813735,2082121.030000000027940,2052741.179999999934807,2159453.580000000074506,2093542.120000000111759,10514718.710000000894070
20170720,2126860.799999999813735,2086450.310000000288710,2058549.679999999934807,2185819.919999999925494,2090559.000000000000000,10548239.710000000894070
20170721,2119631.599999999627471,2082526.900000000139698,2058782.020000000018626,2189015.839999999850988,2122307.919999999925494,10572264.279999999329448
20170724,2128726.399999999906868,2054521.870000000111759,2048791.400000000139698,2178857.379999999888241,2138715.080000000074506,10549612.130000000819564
20170725,2164172.799999999813735,2152201.250000000000000,2071096.040000000037253,2173264.520000000018626,2130618.040000000037253,10691352.649999998509884
20170726,2143884.399999999906868,2117567.010000000242144,2074813.479999999981374,2177259.419999999925494,2148942.919999999925494,10662467.230000000447035
