訓練日期,20120731 - 20121101
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11234063.460000000894070
真實報酬,1234063.460000000894070

夏普值報酬,0.114706346000000
夏普值風險,0.041922341881003
夏普值,2.736162648680128

預期報酬,21825.598728447122994
風險,115208.014660617482150
趨勢值,0.189445142273665
找到最佳解世代,2176
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](4),HD[9](1),PFE[20](6),PG[21](5),TRV[22](3),
Stock#,GS[8](4),HD[9](1),PFE[20](6),PG[21](5),TRV[22](3),
張數,19825,37558,84352,30721,31640,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,54.000000000000000,36.500000000000000,14.079999999841675,62.900000000139698,35.599999999860302,
20120731,2000396.500000000000000,1959812.939999999944121,2027836.159999999683350,1982796.240000000223517,1982281.599999999860302,9953123.439999999478459
20120801,1984338.250000000000000,1941033.939999999944121,2019400.959999999962747,1966514.110000000335276,2004429.599999999860302,9915716.860000001266599
20120802,1939137.250000000000000,1930142.120000000111759,2017713.919999999925494,1951153.610000000102445,1989242.399999999674037,9827389.300000000745058
20120803,2001982.500000000000000,1963944.320000000065193,2048080.639999999897555,2012288.400000000139698,2015820.000000000000000,10042115.859999999403954
20120806,2022600.500000000000000,1953052.500000000000000,2046393.599999999860302,2021811.910000000149012,2009808.399999999906868,10053666.910000000149012
20120807,2046787.000000000000000,1968075.699999999953434,2002530.559999999823049,2034407.520000000018626,2005062.399999999674037,10056863.179999999701977
20120808,2032116.500000000000000,1982723.320000000065193,2010122.239999999757856,2049768.020000000018626,2018984.000000000000000,10093714.080000000074506
20120809,2053924.000000000000000,1996244.199999999953434,2013496.319999999832362,2050075.230000000214204,2021515.199999999953434,10135254.949999999254942
20120810,2042425.500000000000000,1992863.979999999981374,2019400.959999999962747,2051304.070000000065193,2024362.799999999813735,10130357.309999998658895
20120813,2054122.250000000000000,1983850.060000000055879,2000843.519999999785796,2042394.980000000214204,2016452.799999999813735,10097663.609999999403954
20120814,2047183.500000000000000,2054834.679999999934807,2022775.039999999804422,2050075.230000000214204,2010441.199999999720603,10185309.650000000372529
20120815,2044606.250000000000000,2065726.500000000000000,2027836.159999999683350,2047310.340000000083819,2017085.599999999860302,10202564.849999999627471
