訓練日期,20160919 - 20161219
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12175719.669999998062849
真實報酬,2175719.669999998062849

夏普值報酬,0.208871967000000
夏普值風險,0.057089774334510
夏普值,3.658658129845522

預期報酬,32183.281575721961417
風險,127148.391298276415910
趨勢值,0.253115916348666
找到最佳解世代,2018
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),CVX[5](2),
Stock#,BA[2](1),CVX[5](2),
張數,39463,51103,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,37.899999999441206,82.479999999515712,
20160919,5030781.139999999664724,5010220.599999999627471,10041001.739999998360872
20160920,5043014.669999999925494,4992845.580000000074506,10035860.250000000000000
20160921,5152327.179999999701977,5091474.369999999180436,10243801.549999998882413
20160922,5204023.709999999962747,5109360.419999999925494,10313384.129999998956919
20160923,5200472.039999999105930,5070522.139999999664724,10270994.179999999701977
20160926,5152721.809999999590218,5048036.819999999366701,10200758.629999998956919
20160927,5182319.059999999590218,5058257.419999999925494,10240576.480000000447035
20160928,5218230.389999998733401,5220253.929999999701977,10438484.319999998435378
20160929,5170874.789999999105930,5175283.289999999105930,10346158.079999998211861
20160930,5198893.519999999552965,5259603.239999999292195,10458496.759999997913837
20161003,5224149.839999998919666,5235584.830000000074506,10459734.669999998062849
20161004,5219019.649999999441206,5175283.289999999105930,10394302.939999997615814
20161005,5314125.479999999515712,5224342.169999999925494,10538467.649999998509884
20161006,5304654.359999999403954,5221787.019999999552965,10526441.379999998956919
20161007,5282160.449999999254942,5226386.289999999105930,10508546.739999998360872
20161010,5360691.819999999366701,5313772.419999999925494,10674464.239999998360872
20161011,5277819.519999999552965,5265735.599999999627471,10543555.119999999180436
20161012,5254930.979999999515712,5220253.929999999701977,10475184.910000000149012
20161013,5263612.839999998919666,5150753.849999999627471,10414366.689999997615814
20161014,5268348.399999999441206,5165573.719999999739230,10433922.119999999180436
20161017,5288079.899999999441206,5179882.559999999590218,10467962.459999999031425
20161018,5331489.199999999254942,5201856.849999999627471,10533346.049999998882413
20161019,5374109.239999999292195,5226386.289999999105930,10600495.529999997466803
20161020,5360691.819999999366701,5205945.089999999850988,10566636.910000000149012
20161021,5352404.589999998919666,5176816.379999998956919,10529220.969999998807907
20161024,5424227.249999999068677,5144110.459999999031425,10568337.709999997168779
20161025,5486184.160000000149012,5149731.789999999105930,10635915.949999999254942
20161026,5743482.919999998994172,5171195.049999999813735,10914677.969999998807907
20161027,5655480.429999999701977,5106294.239999999292195,10761774.669999998062849
20161028,5643641.529999999329448,5305595.939999999478459,10949237.469999998807907
20161031,5620752.989999999292195,5353121.729999999515712,10973874.719999998807907
20161101,5619963.729999999515712,5441529.919999999925494,11061493.649999998509884
20161102,5554455.149999999441206,5385827.649999999441206,10940282.799999998882413
20161103,5525647.160000000149012,5385827.649999999441206,10911474.809999998658895
20161104,5506704.919999998994172,5354654.819999999366701,10861359.739999998360872
20161107,5644430.789999999105930,5460438.029999999329448,11104868.819999998435378
20161108,5611676.499999999068677,5482923.349999999627471,11094599.849999997764826
20161109,5725724.569999999366701,5500809.399999999441206,11226533.969999998807907
20161110,5828328.369999999180436,5508474.849999999627471,11336803.219999998807907
20161111,5861082.660000000149012,5449706.399999999441206,11310789.059999998658895
20161114,5919093.269999999552965,5447151.250000000000000,11366244.519999999552965
20161115,5844902.830000000074506,5568265.359999999403954,11413168.189999999478459
20161116,5778999.619999999180436,5537092.529999999329448,11316092.149999998509884
20161117,5735195.689999999478459,5525338.839999999850988,11260534.529999999329448
20161118,5775447.949999999254942,5580530.080000000074506,11355978.029999999329448
20161121,5801888.160000000149012,5630611.019999999552965,11432499.179999999701977
20161122,5900545.660000000149012,5653096.339999999850988,11553642.000000000000000
20161123,5909227.519999999552965,5672515.479999999515712,11581743.000000000000000
20161125,5921066.419999998994172,5672515.479999999515712,11593581.899999998509884
20161128,5910411.410000000149012,5646963.979999999515712,11557375.390000000596046
20161129,5984207.219999998807907,5587684.500000000000000,11571891.719999998807907
20161130,5941587.179999999701977,5701133.159999999217689,11642720.339999999850988
20161201,6013804.469999998807907,5789541.349999999627471,11803345.819999998435378
20161202,6008279.649999999441206,5774721.479999999515712,11783001.129999998956919
20161205,6004727.979999999515712,5787497.229999999515712,11792225.209999999031425
20161206,6007885.019999999552965,5762456.759999999776483,11770341.779999999329448
20161207,6082864.719999998807907,5848309.799999999813735,11931174.519999999552965
20161208,6132193.469999998807907,5885614.989999999292195,12017808.459999997168779
20161209,6175602.769999999552965,5918320.909999999217689,12093923.679999999701977
20161212,6202042.979999999515712,5986798.929999999701977,12188841.910000000149012
20161213,6182311.479999999515712,6000596.739999999292195,12182908.219999998807907
20161214,6095887.509999999776483,5925986.359999999403954,12021873.869999999180436
20161215,6068263.410000000149012,5981688.629999998956919,12049952.039999999105930
20161216,6097071.399999999441206,6034324.719999999739230,12131396.119999999180436
20161219,6163369.239999999292195,6012350.429999999701977,12175719.669999998062849
