訓練日期,20150409 - 20150710
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10912538.780000001192093
真實報酬,912538.780000001192093

夏普值報酬,0.082553878000000
夏普值風險,0.026780750902861
夏普值,3.082582646746468

預期報酬,15566.382637057609827
風險,84759.178056720105815
趨勢值,0.183654242454318
找到最佳解世代,2474
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),GS[8](3),JPM[13](2),NKE[19](5),
Stock#,DIS[6](1),GS[8](3),JPM[13](2),NKE[19](5),
張數,23505,12982,40950,49583,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,8.200000000186265,186.080000000074506,2.500000000000000,25.140000000130385,
20150409,2509637.050000000279397,2530248.060000000055879,2517199.000000000000000,2497025.020000000018626,10054109.130000000819564
20150410,2513867.950000000186265,2539984.560000000055879,2526617.500000000000000,2478679.310000000055879,10059149.320000000298023
20150413,2503525.750000000465661,2539205.640000000130385,2541769.000000000000000,2461325.260000000242144,10045825.650000000372529
20150414,2507051.500000000000000,2566987.120000000111759,2581490.500000000000000,2467771.050000000279397,10123300.169999999925494
20150415,2514573.100000000093132,2610866.279999999795109,2629401.999999999534339,2475208.500000000000000,10230049.879999998956919
20150416,2540898.700000000186265,2599312.300000000279397,2613022.000000000000000,2476695.990000000223517,10229928.990000000223517
20150417,2507756.649999999906868,2562183.779999999795109,2573300.500000000000000,2443475.380000000353903,10086716.310000000521541
20150420,2543719.300000000279397,2571920.279999999795109,2589680.500000000000000,2479175.140000000130385,10184495.220000000670552
20150421,2531026.600000000558794,2555562.959999999962747,2551597.000000000000000,2486612.589999999850988,10124799.150000000372529
20150422,2537137.899999999906868,2574776.319999999832362,2577395.500000000000000,2483141.780000000260770,10172451.500000000000000
20150423,2562053.200000000186265,2587628.500000000000000,2571662.500000000000000,2506941.620000000111759,10228285.820000000298023
20150424,2574510.850000000093132,2570492.260000000242144,2563472.500000000000000,2502974.979999999981374,10211450.589999999850988
20150427,2589319.000000000000000,2551408.720000000204891,2552825.500000000000000,2502479.149999999906868,10196032.370000001043081
20150428,2583677.800000000279397,2564001.260000000242144,2570024.500000000000000,2475704.330000000074506,10193407.890000000596046
20150429,2581092.250000000465661,2577892.000000000000000,2604422.500000000000000,2483637.610000000335276,10247044.359999999403954
20150430,2555471.800000000279397,2550110.520000000018626,2590499.500000000000000,2450417.000000000000000,10146498.820000000298023
20150501,2597780.800000000279397,2564520.540000000037253,2604832.000000000000000,2498512.510000000242144,10265645.849999999627471
20150504,2609768.350000000093132,2587498.680000000167638,2650286.500000000000000,2500000.000000000000000,10347553.530000001192093
20150505,2604597.250000000465661,2561404.859999999869615,2637182.500000000000000,2489587.570000000298023,10292772.179999999701977
20150506,2578976.800000000279397,2547903.580000000074506,2617526.500000000000000,2484629.270000000018626,10229036.150000000372529
20150507,2568164.500000000465661,2562703.060000000055879,2641277.500000000000000,2515370.729999999981374,10287515.790000000968575
20150508,2588143.750000000000000,2603077.080000000074506,2681818.000000000000000,2539666.399999999906868,10412705.230000000447035
20150511,2552651.200000000186265,2619044.939999999944121,2680180.000000000000000,2548591.339999999850988,10400467.480000000447035
20150512,2567694.399999999906868,2603466.540000000037253,2676494.500000000000000,2538178.910000000149012,10385834.349999999627471
20150513,2566519.149999999906868,2615150.340000000316650,2683046.500000000000000,2532724.780000000260770,10397440.769999999552965
20150514,2583912.850000000558794,2630598.919999999925494,2704750.000000000000000,2564457.899999999906868,10483719.669999999925494
20150515,2592609.700000000186265,2635142.620000000111759,2697788.500000000000000,2602636.810000000055879,10528177.630000000819564
20150518,2593314.850000000093132,2657082.200000000186265,2719901.500000000000000,2597182.680000000167638,10567481.230000000447035
20150519,2598721.000000000465661,2666688.880000000353903,2744062.000000000000000,2594207.700000000186265,10603679.580000001937151
20150520,2590259.200000000186265,2662534.640000000130385,2722358.500000000000000,2593711.870000000111759,10568864.210000000894070
20150521,2594725.150000000372529,2660846.979999999981374,2729320.000000000000000,2588257.740000000223517,10573149.870000001043081
20150522,2591669.500000000465661,2697845.680000000167638,2721949.000000000000000,2589249.399999999906868,10600713.580000000074506
20150526,2572395.399999999906868,2679411.240000000223517,2691646.000000000000000,2563962.070000000298023,10507414.710000000894070
20150527,2594255.050000000279397,2714203.000000000000000,2721949.000000000000000,2549583.000000000000000,10579990.050000000745058
20150528,2598015.850000000093132,2706673.439999999944121,2710892.500000000000000,2536195.589999999850988,10551777.379999998956919
20150529,2594255.050000000279397,2676944.660000000149012,2693693.500000000000000,2520824.860000000335276,10485718.070000000298023
20150601,2608123.000000000000000,2697975.500000000000000,2705978.500000000000000,2522808.180000000167638,10534885.179999999701977
20150602,2603186.950000000186265,2680060.340000000316650,2703521.500000000000000,2531733.120000000111759,10518501.910000000149012
20150603,2613059.050000000279397,2704206.859999999869615,2731367.500000000000000,2541649.720000000204891,10590283.130000000819564
20150604,2592609.700000000186265,2711736.419999999925494,2716216.000000000000000,2527766.479999999981374,10548328.599999999627471
20150605,2592609.700000000186265,2732247.979999999981374,2760851.500000000000000,2529749.800000000279397,10615458.980000000447035
20150608,2568869.650000000372529,2723679.859999999869615,2739148.000000000000000,2514874.899999999906868,10546572.410000000149012
20150609,2550770.800000000279397,2713683.720000000204891,2751023.500000000465661,2512891.580000000074506,10528369.600000001490116
20150610,2585558.200000000186265,2767039.740000000223517,2795249.500000000000000,2561978.750000000000000,10709826.190000001341105
20150611,2600131.300000000279397,2777555.160000000149012,2805896.500000000000000,2575366.160000000149012,10758949.120000001043081
20150612,2584382.950000000186265,2766131.000000000000000,2794840.000000000000000,2572887.010000000242144,10718240.960000000894070
20150615,2589789.100000000558794,2749254.399999999906868,2784193.000000000000000,2562474.580000000074506,10685711.080000000074506
20150616,2610473.500000000465661,2772622.000000000000000,2799754.000000000000000,2592224.380000000353903,10775073.880000000819564
20150617,2620580.649999999906868,2764443.340000000316650,2790335.500000000000000,2597182.680000000167638,10772542.169999999925494
20150618,2661244.300000000279397,2786123.279999999795109,2816543.500000000000000,2627924.140000000130385,10891835.220000000670552
20150619,2647141.300000000279397,2767818.660000000149012,2787878.500000000000000,2641311.550000000279397,10844150.010000001639128
20150622,2668530.850000000093132,2810918.899999999906868,2823914.499999999534339,2647757.339999999850988,10951121.589999999850988
20150623,2689215.250000000000000,2835454.880000000353903,2856265.000000000000000,2657673.940000000409782,11038609.070000000298023
20150624,2674172.050000000279397,2783916.340000000316650,2826371.500000000000000,2633378.270000000018626,10917838.160000000149012
20150625,2690155.450000000186265,2763015.319999999832362,2811220.000000000000000,2608586.770000000018626,10872977.539999999105930
