訓練日期,20100722 - 20101021
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11278232.980000000447035
真實報酬,1278232.980000000447035

夏普值報酬,0.119123298000000
夏普值風險,0.029227910639200
夏普值,4.075669296738422

預期報酬,17035.198919340215070
風險,91332.469747991155600
趨勢值,0.186518540080483
找到最佳解世代,1893
找到最佳解實驗#,6
找到最佳解次數,21

stock[index](rank)
投資組合檔數,2
KO[14](1),MCD[15](2),
Stock#,KO[14](1),MCD[15](2),
張數,184911,71316,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.560000000521541,35.240000000223517,
20100722,5016641.990000000223517,5091997.640000000596046,10108639.630000000819564
20100723,5062869.740000000223517,4985023.640000000596046,10047893.380000000819564
20100726,5079511.730000000447035,5054200.160000000149012,10133711.890000000596046
20100727,5090606.390000000596046,5020681.640000000596046,10111288.030000001192093
20100728,5073964.400000000372529,4975752.559999999590218,10049716.960000000894070
20100729,5085059.060000000521541,4947939.320000000298023,10032998.380000000819564
20100730,5096153.720000000670552,4972899.920000000856817,10069053.640000000596046
20100802,5216345.870000001043081,5009984.240000000223517,10226330.110000001266599
20100803,5212647.650000000372529,5024247.440000000409782,10236895.089999999850988
20100804,5229289.640000000596046,5041363.280000000260770,10270652.920000001788139
20100805,5212647.650000000372529,5024247.440000000409782,10236895.089999999850988
20100806,5247780.740000000223517,5116245.080000000074506,10364025.820000000298023
20100809,5281064.720000000670552,5200397.959999999962747,10481462.679999999701977
20100810,5268120.950000000186265,5194692.680000000633299,10462813.630000000819564
20100811,5181212.780000000260770,5104121.359999999403954,10285334.140000000596046
20100812,5149777.910000001080334,5139066.200000000186265,10288844.110000001266599
20100813,5153476.130000000819564,5126942.480000000447035,10280418.610000001266599
20100816,5166419.900000000372529,5119810.880000000819564,10286230.780000001192093
20100817,5188609.220000000670552,5221792.759999999776483,10410401.980000000447035
20100818,5162721.680000000633299,5223932.240000000223517,10386653.920000001788139
20100819,5110946.600000000558794,5203963.759999999776483,10314910.359999999403954
20100820,5112795.709999999962747,5211808.520000000484288,10324604.230000000447035
20100823,5140532.360000000335276,5230350.680000000633299,10370883.040000000968575
20100824,5146079.690000000409782,5186134.759999999776483,10332214.449999999254942
20100825,5122041.260000000707805,5219653.280000000260770,10341694.540000000968575
20100826,5099851.940000000409782,5217513.799999999813735,10317365.740000000223517
20100827,5192307.440000000409782,5276706.080000000074506,10469013.519999999552965
20100830,5136834.140000000596046,5187561.080000000074506,10324395.220000000670552
20100831,5166419.900000000372529,5210382.200000000186265,10376802.100000001490116
20100901,5299555.820000000298023,5315929.880000000819564,10615485.700000001117587
20100902,5305103.150000000372529,5350161.559999999590218,10655264.710000000894070
20100903,5321745.140000000596046,5355153.680000000633299,10676898.820000000298023
20100907,5329141.580000001005828,5405788.040000000037253,10734929.620000001043081
20100908,5347632.680000000633299,5425756.520000000484288,10773389.200000001117587
20100909,5390162.209999999962747,5303806.160000000149012,10693968.370000001043081
20100910,5410502.420000000856817,5349448.400000000372529,10759950.820000000298023
20100913,5366123.780000000260770,5318069.359999999403954,10684193.140000000596046
20100914,5325443.360000000335276,5273140.280000000260770,10598583.640000000596046
20100915,5308801.370000001043081,5328053.599999999627471,10636854.970000000670552
20100916,5318046.920000000856817,5334472.040000000037253,10652518.960000000894070
20100917,5321745.140000000596046,5300240.359999999403954,10621985.500000000000000
20100920,5360576.450000000186265,5356580.000000000000000,10717156.449999999254942
20100921,5373520.220000000670552,5385106.400000000372529,10758626.620000001043081
20100922,5384614.880000000819564,5358006.320000000298023,10742621.200000001117587
20100923,5351330.900000000372529,5323061.480000000447035,10674392.380000000819564
20100924,5419747.970000000670552,5355866.839999999850988,10775614.810000000521541
20100927,5417898.860000000335276,5331619.400000000372529,10749518.260000001639128
20100928,5464126.610000000335276,5322348.320000000298023,10786474.929999999701977
20100929,5432691.740000000223517,5309511.440000000409782,10742203.179999999701977
20100930,5410502.420000000856817,5313790.400000000372529,10724292.820000000298023
20101001,5465975.720000000670552,5343029.959999999962747,10809005.679999999701977
20101004,5443786.400000000372529,5345169.440000000409782,10788955.839999999850988
20101005,5515901.690000000409782,5407214.359999999403954,10923116.050000000745058
20101006,5525147.240000000223517,5377261.640000000596046,10902408.880000000819564
20101007,5495561.480000000447035,5410067.000000000000000,10905628.480000000447035
20101008,5493712.370000001043081,5427182.839999999850988,10920895.210000000894070
20101011,5506656.140000000596046,5390811.680000000633299,10897467.820000000298023
20101012,5510354.360000000335276,5390098.520000000484288,10900452.880000000819564
20101013,5541789.230000000447035,5402222.240000000223517,10944011.470000000670552
20101014,5539940.120000001043081,5494219.880000000819564,11034160.000000001862645
20101015,5541789.230000000447035,5525598.920000000856817,11067388.150000002235174
20101018,5547336.560000000521541,5514188.359999999403954,11061524.919999999925494
20101019,5578771.430000000633299,5490654.080000000074506,11069425.510000001639128
20101020,5654584.940000000409782,5520606.799999999813735,11175191.740000000223517
20101021,5684170.700000000186265,5594062.280000000260770,11278232.980000000447035
