訓練日期,20141024 - 20150128
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11924169.599999999627471
真實報酬,1924169.599999999627471

夏普值報酬,0.183716960000000
夏普值風險,0.053801151261852
夏普值,3.414740311147655

預期報酬,35532.559328137496777
風險,176722.199610218260204
趨勢值,0.201064492217213
找到最佳解世代,2646
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](3),WBA[27](1),
Stock#,UNH[23](3),WBA[27](1),
張數,55151,80554,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,10.339999999850988,13.219999999739230,
20141024,5054047.979999999515712,5046721.319999999366701,10100769.299999998882413
20141027,5081071.969999999739230,5083776.160000000149012,10164848.129999998956919
20141028,5109198.979999999515712,5131303.019999999552965,10240502.000000000000000
20141029,5126847.299999999813735,5061221.040000000037253,10188068.339999999850988
20141030,5177586.219999999739230,5071693.059999999590218,10249279.279999999329448
20141031,5239906.850000000558794,5173191.099999999627471,10413097.949999999254942
20141103,5231634.200000000186265,5234412.139999999664724,10466046.339999999850988
20141104,5238252.320000000298023,5255356.179999999701977,10493608.500000000000000
20141105,5283476.139999999664724,5289188.859999999403954,10572665.000000000000000
20141106,5306088.049999999813735,5368937.320000000298023,10675025.370000001043081
20141107,5162695.450000000186265,5390686.899999999441206,10553382.349999999627471
20141110,5225567.589999999850988,5459963.339999999850988,10685530.929999999701977
20141111,5277409.529999999329448,5437408.219999999739230,10714817.750000000000000
20141112,5276858.020000000484288,5432574.979999999515712,10709433.000000000000000
20141113,5288991.240000000223517,5393909.059999999590218,10682900.300000000745058
20141114,5245421.950000000186265,5391492.440000000409782,10636914.390000000596046
20141117,5320427.309999999590218,5360881.919999999925494,10681309.230000000447035
20141118,5415287.029999999329448,5482518.459999999962747,10897805.489999998360872
20141119,5341936.200000000186265,5460768.879999999888241,10802705.080000000074506
20141120,5341384.689999999478459,5424519.580000000074506,10765904.269999999552965
20141121,5333663.549999999813735,5444658.080000000074506,10778321.629999998956919
20141124,5344142.240000000223517,5455935.639999999664724,10800077.879999998956919
20141125,5399293.240000000223517,5462379.959999999962747,10861673.199999999254942
20141126,5410874.950000000186265,5515545.599999999627471,10926420.550000000745058
20141128,5439553.469999999739230,5526823.160000000149012,10966376.629999998956919
20141201,5463268.400000000372529,5459157.799999999813735,10922426.199999999254942
20141202,5505734.669999999925494,5376992.719999999739230,10882727.390000000596046
20141203,5559231.139999999664724,5427741.739999999292195,10986972.879999998956919
20141204,5496910.509999999776483,5469629.820000000298023,10966540.330000000074506
20141205,5533310.169999999925494,5526017.619999999180436,11059327.789999999105930
20141208,5510698.259999999776483,5455935.639999999664724,10966633.899999998509884
20141209,5571364.359999999403954,5525212.080000000074506,11096576.439999999478459
20141210,5464922.929999999701977,5489768.320000000298023,10954691.250000000000000
20141211,5500219.570000000298023,5881260.759999999776483,11381480.330000000074506
20141212,5446723.100000000558794,6001286.219999999739230,11448009.320000000298023
20141215,5419699.109999999403954,5915898.979999999515712,11335598.089999999850988
20141216,5286233.689999999478459,5831317.279999999329448,11117550.969999998807907
20141217,5467680.479999999515712,5799095.679999999701977,11266776.160000000149012
20141218,5638648.579999999143183,5991619.739999999292195,11630268.319999998435378
20141219,5652436.329999999143183,5898982.639999999664724,11551418.969999998807907
20141222,5682769.379999999888241,5982758.799999999813735,11665528.179999999701977
20141223,5672290.689999999478459,6163199.759999999776483,11835490.449999999254942
20141224,5662915.020000000484288,6176088.399999999441206,11839003.419999999925494
20141226,5655745.389999999664724,6159172.059999999590218,11814917.449999999254942
20141229,5643612.169999999925494,6185754.879999999888241,11829367.050000000745058
20141230,5672290.689999999478459,6126144.919999999925494,11798435.609999999403954
20141231,5575224.929999999701977,6138228.019999999552965,11713452.949999999254942
20150102,5558128.120000000111759,6122117.219999999739230,11680245.339999999850988
20150105,5466577.459999999962747,6001286.219999999739230,11467863.679999999701977
20150106,5455547.259999999776483,6016591.479999999515712,11472138.739999998360872
20150107,5511249.770000000484288,6170449.619999999180436,11681699.390000000596046
20150108,5774320.040000000037253,6246975.919999999925494,12021295.960000000894070
20150109,5720272.059999999590218,6095534.399999999441206,11815806.459999999031425
20150112,5655745.389999999664724,6097951.019999999552965,11753696.410000000149012
20150113,5684423.909999999217689,6062507.259999999776483,11746931.169999998062849
20150114,5698763.169999999925494,6040757.679999999701977,11739520.849999999627471
20150115,5761083.799999999813735,6023841.339999999850988,11784925.140000000596046
20150116,5833331.609999999403954,6124533.839999999850988,11957865.449999999254942
20150120,5825058.959999999962747,6126144.919999999925494,11951203.879999998956919
20150121,6029117.659999999217689,6089090.080000000074506,12118207.739999998360872
20150122,6278951.689999999478459,6123728.299999999813735,12402679.989999998360872
20150123,6176922.339999999850988,6089090.080000000074506,12266012.419999999925494
20150126,6155413.450000000186265,6109228.580000000074506,12264642.030000001192093
20150127,6067171.850000000558794,6035924.440000000409782,12103096.290000000968575
20150128,5981687.799999999813735,5942481.799999999813735,11924169.599999999627471
