訓練日期,20100920 - 20101220
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11611951.020000001415610
真實報酬,1611951.020000001415610

夏普值報酬,0.152495102000000
夏普值風險,0.043876420680178
夏普值,3.475559301237434

預期報酬,25658.593748572027835
風險,85590.678154803375946
趨勢值,0.299782573309732
找到最佳解世代,1881
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](7),DIS[6](15),INTC[11](4),KO[14](1),NKE[19](5),XOM[29](2),
Stock#,CAT[3](7),DIS[6](15),INTC[11](4),KO[14](1),NKE[19](5),XOM[29](2),
張數,22774,48225,88605,57910,86266,27421,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,64.679999999934807,10.000000000000000,5.950000000186265,16.199999999953434,6.879999999888241,17.619999999878928,
20100920,1702421.179999999934807,1683062.500000000000000,1677298.600000000093132,1678827.099999999860302,1689957.819999999832362,1687780.169999999692664,10119351.369999999180436
20100921,1739770.540000000037253,1663772.500000000000000,1695905.650000000139698,1682880.799999999813735,1675292.600000000093132,1687505.959999999962747,10145132.050000000745058
20100922,1734988.000000000000000,1639177.750000000000000,1684387.000000000232831,1686355.399999999906868,1667528.659999999683350,1685038.070000000065193,10097478.880000000819564
20100923,1736809.920000000158325,1597221.999999999767169,1681728.850000000325963,1675931.600000000093132,1675292.600000000093132,1676811.769999999785796,10043800.740000000223517
20100924,1815835.699999999953434,1619405.500000000000000,1720715.050000000279397,1697358.299999999813735,1715837.619999999878928,1693264.369999999878928,10262420.539999999105930
20100927,1811508.640000000130385,1605420.250000000000000,1704766.150000000139698,1696779.199999999953434,1706348.360000000102445,1692167.529999999795109,10216994.129999998956919
20100928,1814469.260000000009313,1602044.500000000000000,1728689.500000000232831,1711256.699999999953434,1739129.439999999944121,1701764.879999999888241,10297358.280000001192093
20100929,1821756.939999999711290,1591917.250000000000000,1704766.150000000139698,1701412.000000000000000,1723601.559999999823049,1688877.010000000009313,10232334.910000000149012
20100930,1791923.000000000000000,1596257.500000000000000,1701221.950000000186265,1694462.800000000046566,1728777.519999999785796,1694361.209999999962747,10207007.980000000447035
