訓練日期,20151109 - 20160211
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10707216.399999998509884
真實報酬,707216.399999998509884

夏普值報酬,0.062021640000000
夏普值風險,0.032578080413893
夏普值,1.903784360896526

預期報酬,12970.820883787951971
風險,162438.460683577461168
趨勢值,0.079850675937237
找到最佳解世代,2319
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WMT[28](1),
Stock#,MCD[15](2),WMT[28](1),
張數,44126,85062,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,82.939999999478459,55.639999999664724,
20151109,4983232.120000000111759,4975332.019999999552965,9958564.140000000596046
20151110,4996028.659999999217689,4991493.799999999813735,9987522.459999999031425
20151111,5023828.039999999105930,4897925.599999999627471,9921753.639999998733401
20151112,4947048.799999999813735,4844336.540000000037253,9791385.339999999850988
20151113,4852619.159999999217689,4799253.679999999701977,9651872.839999999850988
20151116,4900716.500000000000000,4922593.579999999143183,9823310.079999998211861
20151117,4895421.379999998956919,5096970.679999999701977,9992392.059999998658895
20151118,4965581.719999999739230,5182883.299999999813735,10148465.019999999552965
20151119,4999558.739999999292195,5163319.040000000037253,10162877.779999999329448
20151120,5026475.599999999627471,5109729.979999999515712,10136205.579999998211861
20151123,5051186.159999999217689,5125891.759999999776483,10177077.919999998062849
20151124,5042802.219999999739230,5096970.679999999701977,10139772.899999998509884
20151125,5048097.339999999850988,5124190.519999999552965,10172287.859999999403954
20151127,5040595.919999999925494,5094418.819999999366701,10135014.739999998360872
20151130,5037507.099999999627471,5005103.719999999739230,10042610.820000000298023
20151201,5050303.639999999664724,5017863.019999999552965,10068166.660000000149012
20151202,5018091.659999999217689,4963423.339999999850988,9981515.000000000000000
20151203,5003530.079999999143183,5022116.119999999180436,10025646.199999999254942
20151204,5127524.139999999664724,5074854.559999999590218,10202378.699999999254942
20151207,5137231.859999999403954,5146306.639999999664724,10283538.500000000000000
20151208,5142085.719999999739230,5070601.459999999962747,10212687.179999999701977
20151209,5144292.019999999552965,5029771.700000000186265,10174063.719999998807907
20151210,5171650.139999999664724,5066348.359999999403954,10237998.500000000000000
20151211,5122229.019999999552965,5049335.959999999962747,10171564.980000000447035
20151214,5130171.699999999254942,5136949.819999999366701,10267121.519999999552965
20151215,5159736.120000000111759,5073153.319999999366701,10232889.439999999478459
20151216,5199890.779999999329448,5129294.239999999292195,10329185.019999999552965
20151217,5184887.939999999478459,5017012.399999999441206,10201900.339999999850988
20151218,5147822.099999999627471,5005954.339999999850988,10153776.439999999478459
20151221,5193271.879999998956919,5065497.739999999292195,10258769.619999997317791
20151222,5194595.659999999217689,5149709.119999999180436,10344304.779999997466803
20151223,5242251.739999999292195,5196493.219999999739230,10438744.959999999031425
20151224,5232102.759999998845160,5174377.099999999627471,10406479.859999999403954
20151228,5240045.439999999478459,5167572.139999999664724,10407617.579999998211861
20151229,5298291.759999998845160,5240725.459999999962747,10539017.219999998807907
20151230,5270051.120000000111759,5246679.799999999813735,10516730.919999999925494
20151231,5213128.579999999143183,5214356.239999999292195,10427484.819999998435378
20160104,5188418.019999999552965,5227966.160000000149012,10416384.179999999701977
20160105,5259902.139999999664724,5352156.679999999701977,10612058.820000000298023
20160106,5224601.339999999850988,5405745.739999999292195,10630347.079999998211861
20160107,5103696.099999999627471,5531637.500000000000000,10635333.599999999627471
20160108,5095753.419999999925494,5404895.119999999180436,10500648.539999999105930
20160111,5149145.879999998956919,5462737.279999999329448,10611883.159999998286366
20160112,5182240.379999998956919,5411700.079999999143183,10593940.459999997168779
20160113,5079868.059999999590218,5267094.679999999701977,10346962.739999998360872
20160114,5146057.059999999590218,5364065.359999999403954,10510122.419999998062849
20160115,5082515.620000000111759,5267945.299999999813735,10350460.919999999925494
20160119,5184887.939999999478459,5321534.359999999403954,10506422.299999998882413
20160120,5108991.219999999739230,5175227.719999999739230,10284218.939999999478459
20160121,5199890.779999999329448,5263692.200000000186265,10463582.980000000447035
20160122,5224601.339999999850988,5332592.419999999925494,10557193.759999999776483
20160125,5259902.139999999664724,5397239.540000000037253,10657141.679999999701977
20160126,5314177.120000000111759,5444023.639999999664724,10758200.759999999776483
20160127,5333592.559999999590218,5439770.540000000037253,10773363.099999999627471
20160128,5400222.819999999366701,5462737.279999999329448,10862960.099999997764826
20160129,5461999.219999999739230,5644769.959999999962747,11106769.179999999701977
20160201,5498623.799999999813735,5741740.639999999664724,11240364.439999999478459
20160202,5469500.639999999664724,5687300.959999999962747,11156801.599999999627471
20160203,5360068.159999999217689,5637114.379999998956919,10997182.539999999105930
20160204,5324326.099999999627471,5649873.679999999701977,10974199.779999999329448
20160205,5092223.339999999850988,5699209.639999999664724,10791432.980000000447035
20160208,5120905.239999999292195,5690703.440000000409782,10811608.679999999701977
20160209,5163266.199999999254942,5597985.859999999403954,10761252.059999998658895
20160210,5186652.979999999515712,5596284.620000000111759,10782937.599999999627471
20160211,5150910.919999999925494,5556305.479999999515712,10707216.399999998509884
