訓練日期,20130510 - 20130812
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12159569.539999999105930
真實報酬,2159569.539999999105930

夏普值報酬,0.207256954000000
夏普值風險,0.051423219420855
夏普值,4.030415760315956

預期報酬,36694.831041264071246
風險,230974.884014540468343
趨勢值,0.158869355851496
找到最佳解世代,2523
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,2
CSCO[4](2),UNH[23](3),
Stock#,CSCO[4](2),UNH[23](3),
張數,240038,80632,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,8.459999999962747,9.679999999701977,
20130510,5064810.260000000707805,5072568.799999999813735,10137379.060000000521541
20130513,5105616.719999999739230,5030640.160000000149012,10136256.879999998956919
20130514,5105616.719999999739230,4977423.039999999105930,10083039.759999997913837
20130515,5091214.440000000409782,4967747.199999999254942,10058961.640000000596046
20130516,5734516.280000000260770,5010482.160000000149012,10744998.440000001341105
20130517,5818529.579999999143183,5066924.559999999590218,10885454.139999998733401
20130520,5748918.559999999590218,5044347.599999999627471,10793266.160000000149012
20130521,5763320.840000000782311,5069343.519999999552965,10832664.359999999403954
20130522,5602495.379999999888241,5021770.639999999664724,10624266.019999999552965
20130523,5643301.840000000782311,5028221.199999999254942,10671523.039999999105930
20130524,5648102.600000000558794,5004031.599999999627471,10652134.199999999254942
20130528,5734516.280000000260770,5107240.559999999590218,10841756.839999999850988
20130529,5789725.020000000484288,5108046.879999999888241,10897771.900000000372529
20130530,5849734.520000000484288,5213674.799999999813735,11063409.320000000298023
20130531,5789725.020000000484288,5049991.839999999850988,10839716.859999999403954
20130603,5852134.899999999441206,5063699.279999999329448,10915834.179999999701977
20130604,5847334.139999999664724,5028221.199999999254942,10875555.339999999850988
20130605,5837732.620000000111759,4979035.679999999701977,10816768.300000000745058
20130606,5892941.360000000335276,4992743.120000000111759,10885684.480000000447035
20130607,5878539.079999999143183,5045153.919999999925494,10923693.000000000000000
20130610,5847334.139999999664724,5134655.439999999478459,10981989.579999998211861
20130611,5777723.120000000111759,5154813.439999999478459,10932536.559999998658895
20130612,5758520.079999999143183,5146750.239999999292195,10905270.319999998435378
20130613,5844933.760000000707805,5172552.480000000447035,11017486.240000002086163
20130614,5782523.879999999888241,5144331.279999999329448,10926855.160000000149012
20130617,5928947.059999999590218,5190291.520000000484288,11119238.580000000074506
20130618,5957751.620000000111759,5295919.440000000409782,11253671.060000000521541
20130619,5924146.299999999813735,5262054.000000000000000,11186200.300000000745058
20130620,5866537.180000000633299,5144331.279999999329448,11010868.460000000894070
20130621,5876138.700000000186265,5152394.479999999515712,11028533.179999999701977
20130624,5775322.739999999292195,5212868.480000000447035,10988191.219999998807907
20130625,5763320.840000000782311,5138687.039999999105930,10902007.879999998956919
20130626,5854535.280000000260770,5223350.639999999664724,11077885.919999999925494
20130627,5912144.399999999441206,5328978.559999999590218,11241122.959999999031425
20130628,5842533.379999999888241,5279793.040000000037253,11122326.419999999925494
20130701,5842533.379999999888241,5291887.839999998919666,11134421.219999998807907
20130702,5837732.620000000111759,5262860.319999999366701,11100592.939999999478459
20130703,5902542.879999999888241,5284630.959999999962747,11187173.839999999850988
20130705,5897742.120000000111759,5335429.120000000111759,11233171.240000000223517
20130708,5912144.399999999441206,5447507.599999999627471,11359652.000000000000000
20130709,6039364.540000000037253,5480566.719999999739230,11519931.259999999776483
20130710,6099374.040000000037253,5457989.759999999776483,11557363.800000000745058
20130711,6209791.520000000484288,5512013.199999999254942,11721804.719999998807907
20130712,6226594.180000000633299,5482985.679999999701977,11709579.859999999403954
20130715,6224193.799999999813735,5452345.520000000484288,11676539.320000000298023
20130716,6171385.440000000409782,5395096.799999999813735,11566482.240000000223517
20130717,6173785.819999999366701,5340267.040000000037253,11514052.859999999403954
20130718,6207391.139999999664724,5688597.279999999329448,11895988.419999998062849
20130719,6197789.620000000111759,5761166.080000000074506,11958955.699999999254942
20130722,6173785.819999999366701,5820027.440000000409782,11993813.259999999776483
20130723,6135379.739999999292195,5861149.759999999776483,11996529.500000000000000
20130724,6142580.879999999888241,5848248.639999999664724,11990829.519999999552965
20130725,6120977.459999999962747,5855505.520000000484288,11976482.980000000447035
20130726,6120977.459999999962747,5822446.399999999441206,11943423.859999999403954
20130729,6080171.000000000000000,5869212.959999999962747,11949383.960000000894070
20130730,6161783.919999999925494,5827284.319999999366701,11989068.239999998360872
20130731,6142580.879999999888241,5874050.879999998956919,12016631.759999997913837
20130801,6214592.280000000260770,5899046.799999999813735,12113639.080000000074506
20130802,6286603.680000000633299,5826478.000000000000000,12113081.679999999701977
20130805,6315408.239999999292195,5913560.559999999590218,12228968.799999998882413
20130806,6291404.440000000409782,5905497.359999999403954,12196901.800000000745058
20130807,6269801.020000000484288,5879695.120000000111759,12149496.140000000596046
20130808,6303406.340000000782311,5900659.440000000409782,12204065.780000001192093
20130809,6252998.360000000335276,5880501.440000000409782,12133499.800000000745058
20130812,6322609.379999999888241,5836960.160000000149012,12159569.539999999105930
