訓練日期,20141211 - 20150317
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12307249.509999997913837
真實報酬,2307249.509999997913837

夏普值報酬,0.222024951000000
夏普值風險,0.055789453047613
夏普值,3.979693990018432

預期報酬,34906.491930603719084
風險,149047.059631153970258
趨勢值,0.234197789724847
找到最佳解世代,1880
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),UNH[23](3),WBA[27](4),
Stock#,BA[2](2),UNH[23](3),WBA[27](4),
張數,26743,33639,48911,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,85.479999999981374,44.489999999757856,48.349999999627471,
20141211,3299369.390000000130385,3354861.959999999962747,3571040.459999999962747,10225272.809999998658895
20141212,3229837.589999999850988,3322232.129999999888241,3643917.849999999627471,10195988.570000000298023
20141215,3264870.919999999925494,3305749.019999999552965,3592072.189999999478459,10162693.129999998956919
20141216,3322903.229999999981374,3224342.639999999664724,3540715.639999999664724,10087962.509999997913837
20141217,3344565.060000000055879,3335014.949999999720603,3521151.239999999292195,10200732.250000000000000
20141218,3360878.290000000037253,3439295.849999999627471,3638048.529999999329448,10438223.669999998062849
20141219,3375854.370000000111759,3447705.599999999627471,3581800.879999999888241,10405361.849999999627471
20141222,3429072.939999999944121,3466207.049999999813735,3632668.319999999366701,10527949.309999998658895
20141223,3477477.770000000018626,3459815.639999999664724,3742228.959999999962747,10679523.370000001043081
20141224,3509836.800000000279397,3454097.009999999776483,3750054.719999999739230,10713989.530000001192093
20141226,3520266.569999999832362,3449723.939999999478459,3739783.409999999217689,10709774.919999998062849
20141229,3537916.949999999720603,3442323.359999999869615,3755924.040000000037253,10736165.349999999627471
20141230,3525615.170000000391155,3459815.639999999664724,3719729.899999999441206,10705161.710000000894070
20141231,3476140.619999999646097,3400611.000000000000000,3727066.549999999813735,10603819.169999998062849
20150102,3475338.329999999608845,3390182.909999999683350,3717284.349999999627471,10582806.589999999850988
20150105,3451269.630000000353903,3334342.169999999925494,3643917.849999999627471,10429530.650000000372529
20150106,3410620.270000000018626,3327614.369999999646097,3653210.939999999478459,10391446.579999998211861
20150107,3463571.409999999683350,3361589.759999999776483,3746630.949999999254942,10571793.119999999180436
20150108,3524812.880000000353903,3522047.790000000037253,3793096.399999999441206,10839958.070000000298023
20150109,3517859.699999999720603,3489081.569999999832362,3701143.719999999739230,10708085.989999998360872
20150112,3499941.890000000130385,3449723.939999999478459,3702611.049999999813735,10652277.879999998956919
20150113,3507964.789999999571592,3467216.219999999739230,3681090.209999999962747,10656272.219999998807907
20150114,3486837.819999999832362,3475962.359999999869615,3667884.239999999292195,10630685.419999998062849
20150115,3480419.499999999534339,3513974.429999999701977,3657612.929999999701977,10652007.859999999403954
20150116,3497535.020000000018626,3558041.519999999552965,3718751.679999999701977,10774329.219999998807907
20150120,3509301.939999999944121,3552995.669999999925494,3719729.899999999441206,10782028.509999997913837
20150121,3541126.109999999869615,3677459.969999999739230,3697230.839999999850988,10915817.919999999925494
20150122,3627505.999999999534339,3829844.639999999664724,3718262.569999999366701,11175614.209999997168779
20150123,3600228.140000000130385,3767612.489999999757856,3697230.839999999850988,11065072.469999998807907
