訓練日期,20161027 - 20170131
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11046343.720000000670552
真實報酬,1046343.720000000670552

夏普值報酬,0.095934372000000
夏普值風險,0.034501781823775
夏普值,2.780562826870908

預期報酬,18784.211019697861047
風險,88337.228267317768768
趨勢值,0.212642069353307
找到最佳解世代,1969
找到最佳解實驗#,5
找到最佳解次數,13

stock[index](rank)
投資組合檔數,4
BA[2](6),CVX[5](11),DIS[6](1),V[25](29),
Stock#,BA[2](6),CVX[5](11),DIS[6](1),V[25](29),
張數,17177,24705,26740,30581,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,59.419999999925494,101.050000000279397,77.399999999906868,3.250000000000000,
20161027,2461695.290000000037253,2468624.650000000372529,2514172.199999999720603,2505198.770000000018626,9949690.910000000149012
20161028,2456542.189999999944121,2564974.149999999906868,2509626.399999999906868,2514373.069999999832362,10045515.810000000521541
20161031,2446579.530000000260770,2587949.800000000279397,2478608.000000000000000,2523241.560000000055879,10036378.890000000596046
20161101,2446235.989999999757856,2630689.450000000186265,2470586.000000000000000,2496024.470000000204891,10043535.910000000149012
20161102,2417722.169999999925494,2603761.000000000465661,2457750.799999999813735,2464220.229999999981374,9943454.199999999254942
20161103,2405182.959999999962747,2603761.000000000465661,2496791.200000000186265,2466360.900000000372529,9972096.060000002384186
20161104,2396938.000000000000000,2588690.950000000186265,2472190.399999999906868,2457492.410000000149012,9915311.759999999776483
20161107,2456885.729999999981374,2639830.300000000279397,2525135.600000000093132,2523241.560000000055879,10145093.190000001341105
20161108,2442628.819999999832362,2650700.500000000465661,2523798.599999999627471,2534556.529999999795109,10151684.449999999254942
20161109,2492270.350000000093132,2659347.250000000465661,2530751.000000000000000,2545565.689999999944121,10227934.290000000968575
20161110,2536930.549999999813735,2663053.000000000465661,2539307.799999999813735,2503669.720000000204891,10242961.070000000298023
20161111,2551187.459999999962747,2634642.250000000465661,2612040.600000000093132,2503975.529999999795109,10301845.839999999850988
20161114,2576437.649999999906868,2633407.000000000465661,2618458.199999999720603,2396942.029999999795109,10225244.879999998956919
20161115,2544144.890000000130385,2691957.850000000093132,2612575.399999999906868,2402752.419999999925494,10251430.560000000521541
20161116,2515459.299999999813735,2676887.800000000279397,2650546.200000000186265,2448929.729999999981374,10291823.029999999329448
20161117,2496392.830000000074506,2671205.650000000372529,2657231.200000000186265,2479204.919999999925494,10304034.600000001490116
20161118,2513913.369999999646097,2697887.050000000279397,2627015.000000000000000,2471559.669999999925494,10310375.089999999850988
20161121,2525421.959999999962747,2722097.950000000651926,2610703.599999999627471,2498165.140000000130385,10356388.650000000372529
20161122,2568364.459999999962747,2732968.150000000372529,2612842.799999999813735,2444342.580000000074506,10358517.990000000223517
20161123,2572143.399999999906868,2742356.050000000279397,2627549.799999999813735,2433333.419999999925494,10375382.669999999925494
20161125,2577296.500000000000000,2742356.050000000279397,2642524.199999999720603,2450458.779999999795109,10412635.529999999329448
20161128,2572658.709999999962747,2730003.550000000279397,2646535.199999999720603,2418348.729999999981374,10367546.189999999478459
20161129,2604779.699999999720603,2701345.750000000465661,2665253.199999999720603,2420489.400000000372529,10391868.050000000745058
20161130,2586228.540000000037253,2756190.850000000558794,2650546.200000000186265,2364526.169999999925494,10357491.760000001639128
20161201,2617662.449999999720603,2798930.500000000465661,2645733.000000000000000,2306728.080000000074506,10369054.030000001192093
20161202,2615257.669999999925494,2791766.050000000279397,2633967.399999999906868,2315596.569999999832362,10356587.690000001341105
20161205,2613711.739999999757856,2797942.300000000279397,2673007.799999999813735,2364220.359999999869615,10448882.199999999254942
20161206,2615085.899999999906868,2785836.850000000558794,2691725.799999999813735,2358104.160000000149012,10450752.710000000894070
20161207,2647722.199999999720603,2827341.250000000000000,2727290.000000000000000,2425382.359999999869615,10627735.809999998658895
20161208,2669193.449999999720603,2845375.900000000372529,2764458.599999999627471,2424464.930000000167638,10703492.879999998956919
20161209,2688088.149999999906868,2861187.100000000558794,2804033.799999999813735,2420183.589999999850988,10773492.640000000596046
20161212,2699596.739999999757856,2894291.800000000279397,2782641.799999999813735,2400611.750000000000000,10777142.089999999850988
20161213,2691008.239999999757856,2900962.150000000372529,2777026.399999999906868,2422018.450000000186265,10791015.240000002086163
20161214,2653390.609999999869615,2864892.850000000093132,2782374.399999999906868,2419877.779999999795109,10720535.639999998733401
20161215,2641366.709999999962747,2891821.300000000279397,2791466.000000000000000,2431192.750000000000000,10755846.759999999776483
20161216,2653905.919999999925494,2917267.450000000186265,2778630.799999999813735,2396024.599999999627471,10745828.769999999552965
20161219,2682763.280000000260770,2906644.300000000279397,2815799.399999999906868,2388379.349999999627471,10793586.330000000074506
20161220,2686370.449999999720603,2914055.800000000279397,2820077.799999999813735,2396330.410000000149012,10816834.460000000894070
20161221,2705093.379999999888241,2913067.600000000093132,2822751.799999999813735,2389602.589999999850988,10830515.370000001043081
20161222,2704749.839999999850988,2934313.900000000372529,2819008.199999999720603,2382263.150000000372529,10840335.089999999850988
20161223,2710761.790000000037253,2925667.150000000372529,2811788.399999999906868,2389908.400000000372529,10838125.740000000223517
20161227,2705093.379999999888241,2920726.150000000372529,2812323.199999999720603,2396024.599999999627471,10834167.330000000074506
20161228,2681389.119999999646097,2913067.600000000093132,2789059.399999999906868,2394495.549999999813735,10778011.669999998062849
20161229,2674346.549999999813735,2910844.149999999906868,2796011.799999999813735,2395412.979999999981374,10776615.479999998584390
20161230,2674174.780000000260770,2907879.550000000279397,2786920.199999999720603,2385932.869999999646097,10754907.399999998509884
20170103,2696333.109999999869615,2911585.300000000279397,2836656.600000000093132,2431192.750000000000000,10875767.759999999776483
20170104,2724675.160000000149012,2910844.149999999906868,2873023.000000000000000,2451070.400000000372529,10959612.710000000894070
20170105,2726221.089999999850988,2898244.600000000558794,2871418.599999999627471,2479816.540000000037253,10975700.829999998211861
20170106,2732920.119999999646097,2886633.250000000465661,2914202.600000000093132,2514067.259999999776483,11047823.230000000447035
20170109,2719522.059999999590218,2861928.250000000465661,2897623.799999999813735,2500000.000000000000000,10979074.109999999403954
20170110,2732404.809999999590218,2840187.850000000093132,2898158.599999999627471,2486544.359999999869615,10957295.619999999180436
20170111,2738073.220000000204891,2864151.700000000651926,2926503.000000000000000,2501529.049999999813735,11030256.970000002533197
20170112,2719006.750000000000000,2869833.850000000093132,2875429.600000000093132,2488379.220000000204891,10952649.419999999925494
20170113,2728282.330000000074506,2875268.950000000186265,2889601.799999999813735,2482263.020000000018626,10975416.099999999627471
20170117,2708357.009999999776483,2872798.450000000186265,2887195.199999999720603,2485015.310000000055879,10953365.970000000670552
20170118,2719522.059999999590218,2864398.750000000000000,2892275.799999999813735,2495107.040000000037253,10971303.649999998509884
20170119,2731202.419999999925494,2855504.950000000186265,2868744.600000000093132,2499388.380000000353903,10954840.350000001490116
20170120,2740306.229999999981374,2855999.050000000279397,2878905.799999999813735,2502752.290000000037253,10977963.370000001043081
20170123,2711277.100000000093132,2850811.000000000465661,2864466.200000000186265,2512232.400000000372529,10938786.700000001117587
20170124,2757826.770000000018626,2875021.900000000372529,2885323.399999999906868,2545259.880000000353903,11063431.950000001117587
20170125,2874802.140000000130385,2896515.250000000000000,2889067.000000000000000,2565749.150000000372529,11226133.540000000968575
20170126,2905033.660000000149012,2879468.800000000279397,2889601.799999999813735,2545565.689999999944121,11219669.950000001117587
20170127,2880642.319999999832362,2811283.000000000465661,2922759.399999999906868,2561773.619999999646097,11176458.339999999850988
20170130,2844055.309999999590218,2762614.149999999906868,2966613.000000000000000,2559632.950000000186265,11132915.410000000149012
20170131,2807124.759999999776483,2751002.800000000279397,2958858.399999999906868,2529357.759999999776483,11046343.720000000670552
