訓練日期,20091209 - 20100315
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11334807.880000000819564
真實報酬,1334807.880000000819564

夏普值報酬,0.124780788000000
夏普值風險,0.033979632996392
夏普值,3.672222946411758

預期報酬,20999.160810014411254
風險,147641.940476003277581
趨勢值,0.142230322510747
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),MCD[15](1),TRV[22](9),UNH[23](3),
Stock#,BA[2](2),MCD[15](1),TRV[22](9),UNH[23](3),
張數,44915,41247,50080,87842,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,31.100000000093132,19.330000000074506,6.399999999906868,16.679999999701977,
20091209,2491466.149999999906868,2499587.530000000260770,2509014.399999999906868,2503513.679999999701977,10003581.759999999776483
20091210,2470805.250000000000000,2518148.680000000167638,2542067.199999999720603,2662507.699999999720603,10193528.829999998211861
20091211,2497305.100000000093132,2543309.350000000093132,2539062.399999999906868,2677440.839999999850988,10257117.689999999478459
20091214,2517516.850000000093132,2563107.910000000149012,2555088.000000000000000,2718726.579999999608845,10354439.339999999850988
20091215,2500449.150000000372529,2557333.330000000074506,2524539.199999999720603,2751228.119999999646097,10333549.799999998882413
20091216,2476195.050000000279397,2574657.070000000298023,2488982.399999999906868,2828529.080000000074506,10368363.600000001490116
20091217,2446551.149999999906868,2554033.570000000298023,2422876.799999999813735,2795149.119999999646097,10218610.640000000596046
20091218,2400288.700000000186265,2564345.320000000298023,2410857.600000000093132,2770553.359999999403954,10146044.980000000447035
20091221,2438915.600000000093132,2584556.350000000093132,2437400.000000000000000,2825893.819999999832362,10286765.769999999552965
20091222,2474847.600000000093132,2597342.919999999925494,2450921.599999999627471,2839070.119999999646097,10362182.239999998360872
20091223,2468559.500000000000000,2613429.250000000000000,2462940.799999999813735,2777580.719999999739230,10322510.269999999552965
20091224,2491915.299999999813735,2615904.070000000298023,2501001.599999999627471,2782851.239999999757856,10391672.209999999031425
20091228,2476644.200000000186265,2623741.000000000000000,2495492.799999999813735,2757377.059999999590218,10353255.059999998658895
20091229,2479788.250000000000000,2622916.060000000055879,2497496.000000000000000,2709942.379999999888241,10310142.690000001341105
20091230,2468559.500000000000000,2594043.160000000149012,2517027.199999999720603,2723997.099999999627471,10303626.959999999031425
20091231,2431280.050000000279397,2575482.009999999776483,2496995.199999999720603,2677440.839999999850988,10181198.099999999627471
20100104,2523355.800000000279397,2589505.990000000223517,2494491.200000000186265,2769674.939999999944121,10377027.930000001564622
20100105,2605999.400000000372529,2569707.430000000167638,2435396.799999999813735,2765282.839999999850988,10376386.469999998807907
20100106,2685049.800000000279397,2534647.479999999981374,2400841.599999999627471,2792513.859999999403954,10413052.739999998360872
20100107,2793744.100000000093132,2553208.629999999888241,2435396.799999999813735,2899681.099999999627471,10682030.629999998956919
20100108,2766795.100000000093132,2550733.810000000055879,2431891.200000000186265,2872450.080000000074506,10621870.190000001341105
20100111,2734007.149999999906868,2570532.370000000111759,2430889.600000000093132,2891775.319999999832362,10627204.439999999478459
20100112,2714244.550000000279397,2584556.350000000093132,2446414.399999999906868,2815352.779999999329448,10560568.080000000074506
20100113,2747032.500000000000000,2581669.060000000055879,2454928.000000000000000,2858395.359999999403954,10642024.919999999925494
20100114,2764998.500000000000000,2584143.879999999888241,2467948.799999999813735,2926912.119999999646097,10744003.299999998882413
20100115,2731761.399999999906868,2568882.490000000223517,2443409.600000000093132,2964684.179999999701977,10708737.669999999925494
20100119,2724125.850000000093132,2618378.890000000130385,2475460.799999999813735,3085906.140000000130385,10903871.679999999701977
20100120,2703914.100000000093132,2598992.799999999813735,2450420.799999999813735,3034957.779999999329448,10788285.480000000447035
20100121,2658999.100000000093132,2606829.729999999981374,2451422.399999999906868,2907586.879999999888241,10624838.109999999403954
20100122,2594770.650000000372529,2614666.660000000149012,2419371.200000000186265,2912857.399999999441206,10541665.910000000149012
20100125,2595219.800000000279397,2602292.560000000055879,2448417.600000000093132,2898802.679999999701977,10544732.640000000596046
20100126,2592075.750000000000000,2631990.400000000372529,2515524.799999999813735,2849611.159999999683350,10589202.109999999403954
20100127,2781617.050000000279397,2628690.640000000130385,2549078.399999999906868,2919884.759999999776483,10879270.849999999627471
20100128,2809913.500000000000000,2591568.339999999850988,2517528.000000000000000,2936574.739999999757856,10855584.580000000074506
20100129,2721880.100000000093132,2575069.540000000037253,2537560.000000000000000,2898802.679999999701977,10733312.320000000298023
20100201,2771286.600000000093132,2635290.160000000149012,2538561.599999999627471,2910222.140000000130385,10855360.500000000000000
20100202,2782066.200000000186265,2641064.740000000223517,2558593.600000000093132,2991036.779999999329448,10972761.320000000298023
20100203,2760507.000000000000000,2689736.199999999720603,2532552.000000000000000,2926912.119999999646097,10909707.319999998435378
20100204,2664388.899999999906868,2642302.150000000372529,2490484.799999999813735,2851368.000000000000000,10648543.850000001490116
